casenum,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,E(T),Pr(FV),Pr(K),time_fv_starts,prop_time_fv_starts,n(FV),time(FV)
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,0,1363,,0,3.94e-06,1792.4,0.002000,2848094,908135.2
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,0,1373,,0,3.94e-06,1449.3,0.001000,3395950,1077749.8
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,0,1383,,0,3.94e-06,1652.7,0.001000,3372577,1069831.9
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,0,1393,,0,3.94e-06,1711.6,0.001000,3355018,1068417.5
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,0,1403,,0,3.94e-06,1940.3,0.002000,3463764,1097895.1
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,0,1413,,0,3.94e-06,1753.2,0.002000,3626490,1147196.9
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,0,1423,,0,3.94e-06,1478.4,0.001000,3768931,1191082.8
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,0,1433,,0,3.94e-06,1571.3,0.001000,2710159,866825.7
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,0,1443,,0,3.94e-06,2254.8,0.002000,3101503,988084.1
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,0,1453,,0,3.94e-06,1864.0,0.002000,3157152,1002607.5
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1313,,0,3.94e-06,5751.2,0.005000,6468248,2112901.0
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1323,,0,3.94e-06,6346.5,0.006000,7330214,2371979.0
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1333,,0,3.94e-06,4962.4,0.004000,6242530,2038247.6
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1343,,0,3.94e-06,8495.6,0.007000,6466216,2102434.3
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1353,,0,3.94e-06,5733.4,0.005000,6502483,2118662.8
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1363,,0,3.94e-06,6453.9,0.006000,7252090,2344262.6
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1373,,0,3.94e-06,6883.4,0.006000,6799774,2210044.0
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1383,,0,3.94e-06,6515.6,0.006000,6620816,2161250.3
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1393,,0,3.94e-06,6234.8,0.005000,6033590,1973405.0
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1403,,0,3.94e-06,5566.0,0.005000,6739888,2194348.5
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1413,,0,3.94e-06,6831.8,0.006000,6802459,2214130.1
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1423,,0,3.94e-06,8545.4,0.007000,7946045,2562965.8
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1433,,0,3.94e-06,5926.3,0.005000,6091792,1990716.2
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1443,,0,3.94e-06,5525.9,0.005000,6542300,2126158.6
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.4,16,3,0,1453,,0,3.94e-06,6703.6,0.006000,6435887,2094561.7
