,,,E(T),E(T),E(T),E(T),E(T),E(T),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K)
,,,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE
K,buffer_size_activation,N,,,,,,,,,,,,,,,,,,,,,,,,
40,0.1,1000,8,4.837498903438371,0.22995782969356757,4.543468863478497,5.214394600503423,0.08130237038163142,0,,,,,,8,2.1707625509882193e-06,2.9867761553464076e-06,0.0,7.161168773470125e-06,1.0559848366658649e-06,8,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.2,1000,8,12.8149076906131,0.5284572670975967,12.144105142436253,13.684846349113217,0.18683785856601057,0,,,,,,8,5.709053678486652e-06,6.131887257945322e-06,8.46402967896739e-08,1.682315762731038e-05,2.1679495307822607e-06,8,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.3,1000,8,39.23519053016305,3.378125259264149,34.85894949275764,45.298427843394826,1.194347639261622,0,,,,,,8,4.266171327471067e-06,3.19759728582145e-06,1.1213243371975031e-06,8.885920868843507e-06,1.130521362154023e-06,8,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
