,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),n(ET),PMC(K),time(MC),n(MC),n(RT),PFV(K),time(FV),n(FV),n(PT),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
1,[0.7],40,2000,50,1,0.2,8,1,1313,8.072421681660437e-05,59.08767115405594,2417,0.0,324585.3734936361,451667,9386,1.3661769915781023e-06,292238.8518960207,451667,20334,1.9100425795336106e-07,1.110685219941681,1.0
2,[0.7],40,2000,50,1,0.2,8,2,1314,0.0,56.831913378633686,2513,0.0,325134.14760878903,456340,9710,0.0,292939.4871444652,456340,21277,1.9100425795336106e-07,1.1099020851649364,1.0
3,[0.7],40,2000,50,1,0.2,8,3,1315,0.0,59.15429470137361,2414,0.0,323101.69211001176,454171,9143,0.0,292158.9298894114,454171,21304,1.9100425795336106e-07,1.1059107186363015,1.0
4,[0.7],40,2000,50,1,0.2,8,4,1316,1.3930691919340822e-05,58.39187807956095,2446,0.0,324129.0981651195,453747,9359,2.38572424410802e-07,292248.6171172032,453747,21004,1.9100425795336106e-07,1.1090868499649083,1.0
5,[0.7],40,2000,50,1,0.2,8,5,1317,0.0,57.47881511017321,2484,0.0,324204.9802161913,453677,9794,0.0,292273.1252199391,453677,21338,1.9100425795336106e-07,1.1092534764262814,1.0
6,[0.7],40,2000,50,1,0.2,8,6,1318,0.0,60.0492403773469,2379,0.0,324163.19267628295,454808,9346,0.0,292627.9432569583,454808,21104,1.9100425795336106e-07,1.1077656804348086,1.0
7,[0.7],40,2000,50,1,0.2,8,7,1319,3.73108721593123e-06,58.59603890797735,2438,0.0,324241.6857643528,453327,9120,6.367473442685687e-08,291858.87046331284,453327,20892,1.9100425795336106e-07,1.110953678569487,1.0
8,[0.7],40,2000,50,1,0.2,8,8,1320,0.0,60.175713082229514,2374,0.0,323569.7221124159,454003,9420,0.0,292945.87935313577,454003,21069,1.9100425795336106e-07,1.1045375440231544,1.0
9,[0.7],40,2000,50,1,0.4,16,1,1313,0.0002724523499198545,1073.071830106117,133,0.0,324590.6161257329,451702,510,2.5389945227889496e-07,292238.8518960207,451702,20453,1.9100425795336106e-07,1.1107031594868948,1.0
10,[0.7],40,2000,50,1,0.4,16,2,1314,0.00016865949921061974,1133.7868480757793,126,0.0,325131.1100131455,456342,503,1.4875767830334453e-07,292939.4871444652,456342,21277,1.9100425795336106e-07,1.109891715802741,1.0
11,[0.7],40,2000,50,1,0.4,16,3,1315,9.637127993341079e-05,807.1025020200123,177,0.0,323094.3760876122,454175,707,1.194040158371622e-07,292158.9298894114,454175,21305,1.9100425795336106e-07,1.1058856773945283,1.0
12,[0.7],40,2000,50,1,0.4,16,4,1316,0.00018428066663570065,1428.5714285777142,100,0.0,324126.38605100795,453748,467,1.2899646664442287e-07,292248.6171172032,453748,21004,1.9100425795336106e-07,1.1090775698042756,1.0
13,[0.7],40,2000,50,1,0.4,16,5,1317,0.0001142937225898457,830.5647840535631,172,0.0,324201.7474823166,453687,549,1.376096419981068e-07,292273.1252199391,453687,21338,1.9100425795336106e-07,1.1092424157655647,1.0
14,[0.7],40,2000,50,1,0.4,16,6,1318,8.197032270958204e-05,690.1311249157578,207,0.0,324144.2459460256,454802,659,1.18774997605836e-07,292627.9432569583,454802,21104,1.9100425795336106e-07,1.1077009336097225,1.0
15,[0.7],40,2000,50,1,0.4,16,7,1319,0.00011519036079539524,931.6057661123361,153,0.0,324240.9197749087,453338,493,1.236471101677415e-07,291858.87046331284,453338,20892,1.9100425795336106e-07,1.1109510540494822,1.0
16,[0.7],40,2000,50,1,0.4,16,8,1320,0.00034381262709264434,696.864111500006,205,0.0,323581.00016515487,454019,679,4.93371119876707e-07,292945.87935313577,454019,21069,1.9100425795336106e-07,1.1045760427819145,1.0
17,[0.7],40,2000,50,1,0.5,20,1,1313,0.0010813416931114504,7125.729352019882,19,0.0,324903.2317860979,452185,91,1.5175172107889978e-07,292238.8518960207,452185,20491,1.9100425795336106e-07,1.1117728860421998,1.0
18,[0.7],40,2000,50,1,0.5,20,2,1314,0.0005726805526158544,5952.380952406263,24,0.0,324675.4662393489,455684,92,9.621033283905445e-08,292940.41599028,455684,20917,1.9100425795336106e-07,1.1083327820839919,1.0
19,[0.7],40,2000,50,1,0.5,20,3,1315,0.0006042957308462575,4761.904761907465,30,0.0,323182.8660375008,454297,155,1.2690210347764202e-07,292158.9298894114,454297,21248,1.9100425795336106e-07,1.1061885603148693,1.0
20,[0.7],40,2000,50,1,0.5,20,4,1316,0.0007174214663567474,5952.380952389335,24,0.0,324049.2159215896,453651,98,1.2052680634776382e-07,292248.6171172032,453651,20789,1.9100425795336106e-07,1.1088135133643184,1.0
