,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
29,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.05,2,4,15,1453,,,,,,1.6408770730137706e-06,7.223247519327737e-06,4.402064992023396,1663082,3200,3200,3.939624007386781e-06,,
30,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.075,3,4,1,1313,,,,,,5.657904152013499e-06,2.557835169370771e-05,4.520817427528363,1555779,3200,3200,3.939624007386781e-06,,
31,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.075,3,4,2,1323,,,,,,8.135543786440853e-06,3.692051666901709e-05,4.5381744156488795,2470510,3200,3200,3.939624007386781e-06,,
32,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.075,3,4,3,1333,,,,,,1.8419853884942364e-06,8.471234960721595e-06,4.5989696843613705,1634923,3200,3200,3.939624007386781e-06,,
33,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.075,3,4,4,1343,,,,,,1.322818926578851e-06,5.561927104364587e-06,4.204602000025171,1845655,3200,3200,3.939624007386781e-06,,
34,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.075,3,4,5,1353,,,,,,3.828042119328135e-06,1.7239945536793456e-05,4.503593481834328,2439514,3200,3200,3.939624007386781e-06,,
35,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.075,3,4,6,1363,,,,,,9.225105495475923e-06,4.164211794511696e-05,4.5139991044588745,3725032,3200,3200,3.939624007386781e-06,,
36,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.075,3,4,7,1373,,,,,,4.246237196849788e-06,1.9599425518198297e-05,4.615716129268233,2226319,3200,3200,3.939624007386781e-06,,
37,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.075,3,4,8,1383,,,,,,5.790047589409291e-06,2.4851767789830723e-05,4.2921525956518325,2264055,3200,3200,3.939624007386781e-06,,
38,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.075,3,4,9,1393,,,,,,2.2056826398220672e-06,9.752019369641313e-06,4.421315738527103,2091691,3200,3200,3.939624007386781e-06,,
39,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.075,3,4,10,1403,,,,,,9.521579115924556e-06,4.275505919405068e-05,4.4903328191165395,2151451,3200,3200,3.939624007386781e-06,,
40,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.075,3,4,11,1413,,,,,,3.072407713451348e-06,1.3176541998231637e-05,4.288669742802444,2179623,3200,3200,3.939624007386781e-06,,
41,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.075,3,4,12,1423,,,,,,1.629882905372322e-06,7.353725900422315e-06,4.51181239841427,1829162,3200,3200,3.939624007386781e-06,,
42,"[0.4, 0.75, 0.35]",40,3200,8000000.0,0.075,3,4,13,1433,,,,,,5.39384807255577e-07,2.3448453604386354e-06,4.347258819486134,1205352,3200,3200,3.939624007386781e-06,,
