,rhos,K,nparticles,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
1,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,1,1717,,,,,,4.4541842114977395e-06,5.54659291860567e-05,12.452544967242392,2368002,3200,3200,3.939624007386781e-06,,
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,2,1727,,,,,,4.434189292724758e-06,5.8321878087731954e-05,13.152771394631605,2204542,3200,3200,3.939624007386781e-06,,
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,3,1737,,,,,,1.3632435674524355e-06,1.7849120083692178e-05,13.093126210048993,1485863,3200,3200,3.939624007386781e-06,,
4,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,4,1747,,,,,,4.107109496503895e-06,5.490641343612858e-05,13.36862664189175,2730867,3200,3200,3.939624007386781e-06,,
5,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,5,1757,,,,,,1.2056397320013983e-06,1.5362865353939977e-05,12.742500886593342,1428599,3200,3200,3.939624007386781e-06,,
6,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,6,1767,,,,,,3.0587693179178977e-06,3.910286791352211e-05,12.783856462944845,2387391,3200,3200,3.939624007386781e-06,,
7,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,7,1777,,,,,,1.676520455136488e-06,2.038399183648885e-05,12.15851066656348,1705998,3200,3200,3.939624007386781e-06,,
8,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,8,1787,,,,,,9.347690908044958e-07,1.255561586260671e-05,13.431783299339623,1887977,3200,3200,3.939624007386781e-06,,
