,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV(K),Pr(K),maxtime(MC),maxtime(FV),ratio_maxtime_mc_fv
1,"[0.4, 0.75, 0.35]",10.0,40.0,50.0,1.0,0.1,1.0,1.0,1313.0,0.037090534202766555,5.235175392098494,0.00639413372454674,0.007084869450362197,0.023539955766603123,2857.1428571428573,71.42857142857143,1.0
2,"[0.4, 0.75, 0.35]",10.0,40.0,50.0,1.0,0.1,1.0,2.0,1314.0,0.13920431214498266,4.8888747579791545,0.006680783455441202,0.028473691603121284,0.023539955766603123,2857.1428571428573,71.42857142857143,1.0
3,"[0.4, 0.75, 0.35]",10.0,40.0,50.0,1.0,0.25,2.0,1.0,1313.0,0.014733436445268979,3.256073667923636,0.00628255722520494,0.004524908815918878,0.023539955766603123,2857.1428571428573,71.42857142857143,1.0
4,"[0.4, 0.75, 0.35]",10.0,40.0,50.0,1.0,0.25,2.0,2.0,1314.0,0.052618494862214156,3.200331102930598,0.0066452820553495745,0.016441578439815335,0.023539955766603123,2857.1428571428573,71.42857142857143,1.0
5,"[0.4, 0.75, 0.35]",10.0,40.0,50.0,1.0,0.5,5.0,1.0,1313.0,0.09515262472050443,5.957918483402765,0.006285932952221937,0.015970783250152762,0.023539955766603123,2857.1428571428573,71.42857142857143,1.0
6,"[0.4, 0.75, 0.35]",10.0,40.0,50.0,1.0,0.5,5.0,2.0,1314.0,0.0807956367814569,5.840860633945427,0.006609878129368287,0.013832830783856673,0.023539955766603123,2857.1428571428573,71.42857142857143,1.0
