,,,n,n,n,mean,mean,mean,std,std,std,min,min,min,max,max,max,SE,SE,SE
,,,PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K)
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,
10.0,0.1,40.0,2,2,2,0.0003793575915283801,0.008563087326574341,0.023539955766603123,0.0005364926509286278,0.01032414516377865,0.0,0.0,0.0012628142713121575,0.023539955766603123,0.0007587151830567602,0.015863360381836524,0.023539955766603123,0.00037935759152838,0.007300273055262182,0.0
10.0,0.25,40.0,2,2,2,0.00037941385875415887,0.0021585386782781205,0.023539955766603123,0.0005365722248024413,0.0006409690791719112,0.0,0.0,0.001705305095864765,0.023539955766603123,0.0007588277175083177,0.002611772260691476,0.023539955766603123,0.00037941385875415887,0.0004532335824133555,0.0
10.0,0.5,40.0,2,2,2,0.0013094785038208964,0.012960272774193203,0.023539955766603123,0.0018518822597395404,6.017813552319693e-05,0.0,0.0,0.012917720406485587,0.023539955766603123,0.002618957007641793,0.013002825141900818,0.023539955766603123,0.0013094785038208962,4.255236770761561e-05,0.0
