,,,n,n,n,mean,mean,mean,std,std,std,min,min,min,max,max,max,SE,SE,SE
,,,PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K)
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,
5.0,0.4,20.0,2,2,2,0.0681820464550284,0.05142375596909224,0.05714392571663656,0.0005907454617635709,0.01066650315474528,0.0,0.0677643263330602,0.04388139925682415,0.05714392571663656,0.06859976657699661,0.05896611268136032,0.05714392571663656,0.00041772012196819927,0.007542356712268089,0.0
5.0,1.0,20.0,2,2,2,0.06804242815119947,0.03347456837279057,0.05714392571663656,0.0007481000178951436,0.024105110193684873,0.0,0.06751344155554004,0.01642968149358703,0.05714392571663656,0.0685714147468589,0.05051945525199412,0.05714392571663656,0.0005289865956594335,0.017044886879203545,0.0
10.0,0.4,40.0,2,2,2,0.010609690893588902,0.006429693135085917,0.00864520134824504,0.0036198558341592607,0.0032952854727491088,0.0,0.008050066286337202,0.0040995744313595045,0.00864520134824504,0.0131693155008406,0.00875981183881233,0.00864520134824504,0.0025596246072517,0.0023301187037264126,0.0
10.0,1.0,40.0,2,2,2,0.010404413749221077,0.007884861534344641,0.00864520134824504,0.0033964914275371235,0.003021976234745697,0.0,0.0080027316285676,0.005748001646171369,0.00864520134824504,0.012806095869874554,0.010021721422517914,0.00864520134824504,0.0024016821206534773,0.002136859888173272,0.0
