,,,n,n,n,n,mean,mean,mean,mean,std,std,std,std,min,min,min,min,max,max,max,max,SE,SE,SE,SE
,,,E(T),PMC(K),PFV(K),Pr(K),E(T),PMC(K),PFV(K),Pr(K),E(T),PMC(K),PFV(K),Pr(K),E(T),PMC(K),PFV(K),Pr(K),E(T),PMC(K),PFV(K),Pr(K),E(T),PMC(K),PFV(K),Pr(K)
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,,,,,,,
20,0.2,3200,8,8,8,8,13.907233233329212,0.00027175627127074204,0.00022066214009708166,0.00023951057653476341,0.10713911902013232,5.4678393003818197e-05,3.3417154345101806e-05,0.0,13.764516582160068,0.0001860567595613078,0.00018224423631181763,0.00023951057653476344,14.07907002706616,0.00036099162857735126,0.00026559831474548795,0.00023951057653476344,0.037879398794744085,1.933173123869146e-05,1.1814748222689494e-05,0.0
20,0.4,3200,8,8,8,8,57.3941501662567,0.0002717846636912129,0.00022379346935169544,0.00023951057653476341,1.7479700933764908,5.47122473225257e-05,3.4347425628357756e-05,0.0,55.233117569002246,0.00018607518479653992,0.0001720563178121295,0.00023951057653476344,59.414750660538566,0.00036138625144361024,0.0002872049057786634,0.00023951057653476344,0.6180007531688996,1.9343700547856725e-05,1.214364878905619e-05,0.0
20,0.5,3200,8,8,8,8,114.42154112753555,0.00027199278060414386,0.0002285379449392131,0.00023951057653476341,5.790355556924688,5.4623018145032394e-05,2.280823548364645e-05,0.0,106.25864542141461,0.00018636694883612066,0.000203527060544799,0.00023951057653476344,125.8372880362857,0.0003614604962120127,0.00026732419846487246,0.00023951057653476344,2.047199839891327,1.9312153269614117e-05,8.063928988693018e-06,0.0
20,0.6,3200,8,8,8,8,231.49958948985991,0.0002722896461479214,0.00023026951254257388,0.00023951057653476341,14.550712626557827,5.480501230786545e-05,1.3344583750444008e-05,0.0,203.9234305325764,0.00018636921623170033,0.0002111792972117277,0.00023951057653476344,256.0324220233836,0.0003618844965492772,0.00025243265837355736,0.00023951057653476344,5.1444537846678795,1.9376497922951926e-05,4.718022831025384e-06,0.0
20,0.8,3200,8,8,8,8,974.5920623308145,0.0002720015480173843,0.00024002907397227517,0.00023951057653476341,100.24565741027453,5.258380168793235e-05,2.6077645179503465e-05,0.0,898.4990683614891,0.00018825230549677181,0.00019639761446580513,0.00023951057653476344,1143.905061886846,0.00036348304164885543,0.00027185851053635536,0.00023951057653476344,35.4421920696543,1.8591181377052794e-05,9.21983987190179e-06,0.0
