,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),n(ET),PMC(K),time(MC),n(MC),n(RT),PFV(K),time(FV),n(FV),n(PT),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
1,[0.7],40,3200,50,1,0.2,8,1,1313,1.600293330799342e-06,57.81661566250779,3950,0.0,520143.14761591924,728920,15466,2.7678779057921934e-08,467783.40976974147,728920,33323,1.9100425795336106e-07,1.1119315836189039,1.0
2,[0.7],40,3200,50,1,0.2,8,2,1323,1.010132140644634e-05,56.037330862169505,4077,0.0,519769.7752487963,728087,15367,1.8026057363959295e-07,468096.6647948324,728087,34329,1.9100425795336106e-07,1.1103898282988456,1.0
3,[0.7],40,3200,50,1,0.2,8,3,1333,0.0,54.996435317632084,4155,0.0,520365.84516232205,728540,15469,0.0,468451.67016969086,728540,33642,1.9100425795336106e-07,1.110820770419766,1.0
4,[0.7],40,3200,50,1,0.2,8,4,1343,2.656126029945586e-07,59.64187971203682,3831,0.0,519977.88150490116,728443,15611,4.453457943931186e-09,468097.54790579877,728443,34168,1.9100425795336106e-07,1.1108323122631332,1.0
5,[0.7],40,3200,50,1,0.2,8,5,1353,0.0,56.679207904898846,4032,0.0,517502.431619559,724210,15147,0.0,466885.3258639608,724210,33282,1.9100425795336106e-07,1.1084144284507815,1.0
6,[0.7],40,3200,50,1,0.2,8,6,1363,2.0646914593360975e-06,56.75010199926532,4024,1.1172421793518118e-05,517817.84412586485,727298,15330,3.63821629670873e-08,467670.4093842759,727298,33621,1.9100425795336106e-07,1.1072281541344724,1.0
7,[0.7],40,3200,50,1,0.2,8,7,1373,4.820628113450514e-06,61.23459866590203,3731,0.0,517867.93249378406,725224,15217,7.872392762385883e-08,467829.0118076017,725224,33898,1.9100425795336106e-07,1.1069598494818471,1.0
8,[0.7],40,3200,50,1,0.2,8,8,1383,5.916550224468273e-07,57.793998969936226,3953,0.0,518599.8624322583,727674,15400,1.0237308941964709e-08,467659.4116617864,727674,34195,1.9100425795336106e-07,1.108926388521637,1.0
9,[0.7],40,3200,50,1,0.4,16,1,1313,0.00016446006913437076,1113.7025099037726,197,0.0,516291.3712450977,728923,856,1.476696583440228e-07,467783.40976974147,728923,33323,1.9100425795336106e-07,1.10369748148878,1.0
10,[0.7],40,3200,50,1,0.4,16,2,1323,8.600106757520343e-05,911.2363061266157,249,0.0,519358.05235391366,728068,741,9.437844716785641e-08,468096.6647948324,728068,34329,1.9100425795336106e-07,1.1095102601971094,1.0
11,[0.7],40,3200,50,1,0.4,16,3,1333,0.00015354894245831225,1037.587041917291,215,0.0,519181.67422148865,728546,892,1.4798656522789546e-07,468451.67016969086,728546,33642,1.9100425795336106e-07,1.1082929302683913,1.0
12,[0.7],40,3200,50,1,0.4,16,4,1343,8.10810575878304e-05,1007.0815669499851,218,0.0,519117.2401414253,728446,995,8.051091415900887e-08,468097.54790579877,728446,34168,1.9100425795336106e-07,1.108993718219378,1.0
