,E(T),E(T) (wrong),K,PFV1(K),PFV2(K),PMC(K),Pr(K),buffer_size_activation,buffer_size_activation_value,integral,nmeantimes,nparticles,rep,seed
1,4.429408203562473,4.145498145173064,5.0,0.044718247701990045,0.19477864029282027,0.06102121908636496,0.05714392571663656,1.0,1.0,0.1980753732201334,50.0,200.0,1.0,1313.0
2,4.394943890652091,4.2189840154960665,5.0,0.04943803830307336,0.19484606843579036,0.059349456200491035,0.05714392571663656,1.0,1.0,0.21727740440591634,50.0,200.0,2.0,1314.0
3,4.176741584092935,4.260280561574571,5.0,0.050946066044060094,0.3433371197528498,0.05960335925922772,0.05714392571663656,1.0,1.0,0.21278855259217083,50.0,200.0,3.0,1315.0
4,4.247303094910293,4.021804457404372,5.0,0.0476575508456908,0.30343756295077084,0.0541287033748992,0.05714392571663656,1.0,1.0,0.2024160632027472,50.0,200.0,4.0,1316.0
5,4.034649590368372,4.0328986828622675,5.0,0.04427397662604581,0.23514200062690263,0.05578130985423712,0.05714392571663656,1.0,1.0,0.1786299816582546,50.0,200.0,5.0,1317.0
6,4.4257704622576375,4.0177287947742455,5.0,0.04150207227483705,0.20993075144482765,0.05794542253987486,0.05714392571663656,1.0,1.0,0.18367864559645544,50.0,200.0,6.0,1318.0
7,3.9000571535161708,4.372844054961513,5.0,0.04314910242500609,0.178282882204501,0.0606696184753996,0.05714392571663656,1.0,1.0,0.16828396558044695,50.0,200.0,7.0,1319.0
8,4.394496121496359,4.1499721325643435,5.0,0.044305505638623816,0.21234833609886775,0.057240228404128374,0.05714392571663656,1.0,1.0,0.19470037268986742,50.0,200.0,8.0,1320.0
9,4.094314342978021,4.224683878842658,5.0,0.04197154872642423,0.21497582357290992,0.05504625621747038,0.05714392571663656,1.0,1.0,0.17184471394759962,50.0,200.0,9.0,1321.0
10,4.262252537276408,4.156728117883209,5.0,0.04647875361185535,0.2027528018848813,0.05295130170557375,0.05714392571663656,1.0,1.0,0.1981041855115755,50.0,200.0,10.0,1322.0
11,4.576271604369177,4.0952068615299675,5.0,0.051481940548235954,0.15213757519275725,0.057061727354203264,0.05714392571663656,1.0,1.0,0.23559534266871435,50.0,200.0,11.0,1323.0
12,4.371484414940946,4.118772964657635,5.0,0.047268193291064395,0.18127066195722474,0.05479633611421794,0.05714392571663656,1.0,1.0,0.2066321702943042,50.0,200.0,12.0,1324.0
13,7.234356912776689,4.145498145173064,5.0,0.045190811857781066,0.14545874745884724,0.06102121908636496,0.05714392571663656,0.4,2.0,0.32692646215732923,50.0,200.0,1.0,1313.0
14,7.038768597623479,4.2189840154960665,5.0,0.03900553923140273,0.149076315082959,0.059349456200491035,0.05714392571663656,0.4,2.0,0.27455096467536816,50.0,200.0,2.0,1314.0
15,6.478669977927602,4.260280561574571,5.0,0.04621821891852307,0.14747149177312327,0.05960335925922772,0.05714392571663656,0.4,2.0,0.2994325873407209,50.0,200.0,3.0,1315.0
16,6.4817252556361975,4.021804457404372,5.0,0.043234698687970786,0.1936311368817953,0.0541287033748992,0.05714392571663656,0.4,2.0,0.2802354384056414,50.0,200.0,4.0,1316.0
17,7.084356784188817,4.0328986828622675,5.0,0.041499609796941235,0.1382182228512446,0.05578130985423712,0.05714392571663656,0.4,2.0,0.29399804220614933,50.0,200.0,5.0,1317.0
18,6.438730979370864,4.0177287947742455,5.0,0.049553539624532524,0.16140815768420544,0.05794542253987486,0.05714392571663656,0.4,2.0,0.3190619107179592,50.0,200.0,6.0,1318.0
19,7.254827686075902,4.372844054961513,5.0,0.039757091319459543,0.12835463982707107,0.0606696184753996,0.05714392571663656,0.4,2.0,0.288430846822263,50.0,200.0,7.0,1319.0
20,7.011831594957316,4.1499721325643435,5.0,0.04242442710776962,0.13460644032635596,0.057240228404128374,0.05714392571663656,0.4,2.0,0.29747293839222266,50.0,200.0,8.0,1320.0
21,7.347584355313959,4.224683878842658,5.0,0.04244650618707195,0.12568178898318588,0.05504625621747038,0.05714392571663656,0.4,2.0,0.31187928479786703,50.0,200.0,9.0,1321.0
22,6.285130204990542,4.156728117883209,5.0,0.045753983478988645,0.18384577769614632,0.05295130170557375,0.05714392571663656,0.4,2.0,0.2875697435624298,50.0,200.0,10.0,1322.0
23,7.201923021897873,4.0952068615299675,5.0,0.036830052967712086,0.1464652209561941,0.057061727354203264,0.05714392571663656,0.4,2.0,0.2652472063658837,50.0,200.0,11.0,1323.0
24,6.744760070158804,4.118772964657635,5.0,0.03279732037095531,0.10542412782524076,0.05479633611421794,0.05714392571663656,0.4,2.0,0.22121005684622536,50.0,200.0,12.0,1324.0
25,12.741195098499595,4.145498145173064,5.0,0.034677197038429614,0.07598408984562502,0.06102121908636496,0.05714392571663656,0.6,3.0,0.44182893293574405,50.0,200.0,1.0,1313.0
26,10.562244226565472,4.2189840154960665,5.0,0.03665929223821203,0.10002604740188466,0.059349456200491035,0.05714392571663656,0.6,3.0,0.3872043977930314,50.0,200.0,2.0,1314.0
27,12.224098153334792,4.260280561574571,5.0,0.036213058339804614,0.08932052463113223,0.05960335925922772,0.05714392571663656,0.6,3.0,0.44267197957821064,50.0,200.0,3.0,1315.0
28,11.116186728238178,4.021804457404372,5.0,0.04145910512672923,0.14047204535941593,0.0541287033748992,0.05714392571663656,0.6,3.0,0.46086715417437885,50.0,200.0,4.0,1316.0
29,11.833418995596745,4.0328986828622675,5.0,0.033490594392848225,0.0845262875783492,0.05578130985423712,0.05714392571663656,0.6,3.0,0.396308235862156,50.0,200.0,5.0,1317.0
