,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
0,"[0.4, 0.75, 0.35]",10,100,100,0.1,1,3,1,1313,,,,,,0.018632999377108155,0.09138957403760682,4.9047162074123625,28192,100,100,0.023539955766603123,,
1,"[0.4, 0.75, 0.35]",10,100,100,0.1,1,3,2,1323,,,,,,0.03423852114242595,0.25171871574162613,7.351915542570387,38158,100,100,0.023539955766603123,,
2,"[0.4, 0.75, 0.35]",10,100,100,0.1,1,3,3,1333,,,,,,0.019699536725790317,0.12390118140367178,6.289547979139141,28239,100,100,0.023539955766603123,,
3,"[0.4, 0.75, 0.35]",10,100,100,0.1,1,3,4,1343,,,,,,0.0258751959853762,0.19129567251712593,7.393013472255046,25661,100,100,0.023539955766603123,,
4,"[0.4, 0.75, 0.35]",10,100,100,0.1,1,3,5,1353,,,,,,0.025899067828771438,0.1739937909939363,6.718148782198466,33866,100,100,0.023539955766603123,,
5,"[0.4, 0.75, 0.35]",10,100,100,0.1,1,3,6,1363,,,,,,0.02564885547310114,0.17314578814912127,6.750624343870055,30528,100,100,0.023539955766603123,,
6,"[0.4, 0.75, 0.35]",10,100,100,0.1,1,3,7,1373,,,,,,0.0180821390091149,0.1192474324978211,6.594763619376584,23928,100,100,0.023539955766603123,,
7,"[0.4, 0.75, 0.35]",10,100,100,0.1,1,3,8,1383,,,,,,0.012479718958305264,0.06326429551425686,5.069368607227682,18538,100,100,0.023539955766603123,,
8,"[0.4, 0.75, 0.35]",10,100,100,0.3,3,3,1,1313,,,,,,0.014605749387931183,0.05803995762399722,3.9737747158633283,14034,100,100,0.023539955766603123,,
9,"[0.4, 0.75, 0.35]",10,100,100,0.3,3,3,2,1323,,,,,,0.043877369952519764,0.21846557918127135,4.9790035140591975,47920,100,100,0.023539955766603123,,
10,"[0.4, 0.75, 0.35]",10,100,100,0.3,3,3,3,1333,,,,,,0.04148505056908316,0.1947630536668006,4.694776817072227,16724,100,100,0.023539955766603123,,
11,"[0.4, 0.75, 0.35]",10,100,100,0.3,3,3,4,1343,,,,,,0.01674755755964926,0.07598924378221786,4.537332892367696,21768,100,100,0.023539955766603123,,
12,"[0.4, 0.75, 0.35]",10,100,100,0.3,3,3,5,1353,,,,,,0.019935820470274278,0.05349100799959243,2.6831605992515493,13350,100,100,0.023539955766603123,,
13,"[0.4, 0.75, 0.35]",10,100,100,0.3,3,3,6,1363,,,,,,0.02236585833714553,0.08909924653654061,3.9837168416900566,15646,100,100,0.023539955766603123,,
14,"[0.4, 0.75, 0.35]",10,100,100,0.3,3,3,7,1373,,,,,,0.01063345120931986,0.039019942378743795,3.6695463787471123,10689,100,100,0.023539955766603123,,
15,"[0.4, 0.75, 0.35]",10,100,100,0.3,3,3,8,1383,,,,,,0.01396190249371641,0.052151321051942416,3.73525893590886,17942,100,100,0.023539955766603123,,
16,"[0.4, 0.75, 0.35]",10,100,100,0.6,6,2,1,1313,,,,,,0.020158266475572978,0.17774829281096033,8.817637817535003,12107,100,100,0.023539955766603123,,
17,"[0.4, 0.75, 0.35]",10,100,100,0.6,6,2,2,1323,,,,,,0.02148478913060492,0.12752285909852173,5.935495029684344,11188,100,100,0.023539955766603123,,
18,"[0.4, 0.75, 0.35]",10,100,100,0.6,6,2,3,1333,,,,,,0.020665562348626005,0.15959244971779707,7.722627965573263,12508,100,100,0.023539955766603123,,
19,"[0.4, 0.75, 0.35]",10,100,100,0.6,6,2,4,1343,,,,,,0.02696124808699294,0.23009062045392545,8.534123483880158,13207,100,100,0.023539955766603123,,
20,"[0.4, 0.75, 0.35]",10,100,100,0.6,6,2,5,1353,,,,,,0.023608085018090263,0.17574776328687586,7.444388782580413,13851,100,100,0.023539955766603123,,
21,"[0.4, 0.75, 0.35]",10,100,100,0.6,6,2,6,1363,,,,,,0.020700856590367515,0.1443297312453727,6.97216226851849,15079,100,100,0.023539955766603123,,
22,"[0.4, 0.75, 0.35]",10,100,100,0.6,6,2,7,1373,,,,,,0.025868102060431088,0.199391193004294,7.707994677711241,16204,100,100,0.023539955766603123,,
23,"[0.4, 0.75, 0.35]",10,100,100,0.6,6,2,8,1383,,,,,,0.019966672947825198,0.14372091948492535,7.19804044772415,13230,100,100,0.023539955766603123,,
