,,,E(T),E(T),E(T),E(T),E(T),E(T),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K)
,,,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE
K,buffer_size_activation,N,,,,,,,,,,,,,,,,,,,,,,,,
40,0.1,1000,8,4.837498903438371,0.22995782969356757,4.543468863478497,5.214394600503423,0.08130237038163142,0,,,,,,8,1.4354774246028722e-06,1.3771086596873713e-06,0.0,4.403611580670705e-06,4.868814358478289e-07,8,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.3,1000,8,39.765521399653515,4.178587057177718,35.5441034830336,46.88479379335725,1.477353621954352,0,,,,,,8,6.208662023157743e-06,5.749349835376317e-06,2.2805659155429407e-08,1.4932513471022512e-05,2.0327021280041773e-06,8,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.5,1000,8,402.46563494394655,16.452528986483465,377.7443612258433,428.3671376529518,5.816847407005347,0,,,,,,8,5.428831450515328e-06,5.083732670675985e-06,5.287294061875819e-07,1.577148971437206e-05,1.7973709225872932e-06,8,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.7,1000,8,435.92841183409473,26.16699127875613,386.35672533862106,473.7887937119992,9.251428488228854,0,,,,,,8,4.03366773198664e-05,1.5756941784366404e-05,2.5056237940159985e-05,5.944513914828317e-05,5.570920193243571e-06,8,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
