,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),n(ET),PMC(K),time(MC),n(MC),n(RT),PFV(K),time(FV),n(FV),n(PT),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
1,[0.7],20,1000,50,1,0.2,4,1,1313,0.004206434715577597,13.597102683512812,5253,0.00018847327967036763,162114.36873045395,228220,19992,0.0003093625762404601,146252.8466964065,228220,10726,0.00023951057653476344,1.1084527405266376,1.0
2,[0.7],20,1000,50,1,0.2,4,2,1323,0.0016067064406448577,13.57153255064245,5263,0.0003909626776432272,161963.30268534806,227381,19752,0.00011838798858193795,145990.75717028207,227381,10610,0.00023951057653476344,1.1094079229716973,1.0
3,[0.7],20,1000,50,1,0.2,4,3,1333,0.0026655845312802597,14.131630766979164,5052,0.00015347092363502733,163276.87550583752,227570,19564,0.00018862540178369422,146509.14108353882,227570,10800,0.00023951057653476344,1.1144483838911992,1.0
4,[0.7],20,1000,50,1,0.2,4,4,1343,0.0025328284813320415,14.149939825999796,5046,0.00027827246444870083,162082.4268119284,226931,20004,0.00017899924045458465,146092.4693191646,226931,10467,0.00023951057653476344,1.1094509358852094,1.0
5,[0.7],20,1000,50,1,0.2,4,5,1353,0.005318791888741677,14.350710359070616,4977,0.0002518958957003189,161848.52991012833,226477,19729,0.0003706291713552592,146324.84811448102,226477,10725,0.00023951057653476344,1.1060905375654444,1.0
6,[0.7],20,1000,50,1,0.2,4,6,1363,0.004250471092461961,14.029677843488209,5091,0.00017516125948777926,162416.78599088735,228346,20237,0.0003029628434721894,146273.62596874076,228346,10846,0.00023951057653476344,1.110362752787686,1.0
7,[0.7],20,1000,50,1,0.2,4,7,1373,0.003558964999026497,13.927789687976816,5126,0.0002833457084917647,161600.97805845246,226156,19718,0.00025552977742755397,146209.5720976434,226156,10493,0.00023951057653476344,1.1052694822916942,1.0
8,[0.7],20,1000,50,1,0.2,4,8,1383,0.004013912407872848,13.459147009519052,5307,0.00021600668651433898,160911.06024086746,226479,19918,0.0002982293309549251,145932.69681926916,226479,10691,0.00023951057653476344,1.102638844810415,1.0
9,[0.7],20,1000,50,1,0.4,8,1,1313,0.01651157727106913,55.10559493006096,1296,0.0001888565793780427,161785.34450292127,227798,4868,0.0002996352238284575,146246.61217300018,227798,10657,0.00023951057653476344,1.1062502036733664,1.0
10,[0.7],20,1000,50,1,0.4,8,2,1323,0.008070572440627992,55.672215930403546,1274,0.0003928317436294846,161192.6926086924,227136,4945,0.0001449658919759383,145989.60416377807,227136,11166,0.00023951057653476344,1.1041381578640268,1.0
11,[0.7],20,1000,50,1,0.4,8,3,1333,0.01069259984387664,51.99358983684357,1373,0.00015358987499876977,163150.4218121342,227393,5019,0.0002056522713171014,146297.13888866536,227393,10846,0.00023951057653476344,1.1151989919385539,1.0
12,[0.7],20,1000,50,1,0.4,8,4,1343,0.014098663942192495,56.27297656635617,1267,0.0002790556318491381,161627.54377652172,226594,4686,0.0002505405756450004,145988.26561946154,226594,10691,0.00023951057653476344,1.1071269535993127,1.0
13,[0.7],20,1000,50,1,0.4,8,5,1353,0.02054057280482369,56.92711609767379,1254,0.0002518881541059927,161853.50420383937,226592,4983,0.00036082229722617267,146413.80365036684,226592,11046,0.00023951057653476344,1.1054524926511862,1.0
14,[0.7],20,1000,50,1,0.4,8,6,1363,0.016057023772932336,56.116667325844624,1272,0.00017588946889135934,161744.3555628276,227456,4672,0.0002861364464089842,146197.6070271241,227456,10694,0.00023951057653476344,1.1063406498358015,1.0
15,[0.7],20,1000,50,1,0.4,8,7,1373,0.026612541356151695,61.20163397435093,1167,0.0002828552455456999,161881.18955544126,226764,4684,0.0004348338373989292,146566.10225254716,226764,11225,0.00023951057653476344,1.1044926969300497,1.0
16,[0.7],20,1000,50,1,0.4,8,8,1383,0.012387567980938635,57.822773782805506,1234,0.00021585345424371752,160021.473762915,225840,4720,0.00021423337502744064,145932.69681926916,225840,11182,0.00023951057653476344,1.0965429766647439,1.0
17,[0.7],20,1000,50,1,0.5,10,1,1313,0.025082286694836406,103.62195643558307,689,0.00018936303233972796,161352.64829042208,228237,2422,0.00024205571442215425,146376.3512450692,228237,11324,0.00023951057653476344,1.1023136382206915,1.0
18,[0.7],20,1000,50,1,0.5,10,2,1323,0.022015584826966063,108.40765466792948,648,0.0003912447107977249,161846.5496151888,227332,2473,0.0002030814603858319,145982.41891883267,227332,11533,0.00023951057653476344,1.1086715154732207,1.0
19,[0.7],20,1000,50,1,0.5,10,3,1333,0.031583576014073626,102.14297952544504,694,0.00015409593953176424,162614.6215679935,227121,2472,0.0003092094646231245,146313.5267265184,227121,11259,0.00023951057653476344,1.1114120833950252,1.0
20,[0.7],20,1000,50,1,0.5,10,4,1343,0.021402440399576346,103.46955029363387,686,0.0002790607713740777,161624.5670457255,226551,2380,0.00020684771837549163,145936.12912445777,226551,11390,0.00023951057653476344,1.1075020833798344,1.0
21,[0.7],20,1000,50,1,0.5,10,5,1353,0.043601339495833634,109.35686946531708,651,0.0002528665407172777,161227.26357487595,226934,2675,0.0003987069098540897,146353.12427749624,226934,11523,0.00023951057653476344,1.1016318535788634,1.0
22,[0.7],20,1000,50,1,0.5,10,6,1363,0.01984747076861418,115.60481849231887,616,0.00017666965829756664,161030.0776616874,227153,2198,0.00017168376740224635,146098.90715519572,227153,11733,0.00023951057653476344,1.102199056770704,1.0
23,[0.7],20,1000,50,1,0.5,10,7,1373,0.022364867527723497,131.28439193908318,544,0.00028406254867544434,161193.17324456765,226652,2403,0.00017035435208551632,146331.32177554548,226652,11597,0.00023951057653476344,1.1015630234777654,1.0
24,[0.7],20,1000,50,1,0.5,10,8,1383,0.029542719169676667,131.88797332409308,541,0.00021595246144663613,159948.1091047025,225909,2461,0.0002239985832300287,145926.13987163577,225909,11475,0.00023951057653476344,1.0960894959970928,1.0
25,[0.7],20,1000,50,1,0.6,12,1,1313,0.06476667037397568,216.32691925363594,330,0.0001893667694878476,161349.46400023333,228068,1234,0.00029939256102491326,146294.5014636026,228068,12301,0.00023951057653476344,1.1029086013897547,1.0
26,[0.7],20,1000,50,1,0.6,12,2,1323,0.045960815644087015,216.1401019916979,325,0.0003928601311246869,161181.04506182892,227420,1163,0.00021264362892663206,145939.08125905835,227420,12528,0.00023951057653476344,1.1044405903564265,1.0
27,[0.7],20,1000,50,1,0.6,12,3,1333,0.08310937688538406,192.18024702524536,362,0.000154300746213367,162398.77970176318,226699,1130,0.00043245535465706087,146075.89633884956,226699,12222,0.00023951057653476344,1.1117424829969875,1.0
28,[0.7],20,1000,50,1,0.6,12,4,1343,0.06018488960299545,215.7055663713473,329,0.00027909150164978733,161606.7708481437,226995,1193,0.00027901407745493375,145994.84820924146,226995,12216,0.00023951057653476344,1.1069347503038398,1.0
29,[0.7],20,1000,50,1,0.6,12,5,1353,0.06755976488520596,219.69457122579752,324,0.00025287031587088125,161224.85657948395,227042,1320,0.00030751676979659835,146336.07240281685,227042,12299,0.00023951057653476344,1.101743773303434,1.0
30,[0.7],20,1000,50,1,0.6,12,6,1363,0.06029165731080372,272.5556164578653,261,0.00017690782339842078,160813.28824022427,227080,1265,0.00022120864025608616,146161.2342421326,227080,12395,0.00023951057653476344,1.100245828342,1.0
31,[0.7],20,1000,50,1,0.6,12,7,1373,0.05603117816289883,268.4740992968574,264,0.0002823998917689541,162142.2137739225,226878,1237,0.00020870236015185952,146238.24104929264,226878,12585,0.00023951057653476344,1.108753856792281,1.0
32,[0.7],20,1000,50,1,0.6,12,8,1383,0.05640364152130204,312.9305056340149,228,0.00021595705580748615,159944.7063016417,227131,1245,0.00018024334638460726,146312.11726882038,227131,12385,0.00023951057653476344,1.0931747095681354,1.0
