,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),n(ET),PMC(K),time(MC),n(MC),n(RT),PFV(K),time(FV),n(FV),n(PT),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
1,[0.7],40,3200,50,1,0.8,32,1,1313,0.05284460688703621,5.825239423029675,1,0.0,12.793171470819345,727729,8,0.009071662647567542,467220.7569851498,727729,39315,1.9100425795336106e-07,2.738142790010069e-05,1.0
2,[0.7],40,3200,50,1,0.8,32,2,1323,0.05147693367399371,2.0654150991656297,2,0.0,73796.66161639833,726322,14,0.024923287185606883,467334.83662044385,726322,39869,1.9100425795336106e-07,0.15790960962821157,1.0
3,[0.7],40,3200,50,1,0.8,32,3,1333,0.05374664093013696,2.9194644057626804,3,0.0,376769.8875540571,726085,12,0.018409760647893975,467307.53183714993,726085,39680,1.9100425795336106e-07,0.8062568263619515,1.0
4,[0.7],40,3200,50,1,0.8,32,4,1343,0.05089923516105581,228570.86294094645,0,0.0,309991.0676827768,726617,17,2.2268470489261848e-07,467140.6089378762,726617,39248,1.9100425795336106e-07,0.6635926351759363,1.0
5,[0.7],40,3200,50,1,0.8,32,5,1353,0.05396606388399574,4.117995005859923,1,0.0,187093.91223854548,725390,19,0.013104936700312124,467334.3805675148,725390,39412,1.9100425795336106e-07,0.4003427096704186,1.0
6,[0.7],40,3200,50,1,0.8,32,6,1363,0.05117394438134511,228570.85719247136,0,5.1683290063032e-05,111937.13402782135,725399,4,2.2388656633620338e-07,466963.9689484254,725399,39765,1.9100425795336106e-07,0.23971257199971338,1.0
7,[0.7],40,3200,50,1,0.8,32,7,1373,0.054068746946314625,228570.52945123377,0,0.0,1.327441142879614,724985,1,2.365516984019165e-07,467395.8187610698,724985,40033,1.9100425795336106e-07,2.8400791996776392e-06,1.0
8,[0.7],40,3200,50,1,0.8,32,8,1383,0.057187774581690755,19625.882726480482,2,0.0,254487.0324694636,727360,14,2.9138956641440334e-06,467680.42847316037,727360,39739,1.9100425795336106e-07,0.5441472787310968,1.0
