,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
0,"[0.4, 0.75, 0.35]",40,1000,80,0.1,4,3,1,1313,,,,,,0.0,0.0,4.854618150917763,293456,995,995,3.939624007386781e-06,,
1,"[0.4, 0.75, 0.35]",40,1000,80,0.1,4,3,2,1323,,,,,,0.0,0.0,4.887586770113974,289711,996,996,3.939624007386781e-06,,
2,"[0.4, 0.75, 0.35]",40,1000,80,0.1,4,3,3,1333,,,,,,0.0,0.0,4.585157543974121,372716,995,995,3.939624007386781e-06,,
3,"[0.4, 0.75, 0.35]",40,1000,80,0.1,4,3,4,1343,,,,,,4.12070639600286e-07,2.038533795005781e-06,4.947049362660698,416901,996,996,3.939624007386781e-06,,
4,"[0.4, 0.75, 0.35]",40,1000,80,0.1,4,3,5,1353,,,,,,1.154549994185624e-05,5.904426691679002e-05,5.1140502545701905,409945,996,996,3.939624007386781e-06,,
5,"[0.4, 0.75, 0.35]",40,1000,80,0.1,4,3,6,1363,,,,,,7.718816718099788e-06,3.697205009194788e-05,4.789859824661005,361412,997,997,3.939624007386781e-06,,
6,"[0.4, 0.75, 0.35]",40,1000,80,0.1,4,3,7,1373,,,,,,0.0,0.0,5.1674660281564675,462891,998,998,3.939624007386781e-06,,
7,"[0.4, 0.75, 0.35]",40,1000,80,0.1,4,3,8,1383,,,,,,0.0,0.0,4.96430937241113,368356,997,997,3.939624007386781e-06,,
8,"[0.4, 0.75, 0.35]",40,1000,80,0.2,8,3,1,1313,,,,,,4.4104506863574585e-06,4.193980481677372e-05,9.509188017111995,393799,886,886,3.939624007386781e-06,,
9,"[0.4, 0.75, 0.35]",40,1000,80,0.2,8,3,2,1323,,,,,,1.234126297728419e-06,1.1787784013792406e-05,9.551521619375148,455381,877,877,3.939624007386781e-06,,
10,"[0.4, 0.75, 0.35]",40,1000,80,0.2,8,3,3,1333,,,,,,1.512275918454745e-07,1.324481353651868e-06,8.758199065982835,323539,870,870,3.939624007386781e-06,,
