,K,nparticles,nmeantimes,rep,seed,integral,E(T),PMC(K),PFV1(K),PFV2(K),Pr(K)
57,5,200,80,7,2203,0.06714534,3.908527113,0.015502045,0.017179193,0.123347987,0.015873016
58,5,200,80,8,1864,0.052226366,3.858443412,0.015421792,0.013535605,0.108496,0.015873016
59,5,200,80,9,2013,0.051323817,3.881564997,0.01518512,0.013222455,0.113749598,0.015873016
60,5,200,80,10,1978,0.044063129,3.883788014,0.01387184,0.0113454,0.107701375,0.015873016
61,5,400,20,1,1717,0.047412107,3.627925199,0.010707781,0.013068656,0.072063047,0.015873016
62,5,400,20,2,1751,0.053775594,3.645156136,0.010257396,0.014752618,0.070096006,0.015873016
63,5,400,20,3,1797,0.044929744,3.647608462,0.015379023,0.012317589,0.065334265,0.015873016
64,5,400,20,4,1780,0.048447795,3.662650158,0.016670808,0.013227524,0.093510393,0.015873016
65,5,400,20,5,1877,0.049235848,3.6767981,0.015658957,0.013390958,0.073001696,0.015873016
66,5,400,20,6,2107,0.04688386,3.661408213,0.014201341,0.012804871,0.084547361,0.015873016
67,5,400,20,7,2017,0.054407335,3.663147161,0.013745517,0.014852621,0.089074475,0.015873016
68,5,400,20,8,2179,0.0533942,3.614129336,0.012805705,0.014773738,0.09169679,0.015873016
69,5,400,20,9,2285,0.049930487,3.557560559,0.00901104,0.014035035,0.064335542,0.015873016
70,5,400,20,10,2203,0.047744443,3.707334575,0.013351346,0.012878374,0.059477821,0.015873016
71,5,400,40,1,1717,0.051525022,3.834010952,0.011705684,0.013438934,0.082407706,0.015873016
72,5,400,40,2,1807,0.055756707,3.796612985,0.016101821,0.014685907,0.091721911,0.015873016
73,5,400,40,3,1743,0.058420631,3.814194946,0.017017783,0.015316635,0.110229521,0.015873016
74,5,400,40,4,1735,0.055040045,3.875201553,0.014681521,0.014203144,0.147144685,0.015873016
75,5,400,40,5,1793,0.063178882,3.811839371,0.014302891,0.016574382,0.095212391,0.015873016
76,5,400,40,6,1757,0.051218525,3.795876197,0.015272908,0.013493202,0.103847823,0.015873016
77,5,400,40,7,2251,0.062602839,3.741734271,0.016460972,0.016730969,0.099533345,0.015873016
78,5,400,40,8,2270,0.060588531,3.784164017,0.014232101,0.016011074,0.074022448,0.015873016
79,5,400,40,9,1957,0.065235497,3.719364213,0.012825781,0.017539422,0.093629291,0.015873016
80,5,400,40,10,2230,0.061978777,3.785088445,0.014063552,0.016374459,0.085961222,0.015873016
81,5,400,80,1,1717,0.059232737,3.950940026,0.014839328,0.014992062,0.103698567,0.015873016
82,5,400,80,2,1811,0.069713928,3.880015389,0.014578059,0.017967436,0.104898105,0.015873016
83,5,400,80,3,1779,0.05149333,3.873260411,0.016665216,0.01329457,0.089989259,0.015873016
84,5,400,80,4,1780,0.056613269,3.849541175,0.01583709,0.014706498,0.178314019,0.015873016
85,5,400,80,5,1945,0.066707882,3.898328226,0.015976615,0.01711192,0.111798694,0.015873016
86,5,400,80,6,2007,0.047135849,3.857015586,0.016212823,0.012220809,0.107192629,0.015873016
87,5,400,80,7,2101,0.06751062,3.843600023,0.01482262,0.017564424,0.106210098,0.015873016
88,5,400,80,8,1857,0.050554809,3.890353051,0.015515307,0.012994915,0.117291879,0.015873016
89,5,400,80,9,1885,0.0543253,3.913612606,0.015692117,0.013881113,0.11318444,0.015873016
90,5,400,80,10,2518,0.060495512,3.886625409,0.015750437,0.015565048,0.140237732,0.015873016
91,10,100,20,1,1717,0.002690067,3.833774632,0.000786026,0.000701676,0,0.00048852
92,10,100,20,2,1769,0.000761133,3.560430965,0,0.000213775,0,0.00048852
93,10,100,20,3,1745,0.0006143,3.553204182,6.38E-05,0.000172886,0,0.00048852
94,10,100,20,4,1981,0.001003035,3.654813414,0.000135768,0.000274442,0,0.00048852
95,10,100,20,5,1777,0.004178431,3.746700112,0,0.00111523,0,0.00048852
96,10,100,20,6,1982,0.002885566,3.77796277,5.60E-05,0.000763789,0,0.00048852
97,10,100,20,7,1933,0.000447366,3.605718316,0,0.000124071,0,0.00048852
98,10,100,20,8,2179,0.002849817,3.594119807,0.000713258,0.000792911,0,0.00048852
99,10,100,20,9,2229,0.000621694,3.684067545,0,0.000168752,0,0.00048852
100,10,100,20,10,1915,0.000824491,3.681393698,0,0.000223962,0,0.00048852
101,10,100,40,1,1717,0.003677843,3.8591431,0,0.000953021,0,0.00048852
102,10,100,40,2,1791,0.002073991,3.770214947,0,0.000550099,0,0.00048852
103,10,100,40,3,1767,0.00077713,3.69879599,0,0.000210104,0,0.00048852
104,10,100,40,4,1921,0.00156985,3.88694963,0.000747982,0.000403877,0,0.00048852
105,10,100,40,5,1985,0.000734076,3.865854006,0.001041903,0.000189887,0,0.00048852
106,10,100,40,6,1832,0.002118521,3.941776002,0,0.000537453,0,0.00048852
107,10,100,40,7,1843,0.001050181,3.89677737,0.000615618,0.0002695,0,0.00048852
108,10,100,40,8,2312,0.001696432,3.813513048,0.000402302,0.000444848,0,0.00048852
109,10,100,40,9,1965,0.000253288,3.93471462,0,6.44E-05,0,0.00048852
110,10,100,40,10,2050,0.002655492,3.845390824,0.001247813,0.000690565,0,0.00048852
111,10,100,80,1,1717,0.003925717,3.933256118,0.000461689,0.000998083,0,0.00048852
112,10,100,80,2,1788,0.001192001,3.93764183,0.000131564,0.00030272,0,0.00048852
113,10,100,80,3,1823,0.005136656,3.858169873,0.000517558,0.001331371,0,0.00048852
114,10,100,80,4,1738,0.002022633,3.953299314,0.000511386,0.000511632,0,0.00048852
115,10,100,80,5,2065,0.001478432,3.863146467,0.00051453,0.000382702,0,0.00048852
116,10,100,80,6,1732,0.001088339,3.87270258,0.000451486,0.000281028,0,0.00048852
117,10,100,80,7,1807,0.001059593,3.853341809,0.000796103,0.00027498,0,0.00048852
118,10,100,80,8,1976,0.00134695,3.902099699,0.000300048,0.000345186,0,0.00048852
119,10,100,80,9,2077,1.14E-05,4.004049399,0.000596536,2.84E-06,0,0.00048852
120,10,100,80,10,2068,0.001993118,3.989904491,2.20E-05,0.00049954,0,0.00048852
121,10,200,20,1,1717,0.000130122,3.60916653,0,3.61E-05,0,0.00048852
122,10,200,20,2,1754,0.00166055,3.601601967,1.31E-05,0.000461059,0,0.00048852
123,10,200,20,3,1803,0.000408713,3.691197695,0.000315569,0.000110726,0,0.00048852
124,10,200,20,4,1816,0.000304638,3.838012087,0.000128802,7.94E-05,0,0.00048852
125,10,200,20,5,2093,0.000369885,3.775914504,0.000291548,9.80E-05,0,0.00048852
126,10,200,20,6,1867,0.002137753,3.759802617,0.000189333,0.000568581,0,0.00048852
127,10,200,20,7,2245,0.002079364,3.691881616,4.62E-06,0.000563226,0,0.00048852
128,10,200,20,8,2172,0.001333719,3.710817963,0.000350942,0.000359414,0,0.00048852
129,10,200,20,9,2253,0.000604348,3.77057364,2.35E-05,0.00016028,0,0.00048852
130,10,200,20,10,2482,0.000381062,3.875530285,6.79E-06,9.83E-05,0,0.00048852
