,K,nparticles,nmeantimes,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV1(K),PFV2(K),Pr(K),Error(MC),Error(FV)
317,40,100,30,0.3,12,5,1721,0,6.231537243,0.00%,0.00%,0,0.0%,0.00%,0.00%
318,40,100,30,0.3,12,6,1722,0,7.283517655,0.00%,0.00%,0,0.0%,0.00%,0.00%
319,40,100,30,0.3,12,7,1723,0,7.477354727,0.00%,0.00%,0,0.0%,0.00%,0.00%
320,40,100,30,0.3,12,8,1724,0,7.831966515,0.00%,0.00%,0,0.0%,0.00%,0.00%
321,40,200,30,0.3,12,1,1717,0,11.81224124,0.00%,0.00%,0,0.0%,0.00%,0.00%
322,40,200,30,0.3,12,2,1718,0,7.050160212,0.00%,0.00%,0,0.0%,0.00%,0.00%
323,40,200,30,0.3,12,3,1719,0,8.243843724,0.00%,0.00%,0,0.0%,0.00%,0.00%
324,40,200,30,0.3,12,4,1720,0,7.39373357,0.00%,0.00%,0,0.0%,0.00%,0.00%
325,40,200,30,0.3,12,5,1721,0,7.302715974,0.00%,0.00%,0,0.0%,0.00%,0.00%
326,40,200,30,0.3,12,6,1722,0,7.982616275,0.00%,0.00%,0,0.0%,0.00%,0.00%
327,40,200,30,0.3,12,7,1723,0,7.095994723,0.00%,0.00%,0,0.0%,0.00%,0.00%
328,40,200,30,0.3,12,8,1724,0,7.357212019,0.00%,0.00%,0,0.0%,0.00%,0.00%
329,40,400,30,0.3,12,1,1717,0,8.871861003,0.00%,0.00%,0,0.0%,0.00%,0.00%
330,40,400,30,0.3,12,2,1718,0,8.090733124,0.00%,0.00%,0,0.0%,0.00%,0.00%
331,40,400,30,0.3,12,3,1719,0,7.606980862,0.00%,0.00%,0,0.0%,0.00%,0.00%
332,40,400,30,0.3,12,4,1720,0,7.58608142,0.00%,0.00%,0,0.0%,0.00%,0.00%
333,40,400,30,0.3,12,5,1721,0,6.827682627,0.00%,0.00%,0,0.0%,0.00%,0.00%
334,40,400,30,0.3,12,6,1722,8.71E-08,8.045973273,0.00%,0.00%,0,0.0%,0.00%,0.00%
335,40,400,30,0.3,12,7,1723,0,7.480965373,0.00%,0.00%,0,0.0%,0.00%,0.00%
336,40,400,30,0.3,12,8,1724,0,8.01904252,0.00%,0.00%,0,0.0%,0.00%,0.00%
337,40,100,30,0.4,16,1,1717,0,3.643539404,0.00%,0.00%,0,0.0%,0.00%,0.00%
338,40,100,30,0.4,16,2,1718,0,4.519419266,0.00%,0.00%,0,0.0%,0.00%,0.00%
339,40,100,30,0.4,16,3,1719,0,8.015226999,0.00%,0.00%,0,0.0%,0.00%,0.00%
340,40,100,30,0.4,16,4,1720,0,4.977261472,0.00%,0.00%,0,0.0%,0.00%,0.00%
341,40,100,30,0.4,16,5,1721,0,7.546142551,0.00%,0.00%,0,0.0%,0.00%,0.00%
342,40,100,30,0.4,16,6,1722,0,7.44774497,0.00%,0.00%,0,0.0%,0.00%,0.00%
343,40,100,30,0.4,16,7,1723,2.49E-05,7.796124022,0.00%,0.00%,0,0.0%,0.00%,0.00%
344,40,100,30,0.4,16,8,1724,0,6.131574635,0.00%,0.00%,0,0.0%,0.00%,0.00%
345,40,200,30,0.4,16,1,1717,0,14.09957584,0.00%,0.00%,0,0.0%,0.00%,0.00%
346,40,200,30,0.4,16,2,1718,8.43E-06,5.571772982,0.00%,0.00%,0,0.0%,0.00%,0.00%
347,40,200,30,0.4,16,3,1719,0,9.141707808,0.00%,0.00%,0,0.0%,0.00%,0.00%
348,40,200,30,0.4,16,4,1720,0.000150738,8.087069997,0.00%,0.00%,0,0.0%,0.00%,0.00%
349,40,200,30,0.4,16,5,1721,0.000125532,7.683146034,0.00%,0.00%,0,0.0%,0.00%,0.00%
350,40,200,30,0.4,16,6,1722,0,6.16097602,0.00%,0.00%,0,0.0%,0.00%,0.00%
351,40,200,30,0.4,16,7,1723,0,8.716983023,0.00%,0.00%,0,0.0%,0.00%,0.00%
352,40,200,30,0.4,16,8,1724,0,7.370132155,0.00%,0.00%,0,0.0%,0.00%,0.00%
353,40,400,30,0.4,16,1,1717,1.69E-05,7.06682346,0.00%,0.00%,0,0.0%,0.00%,0.00%
354,40,400,30,0.4,16,2,1718,4.80E-06,7.237160827,0.00%,0.00%,0,0.0%,0.00%,0.00%
355,40,400,30,0.4,16,3,1719,7.81E-06,8.175097768,0.00%,0.00%,0,0.0%,0.00%,0.00%
356,40,400,30,0.4,16,4,1720,9.73E-07,8.517982233,0.00%,0.00%,0,0.0%,0.00%,0.00%
357,40,400,30,0.4,16,5,1721,2.60E-06,7.96773332,0.00%,0.00%,0,0.0%,0.00%,0.00%
358,40,400,30,0.4,16,6,1722,2.99E-06,6.891837008,0.00%,0.00%,0,0.0%,0.00%,0.00%
359,40,400,30,0.4,16,7,1723,0,7.967811794,0.00%,0.00%,0,0.0%,0.00%,0.00%
360,40,400,30,0.4,16,8,1724,0,7.180291004,0.00%,0.00%,0,0.0%,0.00%,0.00%
361,40,100,30,0.5,20,1,1717,2.35E-05,32.87362912,0.00%,0.00%,0,0.0%,0.00%,0.00%
362,40,100,30,0.5,20,2,1718,0.000186133,5.702036951,0.00%,0.00%,0,0.0%,0.00%,0.00%
363,40,100,30,0.5,20,3,1719,5.12E-06,29.00556455,0.00%,0.00%,0,0.0%,0.00%,0.00%
364,40,100,30,0.5,20,4,1720,0,5.701682193,0.00%,0.00%,0,0.0%,0.00%,0.00%
365,40,100,30,0.5,20,5,1721,7.55E-05,21.42857148,0.00%,0.00%,0,0.0%,0.00%,0.00%
366,40,100,30,0.5,20,6,1722,6.43E-05,12.28103407,0.00%,0.00%,0,0.0%,0.00%,0.00%
367,40,100,30,0.5,20,7,1723,0.001367018,6.486927305,0.00%,0.02%,0,0.0%,0.00%,0.02%
368,40,100,30,0.5,20,8,1724,7.72E-05,7.467088565,0.00%,0.00%,0,0.0%,0.00%,0.00%
369,40,200,30,0.5,20,1,1717,6.01E-05,14.65311101,0.00%,0.00%,0,0.0%,0.00%,0.00%
370,40,200,30,0.5,20,2,1718,0.000274501,3.776235707,0.00%,0.01%,0,0.0%,0.00%,0.01%
371,40,200,30,0.5,20,3,1719,0.000254733,13.84403105,0.00%,0.00%,0,0.0%,0.00%,0.00%
372,40,200,30,0.5,20,4,1720,8.43E-05,9.097724797,0.00%,0.00%,0,0.0%,0.00%,0.00%
373,40,200,30,0.5,20,5,1721,0.0004076,9.731156749,0.00%,0.00%,0,0.0%,0.00%,0.00%
374,40,200,30,0.5,20,6,1722,0.000106998,6.863692278,0.00%,0.00%,0,0.0%,0.00%,0.00%
375,40,200,30,0.5,20,7,1723,6.19E-05,4.36307584,0.00%,0.00%,0,0.0%,0.00%,0.00%
376,40,200,30,0.5,20,8,1724,0.000556467,9.052585624,0.00%,0.01%,0,0.0%,0.00%,0.01%
377,40,400,30,0.5,20,1,1717,3.26E-05,12.82812075,0.00%,0.00%,0,0.0%,0.00%,0.00%
378,40,400,30,0.5,20,2,1718,0.000177324,5.941788942,0.00%,0.00%,0,0.0%,0.00%,0.00%
379,40,400,30,0.5,20,3,1719,3.34E-05,10.60548426,0.00%,0.00%,0,0.0%,0.00%,0.00%
380,40,400,30,0.5,20,4,1720,0.000199866,10.69307488,0.00%,0.00%,0,0.0%,0.00%,0.00%
381,40,400,30,0.5,20,5,1721,2.34E-05,10.34402955,0.00%,0.00%,0,0.0%,0.00%,0.00%
382,40,400,30,0.5,20,6,1722,0.000102488,7.909546803,0.00%,0.00%,0,0.0%,0.00%,0.00%
383,40,400,30,0.5,20,7,1723,7.55E-05,13.02043393,0.00%,0.00%,0,0.0%,0.00%,0.00%
384,40,400,30,0.5,20,8,1724,0.000126569,8.057497642,0.00%,0.00%,0,0.0%,0.00%,0.00%
