,K,nparticles,nmeantimes,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV1(K),PFV2(K),Pr(K),Error(MC),Error(FV)
137,10,400,30,0.3,3,1,1717,0.073743585,3.616708818,1.48%,2.04%,0.105262119,2.4%,-0.88%,-0.32%
138,10,400,30,0.3,3,2,1718,0.08065691,3.538003337,1.28%,2.28%,0.114614284,2.4%,-1.08%,-0.07%
139,10,400,30,0.3,3,3,1719,0.078798217,3.661354062,1.74%,2.15%,0.107625579,2.4%,-0.61%,-0.20%
140,10,400,30,0.3,3,4,1720,0.069165063,3.503990275,1.33%,1.97%,0.11362317,2.4%,-1.02%,-0.38%
141,10,400,30,0.3,3,5,1721,0.082003752,3.592685617,1.50%,2.28%,0.110059338,2.4%,-0.86%,-0.07%
142,10,400,30,0.3,3,6,1722,0.066014186,3.514705396,1.15%,1.88%,0.095123703,2.4%,-1.20%,-0.48%
143,10,400,30,0.3,3,7,1723,0.064612175,3.658941301,1.58%,1.77%,0.094495883,2.4%,-0.77%,-0.59%
144,10,400,30,0.3,3,8,1724,0.080454692,3.789344101,1.73%,2.12%,0.098281618,2.4%,-0.63%,-0.23%
145,10,100,30,0.4,4,1,1717,0.09719962,3.867537036,1.53%,2.51%,0.138831612,2.4%,-0.82%,0.16%
146,10,100,30,0.4,4,2,1718,0.081101036,4.40446468,2.18%,1.84%,0.12136294,2.4%,-0.17%,-0.51%
147,10,100,30,0.4,4,3,1719,0.060550008,4.128437763,1.42%,1.47%,0.116688806,2.4%,-0.94%,-0.89%
148,10,100,30,0.4,4,4,1720,0.096235622,4.190930378,0.92%,2.30%,0.092228321,2.4%,-1.43%,-0.06%
149,10,100,30,0.4,4,5,1721,0.076977811,3.994853738,1.34%,1.93%,0.149280947,2.4%,-1.02%,-0.43%
150,10,100,30,0.4,4,6,1722,0.178025207,4.521670617,2.46%,3.94%,0.168319788,2.4%,0.11%,1.58%
151,10,100,30,0.4,4,7,1723,0.098203949,4.163365897,2.22%,2.36%,0.131389934,2.4%,-0.13%,0.00%
152,10,100,30,0.4,4,8,1724,0.079769948,4.219442969,1.85%,1.89%,0.089528025,2.4%,-0.51%,-0.46%
153,10,200,30,0.4,4,1,1717,0.117362206,4.241404593,1.57%,2.77%,0.115661755,2.4%,-0.78%,0.41%
154,10,200,30,0.4,4,2,1718,0.11302186,4.166371176,2.08%,2.71%,0.117973293,2.4%,-0.27%,0.36%
155,10,200,30,0.4,4,3,1719,0.10091637,4.164653087,1.64%,2.42%,0.125652933,2.4%,-0.72%,0.07%
156,10,200,30,0.4,4,4,1720,0.109281888,4.241931368,1.50%,2.58%,0.137148366,2.4%,-0.85%,0.22%
157,10,200,30,0.4,4,5,1721,0.091510736,4.306095877,1.84%,2.13%,0.140498205,2.4%,-0.51%,-0.23%
158,10,200,30,0.4,4,6,1722,0.122393793,4.318637529,2.22%,2.83%,0.141446829,2.4%,-0.14%,0.48%
159,10,200,30,0.4,4,7,1723,0.089625309,4.029958773,1.65%,2.22%,0.131905043,2.4%,-0.70%,-0.13%
160,10,200,30,0.4,4,8,1724,0.078334006,4.141075732,1.19%,1.89%,0.101582063,2.4%,-1.17%,-0.46%
161,10,400,30,0.4,4,1,1717,0.093542437,4.08243491,1.68%,2.29%,0.123927151,2.4%,-0.67%,-0.06%
162,10,400,30,0.4,4,2,1718,0.092056051,4.27252781,1.75%,2.15%,0.122626011,2.4%,-0.60%,-0.20%
163,10,400,30,0.4,4,3,1719,0.09734819,4.155581808,1.79%,2.34%,0.129278089,2.4%,-0.57%,-0.01%
164,10,400,30,0.4,4,4,1720,0.116152497,4.034002935,1.46%,2.88%,0.143788607,2.4%,-0.89%,0.53%
165,10,400,30,0.4,4,5,1721,0.106897038,4.060531085,2.27%,2.63%,0.140840452,2.4%,-0.08%,0.28%
166,10,400,30,0.4,4,6,1722,0.100299443,4.186485294,1.82%,2.40%,0.128884022,2.4%,-0.54%,0.04%
167,10,400,30,0.4,4,7,1723,0.119228667,4.190897577,1.56%,2.84%,0.128890117,2.4%,-0.80%,0.49%
168,10,400,30,0.4,4,8,1724,0.109656747,4.157716429,1.85%,2.64%,0.12632442,2.4%,-0.51%,0.28%
169,10,100,30,0.5,5,1,1717,0.136506993,4.726255649,1.34%,2.89%,0.172658416,2.4%,-1.02%,0.53%
170,10,100,30,0.5,5,2,1718,0.157576655,4.597860186,2.04%,3.43%,0.124951572,2.4%,-0.32%,1.07%
171,10,100,30,0.5,5,3,1719,0.1560741,4.937854682,2.48%,3.16%,0.157046218,2.4%,0.13%,0.81%
172,10,100,30,0.5,5,4,1720,0.150119941,4.747890524,1.35%,3.16%,0.13902909,2.4%,-1.01%,0.81%
173,10,100,30,0.5,5,5,1721,0.118903434,4.658547888,2.04%,2.55%,0.148032663,2.4%,-0.31%,0.20%
174,10,100,30,0.5,5,6,1722,0.136759755,4.817917536,1.30%,2.84%,0.193517433,2.4%,-1.05%,0.48%
175,10,100,30,0.5,5,7,1723,0.143256293,4.99068881,1.84%,2.87%,0.145864853,2.4%,-0.52%,0.52%
176,10,100,30,0.5,5,8,1724,0.168937917,4.939860701,2.05%,3.42%,0.161020954,2.4%,-0.30%,1.07%
177,10,200,30,0.5,5,1,1717,0.179492171,4.861563213,2.15%,3.69%,0.157029335,2.4%,-0.20%,1.34%
178,10,200,30,0.5,5,2,1718,0.179217159,4.908437012,2.20%,3.65%,0.141307661,2.4%,-0.16%,1.30%
179,10,200,30,0.5,5,3,1719,0.145292977,4.975846904,1.64%,2.92%,0.133820628,2.4%,-0.71%,0.57%
180,10,200,30,0.5,5,4,1720,0.159424369,4.617832457,1.63%,3.45%,0.151004839,2.4%,-0.72%,1.10%
181,10,200,30,0.5,5,5,1721,0.139378333,4.85120943,1.69%,2.87%,0.110402743,2.4%,-0.66%,0.52%
182,10,200,30,0.5,5,6,1722,0.144754649,4.687409155,1.53%,3.09%,0.183921828,2.4%,-0.82%,0.73%
183,10,200,30,0.5,5,7,1723,0.159282684,5.019138266,1.74%,3.17%,0.14563303,2.4%,-0.62%,0.82%
184,10,200,30,0.5,5,8,1724,0.145404153,4.838493841,1.71%,3.01%,0.141238391,2.4%,-0.64%,0.65%
185,10,400,30,0.5,5,1,1717,0.150710975,4.936766415,2.05%,3.05%,0.161708003,2.4%,-0.30%,0.70%
186,10,400,30,0.5,5,2,1718,0.154058693,4.825041244,2.16%,3.19%,0.148547234,2.4%,-0.20%,0.84%
187,10,400,30,0.5,5,3,1719,0.135259979,4.938418678,1.87%,2.74%,0.144801751,2.4%,-0.48%,0.38%
188,10,400,30,0.5,5,4,1720,0.137580213,5.083757413,1.66%,2.71%,0.108699367,2.4%,-0.69%,0.35%
189,10,400,30,0.5,5,5,1721,0.141110407,4.910942343,1.90%,2.87%,0.147728789,2.4%,-0.45%,0.52%
190,10,400,30,0.5,5,6,1722,0.158536364,5.026874426,1.71%,3.15%,0.14942296,2.4%,-0.65%,0.80%
191,10,400,30,0.5,5,7,1723,0.144695233,5.055640969,2.45%,2.86%,0.135448642,2.4%,0.10%,0.51%
192,10,400,30,0.5,5,8,1724,0.160088437,4.927536033,2.04%,3.25%,0.139648609,2.4%,-0.31%,0.89%
193,20,100,30,0.2,4,1,1717,0.000163401,4.184732634,0.15%,0.00%,0,0.1%,0.02%,-0.12%
194,20,100,30,0.2,4,2,1718,0.000237481,4.215597331,0.0450%,0.0056%,0,0.1%,-0.08%,-0.12%
195,20,100,30,0.2,4,3,1719,0.003215252,4.19073188,0.10%,0.08%,3.21E-05,0.1%,-0.03%,-0.05%
196,20,100,30,0.2,4,4,1720,0.000588427,4.054040817,0.06%,0.01%,0,0.1%,-0.07%,-0.11%
197,20,100,30,0.2,4,5,1721,0.001400211,4.040363232,0.00%,0.03%,0,0.1%,-0.12%,-0.09%
198,20,100,30,0.2,4,6,1722,0.001075561,4.225912396,0.00%,0.03%,0,0.1%,-0.12%,-0.10%
199,20,100,30,0.2,4,7,1723,0.001098015,4.153511058,0.00%,0.03%,0,0.1%,-0.12%,-0.10%
200,20,100,30,0.2,4,8,1724,0.001625613,4.004490912,0.01%,0.04%,0,0.1%,-0.12%,-0.08%
201,20,200,30,0.2,4,1,1717,0.00047683,4.156739114,0.00%,0.01%,0,0.1%,-0.12%,-0.11%
202,20,200,30,0.2,4,2,1718,0.000662814,4.348106281,0.0079%,0.0152%,0,0.1%,-0.12%,-0.11%
203,20,200,30,0.2,4,3,1719,0.000887999,4.076492386,0.03%,0.02%,0,0.1%,-0.09%,-0.10%
204,20,200,30,0.2,4,4,1720,0.000962193,4.284505582,0.13%,0.02%,0,0.1%,0.01%,-0.10%
205,20,200,30,0.2,4,5,1721,0.000569974,4.294955266,0.04%,0.01%,0,0.1%,-0.09%,-0.11%
206,20,200,30,0.2,4,6,1722,0.002707199,4.271822005,0.03%,0.06%,0,0.1%,-0.10%,-0.06%
207,20,200,30,0.2,4,7,1723,0.002005843,4.241475988,0.09%,0.05%,0,0.1%,-0.04%,-0.08%
208,20,200,30,0.2,4,8,1724,0.0019373,4.125728445,0.00%,0.05%,0,0.1%,-0.12%,-0.08%
209,20,400,30,0.2,4,1,1717,0.000846279,4.266008284,0.01%,0.02%,0,0.1%,-0.11%,-0.10%
210,20,400,30,0.2,4,2,1718,0.000902752,4.249612781,0.0474%,0.0212%,0,0.1%,-0.08%,-0.10%
211,20,400,30,0.2,4,3,1719,0.001262568,4.223285568,0.04%,0.03%,0,0.1%,-0.08%,-0.09%
212,20,400,30,0.2,4,4,1720,0.001158922,4.302915537,0.03%,0.03%,0,0.1%,-0.10%,-0.10%
213,20,400,30,0.2,4,5,1721,0.000633393,4.057902557,0.02%,0.02%,0,0.1%,-0.11%,-0.11%
214,20,400,30,0.2,4,6,1722,0.000936104,4.27228292,0.05%,0.02%,0,0.1%,-0.08%,-0.10%
215,20,400,30,0.2,4,7,1723,0.000655726,4.286029034,0.11%,0.02%,0,0.1%,-0.01%,-0.11%
216,20,400,30,0.2,4,8,1724,0.000410229,4.226616299,0.04%,0.01%,0,0.1%,-0.09%,-0.11%
217,20,100,30,0.3,6,1,1717,0.000733375,5.86217413,0.05%,0.01%,0,0.1%,-0.08%,-0.11%
218,20,100,30,0.3,6,2,1718,0.005350886,5.988224632,0.0000%,0.0894%,0.001557531,0.1%,-0.12%,-0.04%
219,20,100,30,0.3,6,3,1719,0.003014307,5.818508769,0.00%,0.05%,0,0.1%,-0.12%,-0.07%
220,20,100,30,0.3,6,4,1720,0.001409952,6.070576535,0.01%,0.02%,0,0.1%,-0.11%,-0.10%
221,20,100,30,0.3,6,5,1721,0.003206555,5.66381516,0.05%,0.06%,0.006561595,0.1%,-0.07%,-0.07%
222,20,100,30,0.3,6,6,1722,0.00092953,6.343022468,0.06%,0.01%,0,0.1%,-0.06%,-0.11%
223,20,100,30,0.3,6,7,1723,0.001121057,5.496414962,0.04%,0.02%,0,0.1%,-0.09%,-0.10%
224,20,100,30,0.3,6,8,1724,0.005259563,5.418058652,0.00%,0.10%,0,0.1%,-0.12%,-0.03%
225,20,200,30,0.3,6,1,1717,0.002453074,6.289698028,0.02%,0.04%,0,0.1%,-0.10%,-0.09%
226,20,200,30,0.3,6,2,1718,0.002464359,6.108400849,0.0007%,0.0403%,0,0.1%,-0.12%,-0.08%
227,20,200,30,0.3,6,3,1719,0.002192277,6.015929259,0.10%,0.04%,0,0.1%,-0.02%,-0.09%
228,20,200,30,0.3,6,4,1720,0.00405176,6.001292672,0.03%,0.07%,0.000453739,0.1%,-0.09%,-0.06%
229,20,200,30,0.3,6,5,1721,0.002300618,5.349279269,0.04%,0.04%,0,0.1%,-0.08%,-0.08%
230,20,200,30,0.3,6,6,1722,0.002519724,6.230744815,0.00%,0.04%,0,0.1%,-0.12%,-0.08%
