,,,n,n,n,n,mean,mean,mean,mean,std,std,std,std,min,min,min,min,max,max,max,max,SE,SE,SE,SE
,,,PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K),PMC(K),PFV1(K),PFV2(K),Pr(K)
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,,,,,,,
5.0,0.2,100.0,8,8,8,8,0.1093987333594808,0.08721429045457012,0.2191271352186332,0.11987461589147827,0.004377832063484737,0.008902105060546162,0.03175177824324938,0.0,0.10280690390086218,0.07811616185568131,0.1637615360808151,0.11987461589147824,0.11674136145626363,0.10534010469183663,0.25083060078108826,0.11987461589147824,0.0015477973694929769,0.003147369427573636,0.011225948855266558,0.0
5.0,0.2,200.0,8,8,8,8,0.1087365396023072,0.09469436359494654,0.21738569643455247,0.11987461589147827,0.002557747781236893,0.007193744869255761,0.014393325117350392,0.0,0.10409853642810858,0.0843923088904113,0.19008639439050537,0.11987461589147824,0.11159519434157866,0.10618008509638553,0.23883400978694244,0.11987461589147824,0.0009043004003387265,0.0025433728895883413,0.005088808897150561,0.0
5.0,0.2,400.0,8,8,8,8,0.10965718944142394,0.09493563002653106,0.21423199396570797,0.11987461589147827,0.0037842376573601357,0.006097960491782524,0.014175848449467959,0.0,0.10534704188565473,0.08776975044519386,0.19899080770689948,0.11987461589147824,0.11639200233454979,0.10477131428345518,0.2344386440109068,0.11987461589147824,0.0013379300545704232,0.002155954607573538,0.005011919283845799,0.0
5.0,0.3,100.0,8,8,8,8,0.1093987333594808,0.08721429045457012,0.2191271352186332,0.11987461589147827,0.004377832063484737,0.008902105060546162,0.03175177824324938,0.0,0.10280690390086218,0.07811616185568131,0.1637615360808151,0.11987461589147824,0.11674136145626363,0.10534010469183663,0.25083060078108826,0.11987461589147824,0.0015477973694929769,0.003147369427573636,0.011225948855266558,0.0
5.0,0.3,200.0,8,8,8,8,0.1087365396023072,0.09469436359494654,0.21738569643455247,0.11987461589147827,0.002557747781236893,0.007193744869255761,0.014393325117350392,0.0,0.10409853642810858,0.0843923088904113,0.19008639439050537,0.11987461589147824,0.11159519434157866,0.10618008509638553,0.23883400978694244,0.11987461589147824,0.0009043004003387265,0.0025433728895883413,0.005088808897150561,0.0
5.0,0.3,400.0,8,8,8,8,0.10965718944142394,0.09493563002653106,0.21423199396570797,0.11987461589147827,0.0037842376573601357,0.006097960491782524,0.014175848449467959,0.0,0.10534704188565473,0.08776975044519386,0.19899080770689948,0.11987461589147824,0.11639200233454979,0.10477131428345518,0.2344386440109068,0.11987461589147824,0.0013379300545704232,0.002155954607573538,0.005011919283845799,0.0
5.0,0.4,100.0,8,8,8,8,0.11223758658886225,0.12708052662661867,0.3793361881928249,0.11987461589147827,0.00963117403800201,0.020630012310480277,0.03518458265302108,0.0,0.09526804629355946,0.09900841423138225,0.3227837059426599,0.11987461589147824,0.12847455673105856,0.15577450427534212,0.4419566084512007,0.11987461589147824,0.0034051342365295223,0.007293810800351279,0.012439628493584886,0.0
5.0,0.4,200.0,8,8,8,8,0.11126581375683008,0.12858130128111292,0.37562338523820316,0.11987461589147827,0.005198507518924192,0.01434997273267223,0.020128245241578014,0.0,0.10383627862157999,0.10971034389888008,0.3406240965709457,0.11987461589147824,0.1167948470649709,0.14537386867200433,0.4028802792351416,0.11987461589147824,0.0018379499593402752,0.005073481514557292,0.007116409351852835,0.0
5.0,0.4,400.0,8,8,8,8,0.11417707303175231,0.11957371530174238,0.3571120955356885,0.11987461589147827,0.003537426329083864,0.008489215590282033,0.047839340876454514,0.0,0.10863170931762454,0.10582193296407039,0.2682510681275554,0.11987461589147824,0.12053978165280392,0.12843532807628535,0.4069172397802701,0.11987461589147824,0.0012506690726215178,0.0030013909554214924,0.01691376117061789,0.0
5.0,0.5,100.0,8,8,8,8,0.11223758658886225,0.12708052662661867,0.3793361881928249,0.11987461589147827,0.00963117403800201,0.020630012310480277,0.03518458265302108,0.0,0.09526804629355946,0.09900841423138225,0.3227837059426599,0.11987461589147824,0.12847455673105856,0.15577450427534212,0.4419566084512007,0.11987461589147824,0.0034051342365295223,0.007293810800351279,0.012439628493584886,0.0
5.0,0.5,200.0,8,8,8,8,0.11126581375683008,0.12858130128111292,0.37562338523820316,0.11987461589147827,0.005198507518924192,0.01434997273267223,0.020128245241578014,0.0,0.10383627862157999,0.10971034389888008,0.3406240965709457,0.11987461589147824,0.1167948470649709,0.14537386867200433,0.4028802792351416,0.11987461589147824,0.0018379499593402752,0.005073481514557292,0.007116409351852835,0.0
5.0,0.5,400.0,8,8,8,8,0.11417707303175231,0.11957371530174238,0.3571120955356885,0.11987461589147827,0.003537426329083864,0.008489215590282033,0.047839340876454514,0.0,0.10863170931762454,0.10582193296407039,0.2682510681275554,0.11987461589147824,0.12053978165280392,0.12843532807628535,0.4069172397802701,0.11987461589147824,0.0012506690726215178,0.0030013909554214924,0.01691376117061789,0.0
10.0,0.2,100.0,8,8,8,8,0.015664845608180187,0.015092680603473786,0.08738146120061772,0.02353995576660312,0.005255949073707232,0.004399689264481142,0.01389427893775031,0.0,0.009085425421961718,0.011244388970953808,0.06288102692445215,0.023539955766603123,0.024586669085707346,0.0223853447621392,0.10810316645609255,0.023539955766603123,0.0018582586157947685,0.0015555250570141344,0.004912369428290332,0.0
10.0,0.2,200.0,8,8,8,8,0.01471409942565314,0.013471982696600042,0.07163724636920693,0.02353995576660312,0.0034521418205826827,0.0037066098807271605,0.010573205191990757,0.0,0.01008597349376309,0.007946975903625168,0.06186613610288044,0.023539955766603123,0.020247735690966634,0.018869988464953046,0.08742927984900872,0.023539955766603123,0.0012205164454758444,0.0013104844909376176,0.003738192545066738,0.0
10.0,0.2,400.0,8,8,8,8,0.015075315741087263,0.013877462115436091,0.0684116719999486,0.02353995576660312,0.0015554242241313675,0.0012334257936739155,0.00467437108823599,0.0,0.013363709880762697,0.012321483890597795,0.06399542112985668,0.023539955766603123,0.01796330696866436,0.01591544689825709,0.07873742923447123,0.023539955766603123,0.0005499255082525572,0.0004360818713986125,0.0016526397471370048,0.0
10.0,0.3,100.0,8,8,8,8,0.016009669258015616,0.017755112808837393,0.10350422690625655,0.02353995576660312,0.0047219049508468725,0.004653355992564254,0.016964804863726993,0.0,0.007304107366160811,0.011482820946663894,0.07595521194801906,0.023539955766603123,0.021551744511420418,0.024258297869527504,0.12966233177389952,0.023539955766603123,0.0016694455054310773,0.0016452097888086208,0.005997964280323939,0.0
10.0,0.3,200.0,8,8,8,8,0.017590836156164052,0.019405184817004338,0.10884164555165787,0.02353995576660312,0.002001883817957805,0.004023001712294862,0.015515967998153243,0.0,0.014215059801388482,0.0154420453831335,0.08986408987714344,0.023539955766603123,0.02000412748102222,0.028554487029222506,0.130376714453356,0.023539955766603123,0.00070777281141279,0.0014223458957443944,0.005485723094083809,0.0
10.0,0.3,400.0,8,8,8,8,0.014737310263792512,0.020618193469632395,0.10488571171629718,0.02353995576660312,0.002109570934332386,0.0018426094400743921,0.008037969347234546,0.0,0.011544060146734514,0.01765870782978892,0.09449588343102794,0.023539955766603123,0.017449783808352087,0.02282519548245188,0.11461428412989108,0.023539955766603123,0.0007458459565302355,0.000651460815077475,0.0028418513161995768,0.0
10.0,0.4,100.0,8,8,8,8,0.017398432395758924,0.02278858774222445,0.12595379662272252,0.02353995576660312,0.005276265060762472,0.007499822127795371,0.02700683339366933,0.0,0.00920279944835563,0.014666566659279654,0.08952802531630503,0.023539955766603123,0.02463297390082332,0.03937155576600085,0.16831978767989925,0.023539955766603123,0.0018654414019013974,0.0026515875421285143,0.009548357515519442,0.0
10.0,0.4,200.0,8,8,8,8,0.017114680607157467,0.024442509845355887,0.126483560834953,0.02353995576660312,0.003292147287136484,0.0033845187538576616,0.014008929949871768,0.0,0.011889303080444205,0.018916342405633193,0.10158206335391541,0.023539955766603123,0.022175670044538583,0.028340834905185516,0.14144682889232402,0.023539955766603123,0.0011639498356995517,0.0011966080809528979,0.004952904682360824,0.0
10.0,0.4,400.0,8,8,8,8,0.017715832794979784,0.02522327174913926,0.13056985845575178,0.02353995576660312,0.002429613569747744,0.0026560847086757274,0.007679347795124205,0.0,0.01459620008443663,0.02154603895594697,0.12262601096754919,0.023539955766603123,0.02274818743535,0.028793359640367167,0.14378860654591616,0.023539955766603123,0.0008589981154157422,0.0009390677544552511,0.0027150594505111433,0.0
10.0,0.5,100.0,8,8,8,8,0.01804632634044434,0.030399168727059167,0.155265149775401,0.02353995576660312,0.0043295229388493565,0.0030560647738058586,0.02112974029271978,0.0,0.013029227902371814,0.025523711866056727,0.12495157165210616,0.023539955766603123,0.024812586336256156,0.03427173704116228,0.19351743304402116,0.023539955766603123,0.001530717514681545,0.0010804820626517276,0.00747049132284639,0.0
10.0,0.5,200.0,8,8,8,8,0.017867608857328167,0.0323193551340607,0.14554480681896753,0.02353995576660312,0.002474699074113435,0.00324637844552072,0.0208512745315194,0.0,0.015311796397067671,0.02873063615227027,0.1104027427751792,0.023539955766603123,0.021958263516642873,0.036920670077696165,0.18392182801323548,0.023539955766603123,0.0008749382483508401,0.001147768106562772,0.007372038808809859,0.0
10.0,0.5,400.0,8,8,8,8,0.019809894696622435,0.029786253112849895,0.14200066937365716,0.02353995576660312,0.0025583949784026305,0.0021092099873794095,0.015512309918165138,0.0,0.016613320102619063,0.027062702145783726,0.10869936692911944,0.023539955766603123,0.024537209932373308,0.03248853701560954,0.16170800328335772,0.023539955766603123,0.0009045292190910554,0.0007457183425111863,0.005484429767500953,0.0
20.0,0.2,100.0,8,8,8,8,0.00044177944010337085,0.0002848916200758928,4.017177614194325e-06,0.0012469317753657165,0.0005474523426579234,0.0002344166010274428,1.1362294128910413e-05,0.0,0.0,3.9047007685705216e-05,0.0,0.0012469317753657165,0.0014733977475288442,0.0007672291899462798,3.21374209135546e-05,0.0012469317753657165,0.00019355363193493955,8.287878410460311e-05,4.017177614194324e-06,0.0
20.0,0.2,200.0,8,8,8,8,0.00040820640882128687,0.000302309754921819,0.0,0.0012469317753657165,0.0004711029279364243,0.0001951261791626493,0.0,0.0,0.0,0.00011471258544707265,0.0,0.0012469317753657165,0.0013498523087241544,0.0006337340017473554,0.0,0.0012469317753657165,0.0001665600374903415,6.898752223646525e-05,0.0,0.0
20.0,0.2,400.0,8,8,8,8,0.00043121080121297017,0.00020054332055376126,0.0,0.0012469317753657165,0.0003159911571112722,6.530602691412964e-05,0.0,0.0,9.961601123269806e-05,9.705838714472609e-05,0.0,0.0012469317753657165,0.0011339462829154556,0.00029895405341327026,0.0,0.0012469317753657165,0.00011171974499418214,2.3089167241666125e-05,0.0,0.0
20.0,0.3,100.0,8,8,8,8,0.0002627637403055851,0.00045704819363799934,0.0010148907911525862,0.0012469317753657165,0.00026605529177818436,0.00033620649384652127,0.0023065251506542185,0.0,0.0,0.00012510291882439361,0.0,0.0012469317753657165,0.00063394243628696,0.0009707468289259973,0.006561595165106294,0.0012469317753657165,9.406475049345983e-05,0.00011886694583891421,0.0008154797875024605,0.0
20.0,0.3,200.0,8,8,8,8,0.00024202296996298127,0.0004968622202165024,0.00013341358114403305,0.0012469317753657165,0.0003492331969843466,0.0001744836183057282,0.00025069994709453074,0.0,0.0,0.0003644120000487054,0.0,0.0012469317753657165,0.001011220722744636,0.0008554841434162868,0.0006135693954457491,0.0012469317753657165,0.0001234725809015444,6.16892748549728e-05,8.863581631682568e-05,0.0
20.0,0.3,400.0,8,8,8,8,0.0002869181371569211,0.00047401304168080547,6.290249558762785e-05,0.0012469317753657165,0.00014407052324382297,0.0001747287145994677,0.00017791512473427416,0.0,9.716143295015995e-05,0.0001933266273156693,0.0,0.0012469317753657165,0.0004772179274006167,0.0007510371990318033,0.0005032199647010228,0.0012469317753657165,5.093662197740066e-05,6.177592948064626e-05,6.290249558762785e-05,0.0
20.0,0.4,100.0,8,8,8,8,0.0007670520570298301,0.0011388783535131615,0.004394613108952064,0.0012469317753657165,0.0009589455854873238,0.0004136556777478326,0.0023747602767207345,0.0,0.0,0.0005578719515423285,2.8545350220852615e-05,0.0012469317753657165,0.002494798513543348,0.0017531315141871813,0.008028588191322539,0.0012469317753657165,0.00033903846314349535,0.00014624936740590484,0.0008396045476808366,0.0
20.0,0.4,200.0,8,8,8,8,0.000661500538456195,0.0012138938658514706,0.006635935897626175,0.0012469317753657165,0.0005843286748573379,0.00032405861742343904,0.0036157778910983905,0.0,0.00014844806565543652,0.0007680505032048728,0.0026747693635538303,0.0012469317753657165,0.0017070479060705872,0.0019101224937502406,0.013424149052047736,0.0012469317753657165,0.00020659138421668646,0.00011457202294102541,0.001278370533030033,0.0
20.0,0.4,400.0,8,8,8,8,0.0006288781172452753,0.0010300590121132187,0.004918077394173927,0.0012469317753657165,0.00031907474620589924,0.0002053190003690696,0.001791332551128891,0.0,0.00014311637616326985,0.0006913215135690116,0.0034581919245463303,0.0012469317753657165,0.0009907831222627811,0.0013023974913941607,0.007924340755594714,0.0012469317753657165,0.00011280995837378398,7.259122873370618e-05,0.0006333316971317183,0.0
20.0,0.5,100.0,8,8,8,8,0.0009955169970420395,0.0021220423525369248,0.020464096422919905,0.0012469317753657165,0.0013120151215913081,0.0010218620073722822,0.008399428456662757,0.0,0.0,0.0010412466329215238,0.009940577780074974,0.0012469317753657165,0.0033558413717028946,0.0041796716545486065,0.03779419834743162,0.0012469317753657165,0.0004638673947482533,0.00036128277742491924,0.002969646409898746,0.0
20.0,0.5,200.0,8,8,8,8,0.0005360762453989968,0.0027269668057268415,0.02229111856192819,0.0012469317753657165,0.00043764173857300306,0.000539959615803493,0.0033692334547381197,0.0,0.0,0.0021125851685039046,0.018479777695835014,0.0012469317753657165,0.0011575479730999373,0.003592297496337358,0.027948911119385692,0.0012469317753657165,0.00015472972053762033,0.00019090455295076638,0.0011912039116229514,0.0
20.0,0.5,400.0,8,8,8,8,0.0018530773389199419,0.0023682817760907545,0.01724862301073292,0.0012469317753657165,0.001241735221660488,0.00034983703194930874,0.002272656775326895,0.0,0.0004979412032289655,0.0018107336611972206,0.012931763456309857,0.0012469317753657165,0.004263751660335589,0.0027801204791791266,0.020501513540359444,0.0012469317753657165,0.00043901969783715586,0.00012368606880076553,0.0008035055085715997,0.0
40.0,0.2,100.0,8,8,8,8,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,0.0
40.0,0.2,200.0,8,8,8,8,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,0.0
40.0,0.2,400.0,8,8,8,8,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,0.0
40.0,0.3,100.0,8,8,8,8,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,0.0
40.0,0.3,200.0,8,8,8,8,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0,0.0,0.0
40.0,0.3,400.0,8,8,8,8,0.0,1.3536120003807298e-09,0.0,3.939624007386781e-06,0.0,3.828592898258806e-09,0.0,0.0,0.0,0.0,0.0,3.939624007386781e-06,0.0,1.0828896003045838e-08,0.0,3.939624007386781e-06,0.0,1.3536120003807298e-09,0.0,0.0
40.0,0.4,100.0,8,8,8,8,0.0,3.988068093943571e-07,0.0,3.939624007386781e-06,0.0,1.1279959972244832e-06,0.0,0.0,0.0,0.0,0.0,3.939624007386781e-06,0.0,3.1904544751548566e-06,0.0,3.939624007386781e-06,0.0,3.98806809394357e-07,0.0,0.0
40.0,0.4,200.0,8,8,8,8,0.0,4.561371668858858e-06,0.0,3.939624007386781e-06,0.0,8.019775724153551e-06,0.0,0.0,0.0,0.0,0.0,3.939624007386781e-06,0.0,1.8639433440484465e-05,0.0,3.939624007386781e-06,0.0,2.835418899072115e-06,0.0,0.0
40.0,0.4,400.0,8,8,8,8,0.0,6.105478499968255e-07,0.0,3.939624007386781e-06,0.0,7.924636023824315e-07,0.0,0.0,0.0,0.0,0.0,3.939624007386781e-06,0.0,2.391220291334841e-06,0.0,3.939624007386781e-06,0.0,2.8017819354406855e-07,0.0,0.0
40.0,0.5,100.0,8,8,8,8,0.0,3.292117117617787e-05,0.0,3.939624007386781e-06,0.0,7.26551512244003e-05,0.0,0.0,0.0,0.0,0.0,3.939624007386781e-06,0.0,0.0002107343027005758,0.0,3.939624007386781e-06,0.0,2.568747505945377e-05,0.0,0.0
40.0,0.5,200.0,8,8,8,8,0.0,2.9700528216962696e-05,0.0,3.939624007386781e-06,0.0,2.5762884378580607e-05,0.0,0.0,0.0,4.099036450269559e-06,0.0,3.939624007386781e-06,0.0,7.269176173310385e-05,0.0,3.939624007386781e-06,0.0,9.10855512350966e-06,0.0,0.0
40.0,0.5,400.0,8,8,8,8,0.0,1.136789253042384e-05,0.0,3.939624007386781e-06,0.0,9.826233682350194e-06,0.0,0.0,0.0,2.257753296492207e-06,0.0,3.939624007386781e-06,0.0,2.9843522381930087e-05,0.0,3.939624007386781e-06,0.0,3.4740982351567404e-06,0.0,0.0
