,,,n,n,n,mean,mean,mean,std,std,std,min,min,min,max,max,max,SE,SE,SE
,,,PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K)
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,
5.0,1.0,200.0,8,8,8,0.058217414649327864,0.04687096026254542,0.05714392571663656,0.002413001171769772,0.004174789982850475,0.0,0.0541287033748992,0.03848387078645275,0.05714392571663656,0.06102121908636496,0.05149993543655769,0.05714392571663656,0.0008531247457847455,0.0014760111534516207,0.0
