,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),n(ET),PMC(K),time(MC),n(MC),n(RT),PFV(K),time(FV),n(FV),n(PT),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
1,[0.7],20,1000,50,1,0.2,4,1,1313,0.005081130761805663,13.888541320397792,5142,0.00016425494226108303,163307.0523377706,226892,19596,0.00036585057023541556,146252.8466964065,226892,10808,0.00023951057653476344,1.1166076833825016,1.0
2,[0.7],20,1000,50,1,0.2,4,2,1314,0.001997075026467612,13.597102683512812,5253,0.0001262724419989644,162455.3727856001,228271,20079,0.00014687504190794766,146268.3426045144,228271,10726,0.00023951057653476344,1.1106666684865145,1.0
3,[0.7],20,1000,50,1,0.2,4,3,1315,0.004767763344037462,13.440456664010988,5313,0.0001232177053033573,162335.42058049288,227710,19930,0.0003547322433473503,146182.3878834577,227710,10599,0.00023951057653476344,1.1104991711444268,1.0
4,[0.7],20,1000,50,1,0.2,4,4,1316,0.0033175464834866455,13.767193597301663,5187,8.596811247552473e-05,161197.4240507657,226696,20012,0.00024097478255385882,146148.38212965796,226696,10491,0.00023951057653476344,1.1029709785480672,1.0
5,[0.7],20,1000,50,1,0.2,4,5,1317,0.0023322451531390584,13.808064358738784,5172,0.00012341231562365613,162059.39161093213,226400,19677,0.00016890456855837567,145798.0191699174,226400,10475,0.00023951057653476344,1.1115335622088476,1.0
6,[0.7],20,1000,50,1,0.2,4,6,1318,0.004012167871239136,14.177503583087729,5038,0.0002078340502229137,162893.062187086,227969,19818,0.00028299536993418433,146426.72118154517,227969,10197,0.00023951057653476344,1.112454481481732,1.0
7,[0.7],20,1000,50,1,0.2,4,7,1319,0.0057059352352119425,13.732963235489704,5201,0.0001867259233335879,162537.1353960653,226929,20056,0.0004154919180491401,146356.9550229091,226929,10579,0.00023951057653476344,1.1105528628319956,1.0
8,[0.7],20,1000,50,1,0.2,4,8,1320,0.002468452909266692,13.997826424039246,5102,0.00020138642607929927,162261.3623581454,227345,19668,0.0001763454435345391,146346.24316582462,227345,10863,0.00023951057653476344,1.1087497625360112,1.0
9,[0.7],20,1000,50,1,0.4,8,1,1313,0.016336570931292222,60.42339980252842,1182,0.00016425494226122823,163038.76253803293,226480,4698,0.0002703682842190654,146246.61217300018,226480,10809,0.00023951057653476344,1.1148207819348919,1.0
10,[0.7],20,1000,50,1,0.4,8,2,1314,0.018448666523938975,55.10559493006096,1296,0.00012627244199911087,162406.46461084558,228214,4572,0.000334787539220903,146456.84486709157,228214,10657,0.00023951057653476344,1.1089032046144935,1.0
11,[0.7],20,1000,50,1,0.4,8,3,1315,0.018716997026310057,63.281958422776036,1128,0.000123217705303396,162230.29385753587,227590,4596,0.0002957714567122745,146100.6588394317,227590,10858,0.00023951057653476344,1.110400836972481,1.0
12,[0.7],20,1000,50,1,0.4,8,4,1316,0.011501853463247733,57.00852490504346,1252,7.237580849662854e-05,160895.57593862127,226233,4664,0.00020175672818066866,145924.3620924627,226233,10796,0.00023951057653476344,1.1025957121311403,1.0
13,[0.7],20,1000,50,1,0.4,8,5,1317,0.009885587991610779,59.92329817861535,1192,0.00012341231562372956,162072.47716742216,226424,4853,0.0001649706924032199,145795.37292508484,226424,10730,0.00023951057653476344,1.1116434898842853,1.0
14,[0.7],20,1000,50,1,0.4,8,6,1318,0.010086382124043778,58.02483462970836,1231,0.0002078340502229082,162550.19358128132,227475,4780,0.00017382870952431138,146368.14811723022,227475,10895,0.00023951057653476344,1.110557151075591,1.0
15,[0.7],20,1000,50,1,0.4,8,7,1319,0.02030950726516063,58.21399464467171,1227,0.00024569423077027314,162855.66711045767,227378,4647,0.00034887671579877656,146524.17811659627,227378,10992,0.00023951057653476344,1.1114593455072352,1.0
16,[0.7],20,1000,50,1,0.4,8,8,1320,0.012132427893169205,59.08070424250882,1209,0.00020138642607926102,161843.87223932092,226768,4736,0.0002053534745179945,145860.8252589443,226768,10906,0.00023951057653476344,1.1095773793409038,1.0
