,K,nparticles,nmeantimes,rep,seed,integral,E(T),PMC(K),PFV1(K),PFV2(K),Pr(K)
0,5.0,100.0,20.0,1.0,1717.0,0.3226831547988431,4.178678806088671,0.09899950278882735,0.07722133472634168,0.15346820791012014,0.11987461589147824
0,5.0,100.0,20.0,2.0,1779.0,0.39430210065918736,3.8868484243576726,0.09860632978767866,0.10144519611009745,0.19359325143385736,0.11987461589147824
0,5.0,100.0,20.0,3.0,1881.0,0.40622883062115994,3.956442942060532,0.10435066426171544,0.10267526578042707,0.18816835871470036,0.11987461589147824
0,5.0,100.0,20.0,4.0,1915.0,0.3039885906526927,4.003367109153956,0.09516594529770636,0.07593322879573128,0.18651442785553685,0.11987461589147824
0,5.0,100.0,20.0,5.0,1777.0,0.33652962599597974,4.1714574628592045,0.11149787213869398,0.08067435158869277,0.18537651087525023,0.11987461589147824
0,5.0,100.0,20.0,6.0,2027.0,0.34264549778311276,3.9081795101070673,0.09650513743283516,0.08767394048737688,0.20224253328700142,0.11987461589147824
0,5.0,100.0,20.0,7.0,1915.0,0.3039885906526927,4.003367109153956,0.09516594529770636,0.07593322879573128,0.18651442785553685,0.11987461589147824
0,5.0,100.0,20.0,8.0,1822.0,0.31821501463358776,4.006291630028169,0.10000113503688983,0.07942881947197396,0.16617188215543108,0.11987461589147824
0,5.0,100.0,20.0,9.0,2253.0,0.3020990083242572,4.325546445144383,0.11755621554573917,0.06984065762682462,0.15847392045240047,0.11987461589147824
0,5.0,100.0,20.0,10.0,2212.0,0.42650206794364204,3.8348388129283713,0.09265884393483594,0.11121773006619677,0.19946362613866334,0.11987461589147824
0,5.0,100.0,40.0,1.0,1717.0,0.4570471554461021,4.4057139583949425,0.09873046623299829,0.10373963442978722,0.23438293864886642,0.11987461589147824
0,5.0,100.0,40.0,2.0,1767.0,0.4569456203539452,4.341173000921568,0.11006449928114179,0.10525856036074634,0.2716831551841226,0.11987461589147824
0,5.0,100.0,40.0,3.0,1743.0,0.4756199633256028,4.307000187932506,0.1082026127090505,0.11042951998428287,0.23495539565053475,0.11987461589147824
0,5.0,100.0,40.0,4.0,1990.0,0.5211598238397738,4.625342896786051,0.12254509157200452,0.11267485145845188,0.3033886578471724,0.11987461589147824
0,5.0,100.0,40.0,5.0,1949.0,0.4161930015507479,4.1428882018148,0.1041836886384213,0.1004596265398699,0.22466076089119358,0.11987461589147824
0,5.0,100.0,40.0,6.0,1912.0,0.44851295589757173,4.5109024396288895,0.11637834280955499,0.09942865355661976,0.26964341059878855,0.11987461589147824
0,5.0,100.0,40.0,7.0,1825.0,0.5176410746780615,4.612451634257681,0.1083519098189409,0.11222688403568912,0.22873210185316456,0.11987461589147824
0,5.0,100.0,40.0,8.0,2410.0,0.43684773251246567,4.409574697151813,0.11704363498233092,0.0990679969192108,0.3216948963072717,0.11987461589147824
0,5.0,100.0,40.0,9.0,1805.0,0.5222917303614132,4.85602375843968,0.12422782236459011,0.10755543142755011,0.23404867474208316,0.11987461589147824
0,5.0,100.0,40.0,10.0,2059.0,0.3649063975354668,4.2939041356963665,0.10468320769951894,0.08498242764711557,0.25017682378674233,0.11987461589147824
0,5.0,200.0,20.0,1.0,1717.0,0.37810820724537547,4.0987223429198245,0.09395292911900978,0.09225026132802665,0.16494956094031166,0.11987461589147824
0,5.0,200.0,20.0,2.0,1730.0,0.3449446932854731,3.993349463385465,0.09077585473174651,0.08637979131258834,0.1613203464706236,0.11987461589147824
0,5.0,200.0,20.0,3.0,1781.0,0.38424165126200593,4.079102534951638,0.0994760597710768,0.09419759566464575,0.17168631709690693,0.11987461589147824
0,5.0,200.0,20.0,4.0,1735.0,0.34255935681736266,3.904114931044216,0.10250795734553944,0.08774315379228344,0.17791390393109388,0.11987461589147824
0,5.0,200.0,20.0,5.0,2061.0,0.3851181736583935,3.9852740473323953,0.10312354799687151,0.09663530514700196,0.18839901842075799,0.11987461589147824
0,5.0,200.0,20.0,6.0,2137.0,0.3357838701439972,4.016323283179065,0.10898706050411382,0.0836047913648555,0.16212163452414846,0.11987461589147824
0,5.0,200.0,20.0,7.0,2155.0,0.3551118646501922,3.978740208408516,0.09670611315135809,0.08925233768711827,0.16256517984073868,0.11987461589147824
0,5.0,200.0,20.0,8.0,2396.0,0.3251174619013475,3.901509790044076,0.09627866268140631,0.08333119212746473,0.16941289746249535,0.11987461589147824
0,5.0,200.0,20.0,9.0,2197.0,0.4549804875799662,4.441917628829679,0.1208697656751859,0.10242884393600085,0.1672647250132424,0.11987461589147824
0,5.0,200.0,20.0,10.0,1951.0,0.3859169694092077,4.077676248480679,0.11349041218182895,0.09464139521939692,0.18151161714466418,0.11987461589147824
0,5.0,200.0,40.0,1.0,1717.0,0.5054794465410641,4.481590976167535,0.11290886833917947,0.11279017858370657,0.257427486259373,0.11987461589147824
0,5.0,200.0,40.0,2.0,1765.0,0.44897371177541845,4.554287761718805,0.1208430788116518,0.09858264019882093,0.29722597095266634,0.11987461589147824
0,5.0,200.0,40.0,3.0,1853.0,0.4300964298882178,4.375641131164677,0.11289506957107877,0.09829335107601427,0.27790821959334755,0.11987461589147824
0,5.0,200.0,40.0,4.0,1990.0,0.5124956145365709,4.4106373282185105,0.11410621823448663,0.1161953650683793,0.2376110628262369,0.11987461589147824
0,5.0,200.0,40.0,5.0,1941.0,0.4118649236395276,4.302081890694406,0.11117746676303221,0.09573618868818135,0.2932767125950372,0.11987461589147824
0,5.0,200.0,40.0,6.0,2012.0,0.4593386081420142,4.45757557736829,0.1078511348641591,0.10304673474839955,0.2195469207778143,0.11987461589147824
