,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
32,[0.7],40,1000,1000,0.3,12,3,1,1313,,,,,,0.0,0.0,334.08065324548,1062884,739,739,1.9100425795336106e-07,,
33,[0.7],40,1000,1000,0.3,12,3,2,1323,,,,,,1.9032668803948046e-07,6.265292756891077e-05,329.18624400123196,1096629,756,756,1.9100425795336106e-07,,
34,[0.7],40,1000,1000,0.3,12,3,3,1333,,,,,,4.556512914536262e-09,1.49406589144349e-06,327.8967753338516,1057058,742,742,1.9100425795336106e-07,,
35,[0.7],40,1000,1000,0.3,12,3,4,1343,,,,,,0.0,0.0,323.10624254622695,1070159,752,752,1.9100425795336106e-07,,
36,[0.7],40,1000,1000,0.3,12,3,5,1353,,,,,,1.6706215616415164e-08,5.5966944979875735e-06,335.00672004307086,1135060,759,759,1.9100425795336106e-07,,
37,[0.7],40,1000,1000,0.3,12,3,6,1363,,,,,,1.1492118118362218e-07,3.786356942705172e-05,329.47424519204117,1065629,758,758,1.9100425795336106e-07,,
38,[0.7],40,1000,1000,0.3,12,3,7,1373,,,,,,8.255606546377482e-08,2.662465924519718e-05,322.50397467015847,1153468,752,752,1.9100425795336106e-07,,
39,[0.7],40,1000,1000,0.3,12,3,8,1383,,,,,,6.677266034680946e-08,2.340692290671079e-05,350.5465078841841,1112913,743,743,1.9100425795336106e-07,,
40,[0.7],40,1000,1000,0.5,20,2,1,1313,,,,,,9.475537272988762e-08,8.386959050669143e-05,885.1169922129111,1348775,370,370,1.9100425795336106e-07,,
41,[0.7],40,1000,1000,0.5,20,2,2,1323,,,,,,3.3568824077429805e-07,0.0002862450343882094,852.7109371718145,1313510,400,400,1.9100425795336106e-07,,
42,[0.7],40,1000,1000,0.5,20,2,3,1333,,,,,,2.911565764242857e-07,0.0002576426857925954,884.8939253123638,1370163,373,373,1.9100425795336106e-07,,
43,[0.7],40,1000,1000,0.5,20,2,4,1343,,,,,,5.020958471101101e-08,4.421886108106563e-05,880.685656644525,1335085,383,383,1.9100425795336106e-07,,
44,[0.7],40,1000,1000,0.5,20,2,5,1353,,,,,,4.024670118084394e-07,0.00035898392466431826,891.9586304757379,1363006,370,370,1.9100425795336106e-07,,
45,[0.7],40,1000,1000,0.5,20,2,6,1363,,,,,,1.1747548378397618e-08,1.03557641162813e-05,881.5255560321293,1344484,381,381,1.9100425795336106e-07,,
46,[0.7],40,1000,1000,0.5,20,2,7,1373,,,,,,5.08791144231108e-06,0.004426107527329156,869.9262118679264,1448444,383,383,1.9100425795336106e-07,,
47,[0.7],40,1000,1000,0.5,20,2,8,1383,,,,,,1.0393278461789856e-06,0.0009324632678362902,897.1791444484284,1389892,366,366,1.9100425795336106e-07,,
48,[0.7],40,1000,1000,0.7,28,1,1,1313,,,,,,2.4155323764356672e-05,0.01766833842888532,731.4469721559486,1128389,489,489,1.9100425795336106e-07,,
49,[0.7],40,1000,1000,0.7,28,1,2,1323,,,,,,2.147431998912976e-05,0.016265499000315705,757.4395374824095,1143761,472,472,1.9100425795336106e-07,,
50,[0.7],40,1000,1000,0.7,28,1,3,1333,,,,,,2.5748888011115526e-05,0.018221493860839478,707.6613892209034,1062966,508,508,1.9100425795336106e-07,,
51,[0.7],40,1000,1000,0.7,28,1,4,1343,,,,,,1.6595495247027727e-05,0.012199552781346655,735.1123060658048,1103145,487,487,1.9100425795336106e-07,,
52,[0.7],40,1000,1000,0.7,28,1,5,1353,,,,,,1.0336104542620704e-05,0.007852009501905809,759.6681583016326,1135850,470,470,1.9100425795336106e-07,,
53,[0.7],40,1000,1000,0.7,28,1,6,1363,,,,,,7.266710801368113e-06,0.005163689781764466,710.5951953932571,1074135,503,503,1.9100425795336106e-07,,
54,[0.7],40,1000,1000,0.7,28,1,7,1373,,,,,,2.5067984028211402e-05,0.01821146205454867,726.4829127884224,1106137,491,491,1.9100425795336106e-07,,
55,[0.7],40,1000,1000,0.7,28,1,8,1383,,,,,,2.0047376738009722e-05,0.01508913993311446,752.6740346284574,1150713,475,475,1.9100425795336106e-07,,
