,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
28,"[0.4, 0.75, 0.35]",60,6400,1000,0.11666666666666667,7,3,5,1353,,,,,,0.0,0.0,9.975865926071506,4754520,6400,6400,1.2493235499773401e-08,,
29,"[0.4, 0.75, 0.35]",60,6400,1000,0.11666666666666667,7,3,6,1363,,,,,,0.0,0.0,9.868457780964853,3300821,6400,6400,1.2493235499773401e-08,,
30,"[0.4, 0.75, 0.35]",60,6400,1000,0.11666666666666667,7,3,7,1373,,,,,,0.0,0.0,9.941850574942402,4888766,6400,6400,1.2493235499773401e-08,,
31,"[0.4, 0.75, 0.35]",60,6400,1000,0.11666666666666667,7,3,8,1383,,,,,,0.0,0.0,9.83361038323809,3208866,6400,6400,1.2493235499773401e-08,,
32,"[0.4, 0.75, 0.35]",60,6400,1000,0.2,12,2,1,1313,,,,,,5.237868385458545e-09,2.2050847616737327e-07,42.098895951557786,6192893,6395,6395,1.2493235499773401e-08,,
33,"[0.4, 0.75, 0.35]",60,6400,1000,0.2,12,2,2,1323,,,,,,0.0,0.0,37.621401260914034,5765244,6398,6398,1.2493235499773401e-08,,
34,"[0.4, 0.75, 0.35]",60,6400,1000,0.2,12,2,3,1333,,,,,,1.6524833706282333e-08,6.881256407734883e-07,41.64191017013865,8327382,6398,6398,1.2493235499773401e-08,,
35,"[0.4, 0.75, 0.35]",60,6400,1000,0.2,12,2,4,1343,,,,,,0.0,0.0,39.463673665134266,6413686,6397,6397,1.2493235499773401e-08,,
36,"[0.4, 0.75, 0.35]",60,6400,1000,0.2,12,2,5,1353,,,,,,6.045424212834929e-09,2.460269095624844e-07,40.69638472022347,5580525,6396,6396,1.2493235499773401e-08,,
37,"[0.4, 0.75, 0.35]",60,6400,1000,0.2,12,2,6,1363,,,,,,1.1205461458126413e-07,4.569378093229515e-06,40.778134040305105,7510370,6400,6400,1.2493235499773401e-08,,
38,"[0.4, 0.75, 0.35]",60,6400,1000,0.2,12,2,7,1373,,,,,,0.0,0.0,40.823182399311506,5172682,6398,6398,1.2493235499773401e-08,,
39,"[0.4, 0.75, 0.35]",60,6400,1000,0.2,12,2,8,1383,,,,,,0.0,0.0,43.27919464746801,5491261,6397,6397,1.2493235499773401e-08,,
40,"[0.4, 0.75, 0.35]",60,6400,1000,0.25,15,2,1,1313,,,,,,5.002167667999594e-09,5.354016849314337e-07,107.03393417948844,8717213,6154,6154,1.2493235499773401e-08,,
41,"[0.4, 0.75, 0.35]",60,6400,1000,0.25,15,2,2,1323,,,,,,1.1281600575430482e-11,1.2370281782801304e-09,109.65005984826121,7866403,6160,6160,1.2493235499773401e-08,,
42,"[0.4, 0.75, 0.35]",60,6400,1000,0.25,15,2,3,1333,,,,,,4.315088427635026e-08,4.760619309214362e-06,110.32495368405506,12997418,6165,6165,1.2493235499773401e-08,,
43,"[0.4, 0.75, 0.35]",60,6400,1000,0.25,15,2,4,1343,,,,,,8.571325430148108e-11,9.520683571882417e-09,111.07597826580135,8730962,6151,6151,1.2493235499773401e-08,,
44,"[0.4, 0.75, 0.35]",60,6400,1000,0.25,15,2,5,1353,,,,,,1.8291016023453858e-09,2.0910019886140057e-07,114.31852587810296,8090495,6127,6127,1.2493235499773401e-08,,
45,"[0.4, 0.75, 0.35]",60,6400,1000,0.25,15,2,6,1363,,,,,,2.5080920535299685e-08,2.7076241765453335e-06,107.95553427692326,9201765,6135,6135,1.2493235499773401e-08,,
46,"[0.4, 0.75, 0.35]",60,6400,1000,0.25,15,2,7,1373,,,,,,1.604624686124776e-08,1.8650231139191898e-06,116.2279958700676,10718393,6118,6118,1.2493235499773401e-08,,
47,"[0.4, 0.75, 0.35]",60,6400,1000,0.25,15,2,8,1383,,,,,,4.037341347370213e-09,4.3364471591028245e-07,107.40848459413617,7992985,6149,6149,1.2493235499773401e-08,,
48,"[0.4, 0.75, 0.35]",60,6400,1000,0.35,21,2,1,1313,,,,,,2.996100484754188e-08,1.3263227098087958e-05,442.6829862876286,13753135,4484,4484,1.2493235499773401e-08,,
49,"[0.4, 0.75, 0.35]",60,6400,1000,0.35,21,2,2,1323,,,,,,7.497844831190412e-08,3.28905553298364e-05,438.66679119597705,14887400,4454,4454,1.2493235499773401e-08,,
50,"[0.4, 0.75, 0.35]",60,6400,1000,0.35,21,2,3,1333,,,,,,4.220428789728817e-10,1.9165044584482076e-07,454.10183512925767,12274276,4424,4424,1.2493235499773401e-08,,
51,"[0.4, 0.75, 0.35]",60,6400,1000,0.35,21,2,4,1343,,,,,,1.790540320007242e-08,7.89415114281349e-06,440.88094831517446,12260407,4451,4451,1.2493235499773401e-08,,
52,"[0.4, 0.75, 0.35]",60,6400,1000,0.35,21,2,5,1353,,,,,,1.7540759457407535e-09,7.947166174044058e-07,453.0685340815125,13004260,4400,4400,1.2493235499773401e-08,,
