rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV(K),Pr(K),maxtime(MC),maxtime(FV),ratio_maxtime_mc_fv
0.7,30,800,50,1.2,0.5,15,5,1317,0.000941,818.440742,0.000000,1.15E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.5,15,6,1318,0.003423,693.283152,0.000000,4.94E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.5,15,7,1319,0.003001,589.229726,0.000000,5.09E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.5,15,8,1320,0.000761,909.935568,0.000000,8.36E-07,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.5,15,9,1321,0.001725,899.817943,0.000000,1.92E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.5,15,10,1322,0.002268,495.991119,0.000000,4.57E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.5,15,11,1323,0.001177,687.382546,0.000000,1.71E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.5,15,12,1324,0.000296,696.987254,0.000000,4.25E-07,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.7,21,1,1313,0.000111,6734.97348,0.000000,1.65E-08,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.7,21,2,1314,0.004812,2092.854568,0.000000,2.30E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.7,21,3,1315,0.003722,3402.293469,0.000000,1.09E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.7,21,4,1316,0.151789,4508.604535,0.000055,3.37E-05,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.7,21,5,1317,0.013103,5226.871107,0.000000,2.51E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.7,21,6,1318,0.052133,3822.646913,0.000000,1.36E-05,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.7,21,7,1319,0.01031,2890.340808,0.000000,3.57E-06,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.7,21,8,1320,0.006778,8992.058982,0.000000,7.54E-07,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.7,21,9,1321,0.073251,1174.61106,0.000000,6.24E-05,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.7,21,10,1322,0.018928,1866.265483,0.000000,1.01E-05,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.7,21,11,1323,0.000297,2986.313637,0.000000,9.94E-08,0.000007,68571.42857,71.428571,1.2
0.7,30,800,50,1.2,0.7,21,12,1324,0,8524.963647,0.000000,0.00E+00,0.000007,68571.42857,71.428571,1.2
