casenum,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,E(T),Pr(FV),Pr(K),time_fv_starts,prop_time_fv_starts,n(FV),time(FV),bias,abs(bias),rel. bias,rel. abs(bias)
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,7,1373,127.1,6.14E-06,3.94E-06,6883.4,0.006,6799774,2210044,2.20E-06,0.0000022,55.80%,55.84%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,8,1383,129.1,2.89E-06,3.94E-06,6515.6,0.006,6620816,2161250.3,-1.05E-06,0.00000105,-26.60%,26.65%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,9,1393,131.9,3.36E-06,3.94E-06,6234.8,0.005,6033590,1973405,-5.80E-07,0.00000058,-14.70%,14.72%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,10,1403,137,4.81E-06,3.94E-06,5566,0.005,6739888,2194348.5,8.70E-07,8.70E-07,22.10%,22.08%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,11,1413,137.1,6.40E-06,3.94E-06,6831.8,0.006,6802459,2214130.1,2.46E-06,0.00000246,62.40%,62.44%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,12,1423,127.2,6.15E-06,3.94E-06,8545.4,0.007,7946045,2562965.8,2.21E-06,0.00000221,56.10%,56.09%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,13,1433,119.6,3.91E-06,3.94E-06,5926.3,0.005,6091792,1990716.2,-3.00E-08,3.00E-08,-0.80%,0.76%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,14,1443,123.1,4.76E-06,3.94E-06,5525.9,0.005,6542300,2126158.6,8.20E-07,0.00000082,20.80%,20.81%
4,"[0.4, 0.75, 0.35]",40,3200,800000,0.4,16,3,15,1453,127.4,2.91E-06,3.94E-06,6703.6,0.006,6435887,2094561.7,-1.03E-06,0.00000103,-26.10%,26.14%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,1,1313,399.4,3.76E-06,3.94E-06,23241.9,0.02,13104165,4330761.2,-1.80E-07,0.00000018,-4.60%,4.57%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,2,1323,412.5,3.95E-06,3.94E-06,20803.1,0.018,13170736,4346156.3,1.00E-08,1.00E-08,0.30%,0.25%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,3,1333,429.2,4.68E-06,3.94E-06,23196.5,0.02,14219979,4670955.7,7.40E-07,0.00000074,18.80%,18.78%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,4,1343,395.4,7.18E-06,3.94E-06,20779.3,0.018,14756957,4833808.3,3.24E-06,0.00000324,82.20%,82.23%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,5,1353,387.9,3.85E-06,3.94E-06,17760.1,0.016,13046499,4295143.6,-9.00E-08,0.00000009,-2.30%,2.28%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,6,1363,403.5,1.22E-06,3.94E-06,21126.3,0.018,12175879,4034162.8,-2.72E-06,0.00000272,-69.00%,69.04%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,7,1373,406,4.20E-06,3.94E-06,19645.9,0.017,12800975,4230491.5,2.60E-07,2.60E-07,6.60%,6.60%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,8,1383,415.4,5.29E-06,3.94E-06,21799.9,0.019,13947375,4584217.7,1.35E-06,0.00000135,34.30%,34.26%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,9,1393,369.5,5.09E-06,3.94E-06,15966.4,0.014,13012716,4297635.3,1.15E-06,0.00000115,29.20%,29.19%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,10,1403,426,4.03E-06,3.94E-06,18101.2,0.016,13465524,4448002.6,9.00E-08,0.00000009,2.30%,2.28%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,11,1413,415.3,1.96E-06,3.94E-06,17267.2,0.015,12731425,4208302.8,-1.98E-06,0.00000198,-50.30%,50.25%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,12,1423,452.3,5.42E-06,3.94E-06,17307.8,0.015,14226889,4675860.6,1.48E-06,0.00000148,37.60%,37.56%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,13,1433,392.1,2.16E-06,3.94E-06,15105.8,0.013,13157651,4346677.5,-1.78E-06,0.00000178,-45.20%,45.18%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,14,1443,380.8,4.89E-06,3.94E-06,15845.3,0.014,13526323,4430324.1,9.50E-07,9.50E-07,24.10%,24.11%
5,"[0.4, 0.75, 0.35]",40,3200,800000,0.5,20,2,15,1453,395.9,4.36E-06,3.94E-06,19563.7,0.017,12591693,4159886.7,4.20E-07,4.20E-07,10.70%,10.66%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,1,1313,1179.8,6.02E-06,3.94E-06,56280.1,0.049,25733059,8507702.8,2.08E-06,0.00000208,52.80%,52.79%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,2,1323,1195.1,3.97E-06,3.94E-06,50015.6,0.044,25675397,8521577,3.00E-08,3.00E-08,0.80%,0.76%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,3,1333,1238.8,3.30E-06,3.94E-06,48005.7,0.042,25329059,8397229.8,-6.40E-07,0.00000064,-16.20%,16.24%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,4,1343,1286.3,2.71E-06,3.94E-06,42799.9,0.037,25662919,8526803.1,-1.23E-06,0.00000123,-31.20%,31.22%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,5,1353,1246.7,2.36E-06,3.94E-06,47869.9,0.042,24631559,8183183.2,-1.58E-06,0.00000158,-40.10%,40.10%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,6,1363,1303,2.29E-06,3.94E-06,53323.2,0.047,25102580,8335910.9,-1.65E-06,0.00000165,-41.90%,41.88%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,7,1373,1362,4.77E-06,3.94E-06,53521.1,0.047,26881043,8898855,8.30E-07,0.00000083,21.10%,21.07%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,8,1383,1256.8,3.36E-06,3.94E-06,57805.8,0.051,26901040,8925385.8,-5.80E-07,0.00000058,-14.70%,14.72%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,9,1393,1215.1,3.75E-06,3.94E-06,45979.8,0.04,24056893,7988128.1,-1.90E-07,0.00000019,-4.80%,4.82%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,10,1403,1273.8,2.82E-06,3.94E-06,54403.7,0.048,26157389,8671588.8,-1.12E-06,0.00000112,-28.40%,28.43%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,11,1413,1386.4,3.98E-06,3.94E-06,54846,0.048,25486700,8452825.4,4.00E-08,4.00E-08,1.00%,1.02%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,12,1423,1208.1,1.97E-06,3.94E-06,66693.3,0.058,23985462,7968351.7,-1.97E-06,0.00000197,-50.00%,50.00%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,13,1433,1245.6,3.33E-06,3.94E-06,66264,0.058,25278718,8382506.2,-6.10E-07,6.10E-07,-15.50%,15.48%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,14,1443,1265.1,3.58E-06,3.94E-06,55344.1,0.048,25770908,8543096.7,-3.60E-07,0.00000036,-9.10%,9.14%
6,"[0.4, 0.75, 0.35]",40,3200,800000,0.6,24,1,15,1453,1288.7,4.84E-06,3.94E-06,51343,0.045,26919624,8926537.8,9.00E-07,0.0000009,22.80%,22.84%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,1,1313,3723.6,4.60E-06,3.94E-06,179861.5,0.157,72613925,24168076.8,6.60E-07,0.00000066,16.80%,16.75%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,2,1323,3851.2,3.24E-06,3.94E-06,203898.1,0.178,76511022,25449440.9,-7.00E-07,0.0000007,-17.80%,17.77%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,3,1333,4216.9,4.47E-06,3.94E-06,205778,0.18,80139269,26684100.5,5.30E-07,0.00000053,13.50%,13.45%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,4,1343,3775.4,3.41E-06,3.94E-06,126364.4,0.111,76386984,25414231.6,-5.30E-07,0.00000053,-13.50%,13.45%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,5,1353,4400.4,3.27E-06,3.94E-06,189063.5,0.165,82386230,27439807,-6.70E-07,0.00000067,-17.00%,17.01%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,6,1363,3495.1,5.05E-06,3.94E-06,188371.2,0.165,71315657,23737168.4,1.11E-06,0.00000111,28.20%,28.17%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,7,1373,4215,4.03E-06,3.94E-06,210502.1,0.184,81725744,27190692.5,9.00E-08,0.00000009,2.30%,2.28%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,8,1383,3648.4,3.87E-06,3.94E-06,145508.3,0.127,77048795,25642180.9,-7.00E-08,7.00E-08,-1.80%,1.78%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,9,1393,4093.4,4.41E-06,3.94E-06,145170.2,0.127,74582300,24834905.3,4.70E-07,0.00000047,11.90%,11.93%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,10,1403,4025,3.82E-06,3.94E-06,181886.6,0.159,79556845,26480559.1,-1.20E-07,1.20E-07,-3.00%,3.05%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,11,1413,3985.6,2.72E-06,3.94E-06,171422.8,0.15,76050503,25312859.6,-1.22E-06,0.00000122,-31.00%,30.96%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,12,1423,4056.5,3.90E-06,3.94E-06,166271.1,0.145,77168902,25676935.4,-4.00E-08,4.00E-08,-1.00%,1.02%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,13,1433,4058.9,3.62E-06,3.94E-06,183827.7,0.161,80852381,26910902.4,-3.20E-07,0.00000032,-8.10%,8.12%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,14,1443,3743.3,3.62E-06,3.94E-06,171779.6,0.15,73695958,24527372.5,-3.20E-07,0.00000032,-8.10%,8.12%
7,"[0.4, 0.75, 0.35]",40,3200,800000,0.7,28,1,15,1453,4369.4,3.19E-06,3.94E-06,168086.1,0.147,81759661,27219611.2,-7.50E-07,0.00000075,-19.00%,19.04%
8,"[0.4, 0.75, 0.35]",40,3200,800000,0.8,32,1,1,1313,11714.1,4.45E-06,3.94E-06,563048.3,0.493,230672221,76877576.8,5.10E-07,5.10E-07,12.90%,12.94%
8,"[0.4, 0.75, 0.35]",40,3200,800000,0.8,32,1,2,1323,13311.9,3.14E-06,3.94E-06,470115.2,0.411,258975585,86292848,-8.00E-07,0.0000008,-20.30%,20.30%
8,"[0.4, 0.75, 0.35]",40,3200,800000,0.8,32,1,3,1333,12141.5,3.58E-06,3.94E-06,618899,0.542,240730014,80209476.6,-3.60E-07,0.00000036,-9.10%,9.14%
8,"[0.4, 0.75, 0.35]",40,3200,800000,0.8,32,1,4,1343,13149.2,3.70E-06,3.94E-06,545988.3,0.478,239870457,79937191,-2.40E-07,0.00000024,-6.10%,6.09%
