casenum,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,E(T),Pr(FV),Pr(K),time_fv_starts,prop_time_fv_starts,n(FV),time(FV),bias,abs(bias),rel. bias,rel. abs(bias)
11,"[0.4, 0.75, 0.35]",40,3200,8000000,0.075,3,4,3,1333,4.598969684,1.84E-06,3.94E-06,,,1634923,,-2.10E-06,2.10E-06,-53.20%,53.25%
11,"[0.4, 0.75, 0.35]",40,3200,8000000,0.075,3,4,4,1343,4.204602,1.32E-06,3.94E-06,,,1845655,,-2.62E-06,2.62E-06,-66.40%,66.43%
11,"[0.4, 0.75, 0.35]",40,3200,8000000,0.075,3,4,5,1353,4.503593482,3.83E-06,3.94E-06,,,2439514,,-1.12E-07,1.12E-07,-2.80%,2.84%
11,"[0.4, 0.75, 0.35]",40,3200,8000000,0.075,3,4,6,1363,4.513999104,9.23E-06,3.94E-06,,,3725032,,5.29E-06,5.29E-06,134.10%,134.14%
11,"[0.4, 0.75, 0.35]",40,3200,8000000,0.075,3,4,7,1373,4.615716129,4.25E-06,3.94E-06,,,2226319,,3.06E-07,3.06E-07,7.80%,7.77%
11,"[0.4, 0.75, 0.35]",40,3200,8000000,0.075,3,4,8,1383,4.292152596,5.79E-06,3.94E-06,,,2264055,,1.85E-06,1.85E-06,47.00%,46.96%
11,"[0.4, 0.75, 0.35]",40,3200,8000000,0.075,3,4,9,1393,4.421315739,2.21E-06,3.94E-06,,,2091691,,-1.73E-06,1.73E-06,-44.00%,44.02%
11,"[0.4, 0.75, 0.35]",40,3200,8000000,0.075,3,4,10,1403,4.490332819,9.52E-06,3.94E-06,,,2151451,,5.58E-06,5.58E-06,141.70%,141.66%
11,"[0.4, 0.75, 0.35]",40,3200,8000000,0.075,3,4,11,1413,4.288669743,3.07E-06,3.94E-06,,,2179623,,-8.68E-07,8.68E-07,-22.00%,22.02%
11,"[0.4, 0.75, 0.35]",40,3200,8000000,0.075,3,4,12,1423,4.511812398,1.63E-06,3.94E-06,,,1829162,,-2.31E-06,2.31E-06,-58.60%,58.63%
11,"[0.4, 0.75, 0.35]",40,3200,8000000,0.075,3,4,13,1433,4.347258819,5.39E-07,3.94E-06,,,1205352,,-3.40E-06,3.40E-06,-86.30%,86.31%
11,"[0.4, 0.75, 0.35]",40,3200,8000000,0.075,3,4,14,1443,4.559025357,2.86E-06,3.94E-06,,,1909899,,-1.08E-06,1.08E-06,-27.30%,27.30%
11,"[0.4, 0.75, 0.35]",40,3200,8000000,0.075,3,4,15,1453,4.467136601,1.19E-05,3.94E-06,,,3536541,,7.99E-06,7.99E-06,202.80%,202.84%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,1,1313,5.00686371,4.49E-07,3.94E-06,,,1391600,,-3.49E-06,3.49E-06,-88.60%,88.61%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,2,1323,4.909908292,2.26E-06,3.94E-06,,,1963681,,-1.68E-06,1.68E-06,-42.70%,42.73%
12,"[0.4, 0.75, 0.35]",40,3200,8000000,0.1,4,4,3,1333,4.946622267,1.82E-06,3.94E-06,,,1602878,,-2.12E-06,2.12E-06,-53.80%,53.84%
