,K,nparticles,niter,rep,seed,integral,E(T),PMC(K),PFV(K),P(K)
0,5.0,10.0,50.0,1.0,1717.0,0.4979414084954293,1.8351186690100774,0.020094577225082545,0.10943534292814334,0.10953192568281382
0,5.0,10.0,50.0,2.0,1792.0,0.3121880420956965,2.428752199027163,0.05717959561040272,0.1318865564925551,0.10953192568281382
0,5.0,10.0,50.0,3.0,1863.0,0.4027188877066682,2.965726273576097,0.03024812067581852,0.08372727111117013,0.10953192568281382
0,5.0,10.0,50.0,4.0,2005.0,0.4885641912896277,2.165189546226487,0.018699296034905888,0.2835983504160125,0.10953192568281382
0,5.0,10.0,50.0,5.0,1801.0,0.5479206767609301,2.2499478287747903,0.07632244179464318,0.0,0.10953192568281382
0,5.0,10.0,100.0,1.0,1717.0,0.3070563193022495,2.3601298478045947,0.06659867413341851,0.13798950698585952,0.10953192568281382
0,5.0,10.0,100.0,2.0,1796.0,0.3669628918463888,3.343139795180011,0.0985153858812052,0.08151233107335795,0.10953192568281382
0,5.0,10.0,100.0,3.0,1873.0,0.29230736908738075,2.6224040405576203,0.06453618670638006,0.26090994076544227,0.10953192568281382
0,5.0,10.0,100.0,4.0,1726.0,0.21956024288932352,3.111905509406421,0.10205169309691253,0.5854366233846406,0.10953192568281382
0,5.0,10.0,100.0,5.0,1821.0,0.27774173091704046,3.3740160695421215,0.11965828898851137,0.2134232412494305,0.10953192568281382
0,5.0,20.0,50.0,1.0,1717.0,0.42033563440344357,2.1304288064677923,0.015105614503810566,0.0,0.10953192568281382
0,5.0,20.0,50.0,2.0,1792.0,0.5491331457845718,1.8053005060548033,0.035751096033835784,0.10087251233216932,0.10953192568281382
0,5.0,20.0,50.0,3.0,1791.0,0.38498116282451683,2.3922276592537055,0.032958468723414985,0.16287306594225157,0.10953192568281382
0,5.0,20.0,50.0,4.0,1879.0,0.24201350162020935,2.4312217261350932,0.06001651693350701,0.0,0.10953192568281382
0,5.0,20.0,50.0,5.0,2005.0,0.3039318079751414,2.487353459197379,0.06054023333555032,0.13227761091836215,0.10953192568281382
0,5.0,20.0,100.0,1.0,1717.0,0.2567758905388551,3.1423328681933524,0.10277453248420658,0.3718046547476111,0.10953192568281382
0,5.0,20.0,100.0,2.0,1777.0,0.2580177783254846,2.923823746282743,0.09979541925645044,0.13255593567784887,0.10953192568281382
0,5.0,20.0,100.0,3.0,1721.0,0.3454336105545234,2.7676327307332595,0.07185896705733424,0.10459885969022824,0.10953192568281382
0,5.0,20.0,100.0,4.0,1789.0,0.21001006976689401,2.9299431799851012,0.08481549966185678,0.48755311700197473,0.10953192568281382
0,5.0,20.0,100.0,5.0,1745.0,0.2478167296943274,2.830098497142528,0.07254994623216827,0.285166052237435,0.10953192568281382
0,5.0,40.0,50.0,1.0,1717.0,0.405705547433943,2.5491519565978216,0.06540422878092211,0.1450389303282616,0.10953192568281382
0,5.0,40.0,50.0,2.0,1781.0,0.36645846880144173,2.821555793786032,0.054737228244915725,0.12089173428039457,0.10953192568281382
0,5.0,40.0,50.0,3.0,1875.0,0.3107047623572878,2.106816410358285,0.04248463944664659,0.038191384820054096,0.10953192568281382
0,5.0,40.0,50.0,4.0,1753.0,0.5007692350396503,2.175689472114599,0.04315453135345309,0.04589183824126609,0.10953192568281382
0,5.0,40.0,50.0,5.0,1957.0,0.41010680753074374,2.4050794374441735,0.048679470200448535,0.07603873088919735,0.10953192568281382
0,5.0,40.0,100.0,1.0,1717.0,0.31672427472454956,2.8497841991339525,0.0797850755781096,0.24928100887031263,0.10953192568281382
0,5.0,40.0,100.0,2.0,1785.0,0.1879272953330156,2.7932880916165903,0.07786172503865656,0.14287481139764405,0.10953192568281382
0,5.0,40.0,100.0,3.0,1771.0,0.2006679475720949,2.857449834303913,0.10623717034087457,0.21799844193598023,0.10953192568281382
0,5.0,40.0,100.0,4.0,1756.0,0.25783746475172264,2.9522758335187507,0.09731947968342561,0.45979589603076854,0.10953192568281382
0,5.0,40.0,100.0,5.0,1717.0,0.31672427472454956,2.8497841991339525,0.0797850755781096,0.24928100887031263,0.10953192568281382
0,10.0,10.0,50.0,1.0,1717.0,0.5610572497395027,1.7267003676656272,0.0,0.0,0.03745126304388606
0,10.0,10.0,50.0,2.0,1723.0,0.28822227903176073,2.169898872590667,0.0,0.0,0.03745126304388606
