,,,n,n,n,mean,mean,mean,std,std,std,min,min,min,max,max,max,SE,SE,SE
,,,PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K),PMC(K),PFV1(K),Pr(K)
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,
40.0,0.2,400.0,8,8,8,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0,0.0,0.0,4.547473508866709e-13,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0
40.0,0.25,400.0,8,8,8,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0,0.0,0.0,4.547473508866709e-13,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0
40.0,0.3,400.0,8,8,8,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0,0.0,0.0,4.547473508866709e-13,0.0,0.0,4.547473508866709e-13,0.0,0.0,0.0
40.0,0.35,400.0,8,8,8,0.0,2.1910131106691723e-11,4.547473508866709e-13,0.0,6.197120912891213e-11,0.0,0.0,0.0,4.547473508866709e-13,0.0,1.7528104885353378e-10,4.547473508866709e-13,0.0,2.1910131106691723e-11,0.0
40.0,0.4,400.0,8,8,8,0.0,2.923375799184432e-11,4.547473508866709e-13,0.0,8.268555406239818e-11,0.0,0.0,0.0,4.547473508866709e-13,0.0,2.3387006393475455e-10,4.547473508866709e-13,0.0,2.923375799184432e-11,0.0
