casenum,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,E(T),Pr(FV),Pr(K),time_fv_starts,prop_time_fv_starts,n(FV),time(FV)
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,3,1333,12.4,1.46e-06,3.94e-06,393.2,0.000000,1840041,571782.6
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,4,1343,12.9,5.23e-06,3.94e-06,444.9,0.000000,2695231,832910.4
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,5,1353,13.6,7.75e-06,3.94e-06,377.3,0.000000,2362993,732980.4
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,6,1363,12.6,3.36e-06,3.94e-06,324.6,0.000000,2084473,646706.2
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,7,1373,13.3,2.67e-06,3.94e-06,374.5,0.000000,2027489,629326.7
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,8,1383,12.7,3.26e-06,3.94e-06,565.0,0.000000,1932628,601585.5
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,9,1393,12.8,2.27e-06,3.94e-06,460.4,0.000000,1920388,597717.6
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,10,1403,13.1,1.99e-06,3.94e-06,395.6,0.000000,2000211,620194.4
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,11,1413,11.9,3.15e-06,3.94e-06,326.9,0.000000,2167788,671775.2
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,12,1423,12.9,6e-06,3.94e-06,363.5,0.000000,3355682,1036822.2
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,13,1433,13.0,3.89e-06,3.94e-06,354.8,0.000000,2699263,835641.7
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,14,1443,13.1,2.35e-06,3.94e-06,390.7,0.000000,2008223,624144.2
2,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.2,8,3,15,1453,12.5,1.62e-06,3.94e-06,420.7,0.000000,2079496,646091.9
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,1,1313,43.1,2.48e-06,3.94e-06,1521.9,0.001000,2962490,944962.3
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,2,1323,38.2,1.33e-06,3.94e-06,1554.4,0.001000,2782753,889301.3
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,3,1333,38.6,1.53e-06,3.94e-06,1983.5,0.002000,2775218,887758.5
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,4,1343,38.3,2.22e-06,3.94e-06,1503.3,0.001000,3205626,1018597.7
3,"[0.4, 0.75, 0.35]",40,3200,800000.0,0.3,12,3,5,1353,40.1,1.9e-06,3.94e-06,1713.9,0.001000,2916126,930595.3
