,,,E(T),E(T),E(T),E(T),E(T),E(T),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K)
,,,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,,,,,,,
40,0.2,1200,5,12.122402970443414,0.9201377412799524,11.15753869618139,13.619964526413606,0.4114981076330176,0,,,,,,5,1.931779071389765e-06,2.9184210405695055e-06,2.969163156016061e-07,7.125774851058205e-06,1.3051575667358171e-06,5,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.4,1200,5,129.23452864606233,11.085674928415,114.47433444488792,139.7592890540371,4.9576645432802104,0,,,,,,5,5.2727153921121805e-06,2.9621427208232537e-06,8.961553251594147e-07,8.879776720603078e-06,1.3247104965633954e-06,5,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.5,1200,5,414.7027351539597,20.723153946760263,389.34274452843016,438.50684132864535,9.267676186629801,0,,,,,,5,3.672943342268067e-06,1.4921265475216884e-06,2.2558255615521553e-06,6.196948423396258e-06,6.67299278258113e-07,5,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.6,1200,5,1352.6114826063178,98.51527413280951,1210.9244239492753,1488.0032852870015,44.05736995659774,0,,,,,,5,3.3754160195005936e-06,1.2587284500560179e-06,1.9679819442161223e-06,4.867449832322469e-06,5.62920475907641e-07,5,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
