,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV(K),Pr(K),maxtime(MC),maxtime(FV),ratio_maxtime_mc_fv
0,0.7,30.0,400.0,50.0,1.0,0.03333333333333333,1.0,1.0,1313.0,8.56950389981997e-05,4.772704273478946,0.0,1.7955237552511167e-05,6.761908773481669e-06,28571.428571428572,71.42857142857143,1.0
0,0.7,30.0,400.0,50.0,1.0,0.03333333333333333,1.0,2.0,1314.0,0.0,4.76022169598874,0.0,0.0,6.761908773481669e-06,28571.428571428572,71.42857142857143,1.0
0,0.7,30.0,400.0,50.0,1.0,0.25,8.0,1.0,1313.0,0.004507357640241919,55.0702636377264,0.0,8.184739535465219e-05,6.761908773481669e-06,28571.428571428572,71.42857142857143,1.0
0,0.7,30.0,400.0,50.0,1.0,0.25,8.0,2.0,1314.0,0.0005434057583762691,57.04034802750649,0.0,9.52669079287916e-06,6.761908773481669e-06,28571.428571428572,71.42857142857143,1.0
0,0.7,30.0,400.0,50.0,1.0,0.5,15.0,1.0,1313.0,0.005702241151688438,671.1529712435905,0.0,8.49618700357187e-06,6.761908773481669e-06,28571.428571428572,71.42857142857143,1.0
0,0.7,30.0,400.0,50.0,1.0,0.5,15.0,2.0,1314.0,0.0042499059915218585,706.6282237936639,0.0,6.0143450946601805e-06,6.761908773481669e-06,28571.428571428572,71.42857142857143,1.0
