,,,E(T),E(T),E(T),E(T),E(T),E(T),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K)
,,,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE
K,buffer_size_activation,N,,,,,,,,,,,,,,,,,,,,,,,,
40,0.1,1000,8,4.9137621634331685,0.1834821825953212,4.585157543974121,5.1674660281564675,0.06487074777002996,0,,,,,,8,2.459548412444539e-06,4.5458532988360806e-06,0.0,1.154549994185624e-05,1.6072018469431146e-06,8,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.2,1000,8,9.646669352761934,0.6462425192573067,8.758199065982835,10.664032051080337,0.22848123382895977,0,,,,,,8,4.204396949681864e-06,4.283987071471331e-06,1.512275918454745e-07,1.336140794932531e-05,1.5146181543764382e-06,8,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.3,1000,8,8.645972846981339,0.9948873765963715,7.258500156070405,9.833159135832707,0.3517458052540944,0,,,,,,8,7.972218718925135e-06,8.808964417386877e-06,7.661446170982099e-07,2.5623157194984573e-05,3.1144392373826324e-06,8,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.4,1000,8,5.960890188924501,0.3689240597212228,5.3101305746152585,6.588407258419875,0.13043435218587374,0,,,,,,8,4.202398726051527e-05,3.786057390454644e-05,1.2889043192179749e-05,0.00013107408480319605,1.3385734273759613e-05,8,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.5,1000,8,5.136244388878952,0.38528760519777855,4.584078768104075,5.851105456511976,0.13621973917123725,0,,,,,,8,0.0003321051397721863,0.00022044952898808088,0.00015342040008088225,0.0007917134509342651,7.794067842842618e-05,8,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
40,0.6,1000,8,4.8511657684857585,0.14951180697477748,4.6627527209917705,5.109976972420483,0.05286040628965965,0,,,,,,8,0.0011381332554771242,0.00034086963260872354,0.0005552833593127505,0.001590650217902239,0.00012051561435909775,8,3.939624007386781e-06,0.0,3.939624007386781e-06,3.939624007386781e-06,0.0
