,,,n,n,n,n,mean,mean,mean,mean,std,std,std,std,min,min,min,min,max,max,max,max,SE,SE,SE,SE
,,,E(T),PMC(K),PFV(K),Pr(K),E(T),PMC(K),PFV(K),Pr(K),E(T),PMC(K),PFV(K),Pr(K),E(T),PMC(K),PFV(K),Pr(K),E(T),PMC(K),PFV(K),Pr(K),E(T),PMC(K),PFV(K),Pr(K)
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,,,,,,,
40,0.2,2000,8,8,8,8,57.58242736475641,2.231251952394112e-06,2.609739917227638e-08,1.9100425795336106e-07,3.458820159401912,6.310933544294402e-06,5.8007927829324604e-08,0.0,54.528692721975176,0.0,0.0,1.9100425795336106e-07,65.82954455844806,1.7850015619152896e-05,1.64425652488907e-07,1.9100425795336106e-07,1.2228775948089134,2.231251952394112e-06,2.0508899565347637e-08,0.0
40,0.4,2000,8,8,8,8,1093.357638392102,2.2444456747392916e-06,1.332099248944437e-07,1.9100425795336106e-07,105.74661850481165,6.348251026451877e-06,9.013707509101719e-08,0.0,905.5304956875259,0.0,3.1238403975162884e-08,1.9100425795336106e-07,1276.8042755762629,1.7955565397914332e-05,2.9366356216479005e-07,1.9100425795336106e-07,37.38707551614958,2.244445674739291e-06,3.186826851658964e-08,0.0
40,0.5,2000,8,8,8,8,4678.513013890535,2.392267899049054e-06,1.4565239315721179e-07,1.9100425795336106e-07,886.9544126754793,6.766355415329924e-06,5.262047680602413e-08,0.0,3236.9042007967964,0.0,7.814817816154753e-08,1.9100425795336106e-07,5765.436215297577,1.913814319239243e-05,2.163521991535722e-07,1.9100425795336106e-07,313.58573990308145,2.392267899049054e-06,1.860414798940455e-08,0.0
40,0.6,2000,8,8,8,8,14806.03451140855,3.665080846449044e-06,6.30095130589811e-05,1.9100425795336106e-07,15735.4308476135,1.0366414080484201e-05,0.00017716283723200415,0.0,5.825239423029675,0.0,7.646808825096008e-08,1.9100425795336106e-07,39851.652043967544,2.9320646771592352e-05,0.0005014647036158457,1.9100425795336106e-07,5563.314928619744,3.6650808464490436e-06,6.263652179049935e-05,0.0
