,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),PMC(K),PFV(K),Pr(K)
0,0.7,20.0,400.0,50.0,1.2,1.0,1.0,11.0,1323.0,0.00028712400516188246,4.665046885320496,0.00011916137465682373,6.154793557710548e-05,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,1.0,1.0,12.0,1324.0,0.0002675389829795737,4.739395503132503,2.8723018676039e-05,5.645002254037332e-05,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.2,4.0,1.0,1313.0,0.002793699266321209,14.208493511094183,1.2495209446752659e-05,0.0001966217786663907,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.2,4.0,2.0,1314.0,0.005039972351196337,13.926396503350762,0.00033908202817587894,0.0003619006790438355,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.2,4.0,3.0,1315.0,0.0037538906447807277,13.947704407032955,0.0001771739409341326,0.00026914039294436695,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.2,4.0,4.0,1316.0,0.0021778092034401278,14.633149721650568,0.0008167422626254371,0.0001488270977107503,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.2,4.0,5.0,1317.0,0.0028763227178469045,14.880564450434349,7.612705669476708e-05,0.00019329392560528492,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.2,4.0,6.0,1318.0,0.0018205615364997097,13.781262711594376,0.00020908213380035944,0.00013210411662554296,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.2,4.0,7.0,1319.0,0.0023797960386770668,13.557977431602533,0.0005139582968609066,0.00017552736392155053,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.2,4.0,8.0,1320.0,0.003890507492870394,13.899763906376705,8.922942012445317e-05,0.00027989737948610555,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.2,4.0,9.0,1321.0,0.0033630128498860863,13.710577411512961,0.00026648841381537834,0.0002452860115914679,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.2,4.0,10.0,1322.0,0.001417387013275378,13.569881479310068,0.0005599621980096728,0.0001044509501012563,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.2,4.0,11.0,1323.0,0.0028733670709806826,14.183142889409885,0.00011918789486237652,0.00020259029281345938,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.2,4.0,12.0,1324.0,0.004230044181623037,13.669169428932195,2.872512177008915e-05,0.0003094587570675447,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.4,8.0,1.0,1313.0,0.011354293157090942,58.68515806448845,1.2489574937553373e-05,0.00019347810471284475,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.4,8.0,2.0,1314.0,0.02546528023663465,57.716612823584335,0.00034537090695488956,0.0004412123128997783,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.4,8.0,3.0,1315.0,0.010129140454135602,52.13340217565174,0.000177735252384562,0.00019429271889848562,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.4,8.0,4.0,1316.0,0.012979997350876932,57.154956488802256,0.0008168794704180268,0.00022710186741931927,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.4,8.0,5.0,1317.0,0.00920962675696582,59.94052620687013,7.639158341877411e-05,0.0001536460778669349,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.4,8.0,6.0,1318.0,0.011114388730442881,53.95002537566023,0.0002090940531073121,0.00020601266918879302,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.4,8.0,7.0,1319.0,0.011356857797387657,51.93425548896785,0.0005162743848426556,0.00021867758939569552,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.4,8.0,8.0,1320.0,0.01340309903100868,56.40391754535024,8.929650428493863e-05,0.00023762709425692344,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.4,8.0,9.0,1321.0,0.014464541967460415,56.27353749551613,0.00026675877533359737,0.00025703985587564935,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.4,8.0,10.0,1322.0,0.009647213192946587,52.15771369796791,0.0005590152995085733,0.0001849623480202977,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.4,8.0,11.0,1323.0,0.005786544825627654,59.36115985478779,0.00011944739862830355,9.74803194510179e-05,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.4,8.0,12.0,1324.0,0.014150449802252338,59.817192945809175,2.9086340041023905e-05,0.0002365615821369586,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.6,12.0,1.0,1313.0,0.042237115544621076,192.01661478869562,1.2523622629449943e-05,0.00021996594196341208,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.6,12.0,2.0,1314.0,0.11070821868561487,267.82322172646053,0.000349933263207797,0.0004133630309274898,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.6,12.0,3.0,1315.0,0.07007255234307803,165.32408328692117,0.00017995530419860644,0.0004238496349105206,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.6,12.0,4.0,1316.0,0.07368605820439947,320.2449192550082,0.00082385463410711,0.00023009282512839467,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.6,12.0,5.0,1317.0,0.060025383261395185,212.16939199913008,7.640685272668032e-05,0.0002829125478270744,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.6,12.0,6.0,1318.0,0.038109075369501366,227.15419575794408,0.00022172498199891626,0.00016776742882667448,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.6,12.0,7.0,1319.0,0.03767315615330313,195.0043261395154,0.0005221671039677704,0.00019319138656621372,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.6,12.0,8.0,1320.0,0.04977907891004208,261.39412871211925,8.996907121358705e-05,0.00019043686694610187,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.6,12.0,9.0,1321.0,0.03126658826041774,304.0262282652753,0.0002680386591279842,0.00010284174638096147,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.6,12.0,10.0,1322.0,0.025520071865122087,197.03317712264428,0.0005587518848790267,0.00012952169902450992,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.6,12.0,11.0,1323.0,0.04830580989887609,260.9763727146771,0.00011946180464635902,0.00018509648745746173,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.6,12.0,12.0,1324.0,0.06493229770557207,232.36167381198464,2.9227995963197405e-05,0.000279444955961679,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.8,16.0,1.0,1313.0,0.5090672581535832,1071.442708919128,1.2887187171996308e-05,0.00047512317169728143,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.8,16.0,2.0,1314.0,0.13722675810825513,454.61209313039285,0.0006626251339917487,0.0003018546144765565,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.8,16.0,3.0,1315.0,0.753271116780009,483.2532767913736,0.0001993496996796834,0.0015587501481240974,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.8,16.0,4.0,1316.0,0.33327706806346746,883.5497623421483,0.0009891398748257739,0.00037720237418207615,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.8,16.0,5.0,1317.0,0.34590812208341565,1040.4053615835396,7.959017641071095e-05,0.0003324743747542105,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.8,16.0,6.0,1318.0,0.23675292106815543,637.5635151952982,0.0005478441856229603,0.00037134013384632487,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.8,16.0,7.0,1319.0,0.3250796182719034,906.1098386957248,0.0005254329299465015,0.00035876403101397776,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.8,16.0,8.0,1320.0,0.27978816574890464,871.1181970045474,8.998926920128549e-05,0.0003211827817522266,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.8,16.0,9.0,1321.0,0.3006287036196173,1072.2927412581396,0.0004255819001653881,0.0002803606627672257,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.8,16.0,10.0,1322.0,0.1608636300243575,1104.4777475877493,0.0005817499385169041,0.00014564678226944278,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.8,16.0,11.0,1323.0,0.11110287764530818,850.0329152101339,0.00012643933931903356,0.00013070420645751443,0.00023951057653476344
0,0.7,20.0,400.0,50.0,1.2,0.8,16.0,12.0,1324.0,0.15385810062533903,1139.831058531051,3.085553061116999e-05,0.00013498324990689632,0.00023951057653476344
