,,,n,n,n,mean,mean,mean,std,std,std,min,min,min,max,max,max,SE,SE,SE
,,,PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K)
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,
30.0,0.03333333333333333,40.0,2,2,2,0.0,0.0,6.761908773481669e-06,0.0,0.0,0.0,0.0,0.0,6.761908773481669e-06,0.0,0.0,6.761908773481669e-06,0.0,0.0,0.0
30.0,0.25,40.0,2,2,2,0.0,0.0,6.761908773481669e-06,0.0,0.0,0.0,0.0,0.0,6.761908773481669e-06,0.0,0.0,6.761908773481669e-06,0.0,0.0,0.0
30.0,0.5,40.0,2,2,2,0.0,0.0,6.761908773481669e-06,0.0,0.0,0.0,0.0,0.0,6.761908773481669e-06,0.0,0.0,6.761908773481669e-06,0.0,0.0,0.0
