,rhos,K,N,nmeantimes,buffer_size_activation,buffer_size_activation_value,burnin_cycles_absorption,rep,seed,Pr(MC),EMC(T),time(MC),n(MC),n(RT),Pr(FV),integral,E(T),n(FV),n(PT),n(ET),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
27,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,13,1433,,,,,,0.0,0.0,4.302275491022286,4908761,6400,6400,1.2493235499773401e-08,,
28,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,14,1443,,,,,,2.175216545798869e-09,9.841618490146615e-09,4.524431606202309,6250468,6400,6400,1.2493235499773401e-08,,
29,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.05,3,3,15,1453,,,,,,0.0,0.0,4.474122479851536,3807586,6400,6400,1.2493235499773401e-08,,
30,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,1,1313,,,,,,0.0,0.0,6.073521172865323,4446223,6400,6400,1.2493235499773401e-08,,
31,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,2,1323,,,,,,0.0,0.0,6.042743815740207,4780103,6400,6400,1.2493235499773401e-08,,
32,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,3,1333,,,,,,0.0,0.0,6.204624067578086,4141470,6400,6400,1.2493235499773401e-08,,
33,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,4,1343,,,,,,4.525865047911973e-09,2.6530993101184927e-08,5.862082236284334,5033359,6400,6400,1.2493235499773401e-08,,
34,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,5,1353,,,,,,2.848971191148155e-07,1.6597549603389066e-06,5.82580464658898,7023764,6400,6400,1.2493235499773401e-08,,
35,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,6,1363,,,,,,0.0,0.0,6.012672778469359,3429089,6400,6400,1.2493235499773401e-08,,
36,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,7,1373,,,,,,7.799440553275027e-08,4.7672783980261184e-07,6.1123337827407545,7099324,6400,6400,1.2493235499773401e-08,,
37,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,8,1383,,,,,,0.0,0.0,6.139236951167398,4976110,6400,6400,1.2493235499773401e-08,,
38,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,9,1393,,,,,,0.0,0.0,6.110582765837621,6066815,6400,6400,1.2493235499773401e-08,,
39,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,10,1403,,,,,,5.3980550198710555e-08,3.36829576721534e-07,6.239832226266932,6496401,6400,6400,1.2493235499773401e-08,,
40,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,11,1413,,,,,,0.0,0.0,5.8678668218770405,5604385,6400,6400,1.2493235499773401e-08,,
41,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,12,1423,,,,,,0.0,0.0,6.230041358174533,3823176,6400,6400,1.2493235499773401e-08,,
42,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,13,1433,,,,,,0.0,0.0,6.268017348733885,7053619,6400,6400,1.2493235499773401e-08,,
43,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,14,1443,,,,,,0.0,0.0,6.283530316329117,4382965,6400,6400,1.2493235499773401e-08,,
44,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.08333333333333333,5,3,15,1453,,,,,,0.0,0.0,6.027600577339264,3898112,6400,6400,1.2493235499773401e-08,,
45,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,1,1313,,,,,,0.0,0.0,9.783875621895863,2753573,6400,6400,1.2493235499773401e-08,,
46,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,2,1323,,,,,,0.0,0.0,10.047935434536182,4679639,6400,6400,1.2493235499773401e-08,,
47,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,3,1333,,,,,,1.1374334522823057e-08,1.1178989664154261e-07,9.828258208621499,4094587,6400,6400,1.2493235499773401e-08,,
48,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,4,1343,,,,,,0.0,0.0,10.125175169777165,3610569,6400,6400,1.2493235499773401e-08,,
49,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,5,1353,,,,,,5.600071564416033e-09,5.5865563103019855e-08,9.975865926071506,4755401,6400,6400,1.2493235499773401e-08,,
50,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,6,1363,,,,,,0.0,0.0,9.868457780964853,3299855,6400,6400,1.2493235499773401e-08,,
51,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,7,1373,,,,,,0.0,0.0,9.941850574942402,4887140,6400,6400,1.2493235499773401e-08,,
52,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,8,1383,,,,,,0.0,0.0,9.83361038323809,3207562,6400,6400,1.2493235499773401e-08,,
53,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,9,1393,,,,,,0.0,0.0,10.054229046223933,3399639,6400,6400,1.2493235499773401e-08,,
54,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,10,1403,,,,,,2.2534759563004733e-08,2.296808642897011e-07,10.19229265116135,5162757,6400,6400,1.2493235499773401e-08,,
55,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,11,1413,,,,,,0.0,0.0,10.174887661383458,4351543,6400,6400,1.2493235499773401e-08,,
56,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,12,1423,,,,,,0.0,0.0,10.140659558408249,4763551,6400,6400,1.2493235499773401e-08,,
57,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,13,1433,,,,,,4.637006058864258e-08,4.598792011693984e-07,9.917588964333522,6219491,6400,6400,1.2493235499773401e-08,,
58,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,14,1443,,,,,,0.0,0.0,10.049057963682536,4165798,6400,6400,1.2493235499773401e-08,,
59,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.11666666666666667,7,3,15,1453,,,,,,0.0,0.0,9.80725570018944,3940654,6400,6400,1.2493235499773401e-08,,
60,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,1,1313,,,,,,2.8432384243072134e-08,4.7019295404133105e-07,16.537232685855347,6627314,6400,6400,1.2493235499773401e-08,,
61,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,2,1323,,,,,,2.3277323908377112e-08,3.8494127317772886e-07,16.537179045706154,5441484,6400,6400,1.2493235499773401e-08,,
62,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,3,1333,,,,,,9.088157554767841e-10,1.6019774364462585e-08,17.627086973264753,6073724,6400,6400,1.2493235499773401e-08,,
63,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,4,1343,,,,,,6.462005725368134e-08,1.0960421242578344e-06,16.96133013245503,6058050,6400,6400,1.2493235499773401e-08,,
64,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,5,1353,,,,,,0.0,0.0,16.59802637960578,3960997,6400,6400,1.2493235499773401e-08,,
65,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,6,1363,,,,,,9.835339287392211e-09,1.701209754604402e-07,17.296909693650935,6105756,6400,6400,1.2493235499773401e-08,,
66,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,7,1373,,,,,,0.0,0.0,17.143977415883533,4587721,6400,6400,1.2493235499773401e-08,,
67,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,8,1383,,,,,,4.89025264932858e-09,8.714915753687964e-08,17.820992857873104,5761944,6400,6400,1.2493235499773401e-08,,
68,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,9,1393,,,,,,0.0,0.0,17.081027518221333,5780902,6400,6400,1.2493235499773401e-08,,
69,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,10,1403,,,,,,4.364501113419658e-08,7.528184177575001e-07,17.248670539750524,7785829,6400,6400,1.2493235499773401e-08,,
70,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,11,1413,,,,,,0.0,0.0,16.316902095941405,4586082,6400,6400,1.2493235499773401e-08,,
71,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,12,1423,,,,,,0.0,0.0,18.078213082482126,6131951,6400,6400,1.2493235499773401e-08,,
72,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,13,1433,,,,,,1.290037147790333e-09,2.3018369361268998e-08,17.843183353825502,6048152,6400,6400,1.2493235499773401e-08,,
73,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,14,1443,,,,,,4.283614822128337e-08,7.291267748944855e-07,17.02129638565904,6866782,6400,6400,1.2493235499773401e-08,,
74,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.15,9,3,15,1453,,,,,,0.0,0.0,16.638473947070324,5534007,6400,6400,1.2493235499773401e-08,,
75,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,1,1313,,,,,,1.640100043428416e-08,6.803132762500553e-07,41.47998647862656,6263050,6400,6400,1.2493235499773401e-08,,
76,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,2,1323,,,,,,2.60693460586969e-08,1.0059810192506818e-06,38.58865569491645,6921267,6400,6400,1.2493235499773401e-08,,
77,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,3,1333,,,,,,3.848791218189444e-08,1.6051221311553594e-06,41.70457788329823,6656425,6400,6400,1.2493235499773401e-08,,
78,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,4,1343,,,,,,0.0,0.0,39.79573925551179,5512569,6400,6400,1.2493235499773401e-08,,
79,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,5,1353,,,,,,2.1577572040724704e-09,8.837574062827216e-08,40.957221906836914,5633114,6400,6400,1.2493235499773401e-08,,
80,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,6,1363,,,,,,1.1654069739785614e-08,4.752312179640414e-07,40.778134040305105,7505626,6400,6400,1.2493235499773401e-08,,
81,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,7,1373,,,,,,1.8558140910838425e-08,7.460523582126115e-07,40.20081331405874,7393843,6400,6400,1.2493235499773401e-08,,
82,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,8,1383,,,,,,3.8939630636076796e-08,1.574808830859684e-06,40.44231558274348,7927494,6400,6400,1.2493235499773401e-08,,
83,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,9,1393,,,,,,4.009325415841617e-09,1.5731509512112233e-07,39.237297750773756,6682850,6400,6400,1.2493235499773401e-08,,
84,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,10,1403,,,,,,3.9155917402386827e-08,1.531192879226864e-06,39.1050186231501,7889050,6400,6400,1.2493235499773401e-08,,
85,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,11,1413,,,,,,2.1450463694640224e-08,8.828863654204635e-07,41.159313756050324,6595724,6400,6400,1.2493235499773401e-08,,
86,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,12,1423,,,,,,1.53693088322779e-09,6.582469202851341e-08,42.82866116286991,5939286,6400,6400,1.2493235499773401e-08,,
87,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,13,1433,,,,,,3.952031420262899e-10,1.6651550361356654e-08,42.1341547943689,4671413,6400,6400,1.2493235499773401e-08,,
88,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,14,1443,,,,,,0.0,0.0,40.63400207310543,5569357,6400,6400,1.2493235499773401e-08,,
89,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.2,12,2,15,1453,,,,,,5.0093422653344755e-09,2.0338059645639425e-07,40.600259611690646,6143557,6400,6400,1.2493235499773401e-08,,
90,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,1,1313,,,,,,8.71433270330084e-09,8.869518039109386e-07,101.78080572652183,10891728,6400,6400,1.2493235499773401e-08,,
91,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,2,1323,,,,,,2.7679083548644532e-09,2.5596589002545223e-07,92.47628794342329,8786551,6400,6400,1.2493235499773401e-08,,
92,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,3,1333,,,,,,4.244418073623765e-10,4.2496552255496394e-08,100.12338916277875,8537742,6400,6400,1.2493235499773401e-08,,
93,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,4,1343,,,,,,1.6200017223137633e-08,1.5518103181186846e-06,95.79065853722152,9824122,6400,6400,1.2493235499773401e-08,,
94,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,5,1353,,,,,,2.1787413064768792e-08,2.2279590076699672e-06,102.25899702028761,10636259,6400,6400,1.2493235499773401e-08,,
95,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,6,1363,,,,,,1.2628566055317478e-08,1.1125229992517317e-06,88.09575009375546,9461163,6400,6400,1.2493235499773401e-08,,
96,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,7,1373,,,,,,1.9795061128424054e-08,1.756465817669925e-06,88.73252809246377,10458724,6400,6400,1.2493235499773401e-08,,
97,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,8,1383,,,,,,4.189756008893559e-12,4.2080253151097203e-10,100.43604701985943,8855447,6400,6400,1.2493235499773401e-08,,
98,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,9,1393,,,,,,1.629345444320567e-08,1.64070541461393e-06,100.69721067027011,9726893,6400,6400,1.2493235499773401e-08,,
99,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,10,1403,,,,,,2.3373865844014603e-09,2.237498189730413e-07,95.72649234244552,9262055,6400,6400,1.2493235499773401e-08,,
100,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,11,1413,,,,,,6.3369422604603644e-09,6.391368088112338e-07,100.85886576545862,9460984,6400,6400,1.2493235499773401e-08,,
101,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,12,1423,,,,,,9.695140534652437e-09,8.72529112632078e-07,89.99654100046085,8398856,6400,6400,1.2493235499773401e-08,,
102,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,13,1433,,,,,,0.0,0.0,97.12035856991166,8612023,6400,6400,1.2493235499773401e-08,,
103,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,14,1443,,,,,,2.514539925103379e-09,2.4251254299571045e-07,96.44410119506858,9142812,6400,6400,1.2493235499773401e-08,,
104,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.25,15,2,15,1453,,,,,,5.36715229517888e-09,5.098107390576609e-07,94.98719451572215,10931794,6400,6400,1.2493235499773401e-08,,
105,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,1,1313,,,,,,9.177642040157112e-09,2.0660122769146993e-06,225.11362590464807,17973206,6400,6400,1.2493235499773401e-08,,
106,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,2,1323,,,,,,7.051556785640079e-09,1.7255672612369238e-06,244.70727722861156,17734810,6400,6400,1.2493235499773401e-08,,
107,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,3,1333,,,,,,0.0,0.0,229.92859300620657,15789051,6400,6400,1.2493235499773401e-08,,
108,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,4,1343,,,,,,2.67444473177042e-08,6.108498647404153e-06,228.40250070751958,20436520,6400,6400,1.2493235499773401e-08,,
109,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,5,1353,,,,,,6.492532355699311e-10,1.3411136762822402e-07,206.56249407905935,16490419,6400,6400,1.2493235499773401e-08,,
110,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,6,1363,,,,,,6.264704630270504e-09,1.3920971955120705e-06,222.21274228725466,15388309,6400,6400,1.2493235499773401e-08,,
111,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,7,1373,,,,,,1.0240132296359648e-08,2.4158161879382577e-06,235.916501664444,17838899,6400,6400,1.2493235499773401e-08,,
112,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,8,1383,,,,,,1.377664692104746e-09,3.150110462384919e-07,228.6558173725346,16150204,6400,6400,1.2493235499773401e-08,,
113,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,9,1393,,,,,,0.0,0.0,243.45307069102208,16633309,6400,6400,1.2493235499773401e-08,,
114,"[0.4, 0.75, 0.35]",60,6400,80000000.0,0.3,18,2,10,1403,,,,,,1.9849570769295302e-08,4.583879422502914e-06,230.93090907505052,17218529,6400,6400,1.2493235499773401e-08,,
