,rhos,K,nparticles,nmeantimes,multiplier,buffer_size_activation,buffer_size_activation_value,rep,seed,integral,E(T),n(ET),PMC(K),time(MC),n(MC),n(RT),PFV(K),time(FV),n(FV),n(PT),Pr(K),ratio_mc_fv_time,ratio_mc_fv_events
1,[0.7],20,100,20,1,0.1,2,1,1313,0.0,6.934812761455103,412,5.8929866903207556e-05,6599.562168942843,9412,1630,0.0,5950.887164071209,9412,725,0.00023951057653476344,1.1090047562635774,1.0
2,[0.7],20,100,20,1,0.1,2,2,1314,0.0003475170906246689,7.495521664090114,381,0.0,6603.9989069804105,9433,1686,4.636329613848888e-05,5988.255585402987,9433,659,0.00023951057653476344,1.1028251571423178,1.0
3,[0.7],20,100,20,1,0.8,16,1,1313,0.08658830950837586,408.16326538002033,7,5.892986690126353e-05,6567.788316153618,9388,18,0.0002121413582571127,5906.224574146999,9388,870,0.00023951057653476344,1.1120112744954616,1.0
4,[0.7],20,100,20,1,0.8,16,2,1314,0.28411616205205825,238.09523812280463,12,0.0,6642.250490160187,9523,18,0.0011932878804804864,5986.531411715485,9523,841,0.00023951057653476344,1.109532387512655,1.0
