,E(T),E(T) (wrong),K,PFV1(K),PFV2(K),PMC(K),Pr(K),buffer_size_activation,buffer_size_activation_value,integral,nmeantimes,nparticles,rep,seed
1,4.138155139879162,4.138155139879162,5.0,0.06893777166005198,0.244858962817226,0.06193764440044012,0.05714392571663656,1.0,1.0,0.28527519412686014,50.0,200.0,1.0,1313.0
2,4.242555314742817,4.242555314742817,5.0,0.08392900346870275,0.3025876769793217,0.061995357673546976,0.05714392571663656,1.0,1.0,0.35607343972721317,50.0,200.0,2.0,1314.0
3,4.298331488720825,4.298331488720825,5.0,0.06151649423797928,0.28908911195448456,0.06061444659439219,0.05714392571663656,1.0,1.0,0.2644182842588195,50.0,200.0,3.0,1315.0
4,3.989279758930666,3.989279758930666,5.0,0.11312780473321474,0.45155740990992443,0.05313118191738397,0.05714392571663656,1.0,1.0,0.45129846159447434,50.0,200.0,4.0,1316.0
5,4.017665570592782,4.017665570592782,5.0,0.04624508855141017,0.2688569291282767,0.05807358669386841,0.05714392571663656,1.0,1.0,0.18579730008201506,50.0,200.0,5.0,1317.0
6,4.156828625182339,4.156828625182339,5.0,0.07753010864652729,0.33199856378907244,0.05886223139711217,0.05714392571663656,1.0,1.0,0.3222793749353814,50.0,200.0,6.0,1318.0
7,4.412310563645431,4.412310563645431,5.0,0.04652560249363244,0.2019584953387859,0.0629828299791707,0.05714392571663656,1.0,1.0,0.20528540736262263,50.0,200.0,7.0,1319.0
8,4.206449271966087,4.206449271966087,5.0,0.04664256184182184,0.16481708850107013,0.06068165709315787,0.05714392571663656,1.0,1.0,0.19619957030216467,50.0,200.0,8.0,1320.0
9,4.2078538396664715,4.2078538396664715,5.0,0.04075649363034449,0.16886393701544264,0.053359248928000286,0.05714392571663656,1.0,1.0,0.17149736821378714,50.0,200.0,9.0,1321.0
10,4.2062306270687895,4.2062306270687895,5.0,0.055404244700360185,0.3250968302978259,0.052247853686955704,0.05714392571663656,1.0,1.0,0.23304303092826867,50.0,200.0,10.0,1322.0
11,4.174539735352478,4.174539735352478,5.0,0.062498300272856085,0.18314064449570455,0.06342231472025381,0.05714392571663656,1.0,1.0,0.2609016378810283,50.0,200.0,11.0,1323.0
12,4.12706550999444,4.12706550999444,5.0,0.06742287845387761,0.27893175960588446,0.053357241043713546,0.05714392571663656,1.0,1.0,0.27825863625154557,50.0,200.0,12.0,1324.0
13,6.08275303468572,6.08275303468572,5.0,0.059507939385300024,0.1738568529584751,0.06195522468606541,0.05714392571663656,0.4,2.0,0.36197209888382764,50.0,200.0,1.0,1313.0
14,6.081238003281515,6.081238003281515,5.0,0.05800780413418292,0.1975012032155779,0.06190266904316494,0.05714392571663656,0.4,2.0,0.35275926298770377,50.0,200.0,2.0,1314.0
15,5.883030659269857,5.883030659269857,5.0,0.07252393969616404,0.23870723035526142,0.060593478359414595,0.05714392571663656,0.4,2.0,0.4266605607635713,50.0,200.0,3.0,1315.0
16,6.238717373224739,6.238717373224739,5.0,0.08268920812561494,0.29225620505149286,0.053158860793366514,0.05714392571663656,0.4,2.0,0.5158745993114702,50.0,200.0,4.0,1316.0
17,5.774018396059595,5.774018396059595,5.0,0.04917064240750185,0.17910792933345662,0.0580322997872618,0.05714392571663656,0.4,2.0,0.28391219380698374,50.0,200.0,5.0,1317.0
18,6.052355486378411,6.052355486378411,5.0,0.07848312224945204,0.2558846488794016,0.05889214245096577,0.05714392571663656,0.4,2.0,0.47500775553457864,50.0,200.0,6.0,1318.0
19,6.2470278594163275,6.2470278594163275,5.0,0.04807006212782538,0.15262342305985757,0.06299140195931328,0.05714392571663656,0.4,2.0,0.30029501731639885,50.0,200.0,7.0,1319.0
20,6.237199145912198,6.237199145912198,5.0,0.056995949722557594,0.15304216033484394,0.0607064785067882,0.05714392571663656,0.4,2.0,0.3554950889299908,50.0,200.0,8.0,1320.0
21,5.881290599302868,5.881290599302868,5.0,0.054290755380783366,0.16668130193021813,0.05335928224550824,0.05714392571663656,0.4,2.0,0.3192997092500528,50.0,200.0,9.0,1321.0
22,5.984675202212223,5.984675202212223,5.0,0.06751547894797418,0.2631607337125969,0.052213207046722714,0.05714392571663656,0.4,2.0,0.4040582126254224,50.0,200.0,10.0,1322.0
23,6.016204172232013,6.016204172232013,5.0,0.03613181994974283,0.15127748881616296,0.06343477615888395,0.05714392571663656,0.4,2.0,0.21737640593197868,50.0,200.0,11.0,1323.0
24,6.080029642565053,6.080029642565053,5.0,0.046411276655865905,0.18021350727921998,0.05336390640620807,0.05714392571663656,0.4,2.0,0.28218193781695217,50.0,200.0,12.0,1324.0
25,8.640375166742807,8.640375166742807,5.0,0.06503279534520795,0.1500795313557742,0.06217352075174692,0.05714392571663656,0.6,3.0,0.561907749924602,50.0,200.0,1.0,1313.0
26,8.232853700129574,8.232853700129574,5.0,0.05565858603457436,0.20221715794437548,0.061906252585017134,0.05714392571663656,0.6,3.0,0.4582289959787258,50.0,200.0,2.0,1314.0
27,8.357961479050077,8.357961479050077,5.0,0.05002574071932772,0.14467988778651203,0.060594506111796696,0.05714392571663656,0.6,3.0,0.41811321389308803,50.0,200.0,3.0,1315.0
28,9.429091811183051,9.429091811183051,5.0,0.054488047353800334,0.11656643870511246,0.05311834065164916,0.05714392571663656,0.6,3.0,0.513772801111073,50.0,200.0,4.0,1316.0
29,9.191277342086888,9.191277342086888,5.0,0.04886509864555888,0.11037964709145286,0.05803911143558057,0.05714392571663656,0.6,3.0,0.44913267399976603,50.0,200.0,5.0,1317.0
