,,,E(T),E(T),E(T),E(T),E(T),E(T),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(MC),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(FV),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K),Pr(K)
,,,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE,count,mean,std,min,max,SE
K,buffer_size_activation,N,,,,,,,,,,,,,,,,,,,,,,,,
40,0.1,1000,8,13.780400089220988,0.6816844011234667,12.699109844947962,14.500565299274195,0.24101183133174692,0,,,,,,8,1.4704869617525368e-07,2.7979984853569496e-07,0.0,7.087269993989437e-07,9.892418513727939e-08,8,1.9100425795336106e-07,0.0,1.9100425795336106e-07,1.9100425795336106e-07,0.0
40,0.15,1000,8,28.543853107528914,1.271972900796808,26.220023073731262,30.480022372018723,0.44971033181947323,0,,,,,,8,3.8470213236766085e-07,6.646327235535929e-07,0.0,1.88109197041728e-06,2.3498315291161474e-07,8,1.9100425795336106e-07,0.0,1.9100425795336106e-07,1.9100425795336106e-07,0.0
40,0.2,1000,8,57.769973035714955,3.025687065226644,54.44968569782002,63.29970100708202,1.0697419207850918,0,,,,,,8,4.2007050019136586e-07,5.92747748071663e-07,0.0,1.7683462535875603e-06,2.0956797609726406e-07,8,1.9100425795336106e-07,0.0,1.9100425795336106e-07,1.9100425795336106e-07,0.0
40,0.25,1000,8,134.91778895892958,7.795002166792713,125.35099717056238,149.32726858838979,2.755949445751479,0,,,,,,8,4.0753639954013414e-07,4.958058316738368e-07,9.234784860626288e-09,1.5008918630183579e-06,1.7529383286420295e-07,8,1.9100425795336106e-07,0.0,1.9100425795336106e-07,1.9100425795336106e-07,0.0
40,0.3,1000,8,331.47517036453064,8.90862664112113,322.50397467015847,350.5465078841841,3.149675154497943,0,,,,,,8,5.947991544557979e-08,6.835014358666286e-08,0.0,1.9032668803948046e-07,2.4165425012601757e-08,8,1.9100425795336106e-07,0.0,1.9100425795336106e-07,1.9100425795336106e-07,0.0
40,0.5,1000,8,880.4996317707296,13.811178233934443,852.7109371718145,897.1791444484284,4.882988892695545,0,,,,,,8,9.141579529145482e-07,1.717666321502268e-06,1.1747548378397618e-08,5.08791144231108e-06,6.072867518750031e-07,8,1.9100425795336106e-07,0.0,1.9100425795336106e-07,1.9100425795336106e-07,0.0
40,0.7,1000,8,735.1350632546045,20.186445102422073,707.6613892209034,759.6681583016326,7.136986109986309,0,,,,,,8,1.8836525390229952e-05,6.912365230371678e-06,7.266710801368113e-06,2.5748888011115526e-05,2.4438901642169623e-06,8,1.9100425795336106e-07,0.0,1.9100425795336106e-07,1.9100425795336106e-07,0.0
