,,,n,n,n,mean,mean,mean,std,std,std,min,min,min,max,max,max,SE,SE,SE
,,,PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K),PMC(K),PFV(K),Pr(K)
K,buffer_size_activation,nparticles,,,,,,,,,,,,,,,,,,
5.0,1.0,200.0,12,12,12,0.05710030219543754,0.06232563375940952,0.05714392571663655,0.0026381924545616896,0.01582401610315798,0.0,0.05300467486013473,0.04257419896795504,0.05714392571663656,0.0608681386324662,0.09714933613423646,0.05714392571663656,0.0007615805619076156,0.004567999978409616,0.0
5.0,2.0,200.0,12,12,12,0.05712942097205801,0.058744608598809846,0.05714392571663655,0.002623272493357604,0.01625172505429236,0.0,0.053044236388703495,0.036117142773268336,0.05714392571663656,0.060874781673952605,0.09411113515335774,0.05714392571663656,0.0007572735400988768,0.00469146891744574,0.0
5.0,3.0,200.0,12,12,12,0.05718980875428434,0.05768141588499485,0.05714392571663655,0.0026344784644341986,0.01311859182730109,0.0,0.05304582510637952,0.04590959896470842,0.05714392571663656,0.060998300568421183,0.09451002280136568,0.05714392571663656,0.0007605084253076783,0.0037870112614405544,0.0
