episode,rmse_mean,rmse_se
1,0.48304589153964794,0.0
2,0.4444743493490789,0.0017848556071493552
3,0.40570335483589764,0.0011897500841178978
4,0.37729654244585115,0.006119550569100656
5,0.3499776560461341,0.013274213513112566
6,0.319488297329514,0.014680541210030438
7,0.3087402801605231,0.013699941680996293
8,0.30064203846476484,0.01605850134854985
9,0.28829702729180245,0.017493294040457987
10,0.2856968764481191,0.01956885428444305
11,0.27268810222294065,0.015699974802448502
12,0.2635327955126875,0.017587470177887747
13,0.2605268959202041,0.021404014144137434
14,0.25575091507180997,0.02207212095522
15,0.2536217039190104,0.02233453486525251
16,0.25114069866463523,0.019972925871800863
17,0.2499142864658408,0.020245173880747612
18,0.24683284396721833,0.021554420439996093
19,0.24602318273382168,0.02146024672363738
20,0.2483625697740753,0.025704520239792153
21,0.24353292257342432,0.021122990585838313
22,0.24386869719853393,0.023239354099896102
23,0.240415960950311,0.021763801777610375
24,0.23855689910747144,0.021715905884243717
25,0.23751410603759754,0.02191485472682376
26,0.23643697987427498,0.02206584559927685
27,0.23562434402065052,0.022503439117581344
28,0.2346997544872361,0.022750409151893653
29,0.23449859271601253,0.02307930288434421
30,0.23386068810838295,0.022921732432113123
31,0.23396703763288446,0.022887529347912956
32,0.23279987756777687,0.02332494407194219
33,0.2311701610854227,0.023949370682146396
34,0.23071554079134135,0.024014380103622224
35,0.2297566635188578,0.024169305031650958
36,0.22924453269567674,0.02430398392423162
37,0.22862173872658578,0.024346763090898425
38,0.22820689341699732,0.024421963062136377
39,0.22781068194892282,0.024487188760011668
40,0.22739918272910353,0.024549359301362293
41,0.2272482826919965,0.024557738224067843
42,0.22683991957147293,0.0245738744668685
43,0.2263632098784872,0.024499689644298862
44,0.2261429148394471,0.024572190216494837
45,0.22586516770520876,0.024659211066058218
46,0.22523077069218655,0.024810678225732775
47,0.2246671714922277,0.02491074212281909
48,0.2244551498432003,0.024927970636636224
49,0.22416355677082428,0.024914075236732103
50,0.22376584109534042,0.024945774181744058
51,0.2236436755219305,0.024904182240894274
52,0.22307588255223604,0.024887440616136732
53,0.22266984828277026,0.025011170249750265
54,0.22235486319191927,0.024979769424753967
55,0.22206497101749795,0.02500580664914614
56,0.22180452950610746,0.024996068769437732
57,0.22172203141423036,0.025067385292541537
58,0.22142970541337484,0.025034380057346643
59,0.22100853188124234,0.02507866326642263
60,0.2208021875003651,0.0251330295794578
61,0.220564677834629,0.025078166052606946
62,0.2199373829424856,0.02543434422263547
63,0.2197696435725272,0.025420583160093265
64,0.2194616832034204,0.02547663817788267
65,0.21934694456878137,0.025438817210805056
66,0.2190858648519905,0.025401378413921413
67,0.21884917342018828,0.025360339794536606
68,0.21878722097278938,0.02531404498962479
69,0.21865486455455824,0.025331947141521913
70,0.21852656427682254,0.02534089529708255
71,0.21836583167621582,0.025353438686840448
72,0.21814823277396952,0.02536098442921911
73,0.2180534054221408,0.025363858838914833
74,0.2178652953338734,0.02532783686665144
75,0.21770146759676323,0.025361368492530425
76,0.2173212491755649,0.02544887526915138
77,0.21709356004252767,0.025454408351219284
78,0.2166932573055021,0.025616757827207452
79,0.21657839002864873,0.025616435472014323
80,0.2164007864930082,0.02564645322360441
81,0.21614707198213576,0.025660618424207682
82,0.21598264993237928,0.025675349006054324
83,0.21578233264981814,0.025700211169579375
84,0.21561665884072734,0.025708418094309786
85,0.21547797702909435,0.025694355743473663
86,0.21543191783610882,0.025667894630225757
87,0.21512897697475047,0.025806980282820892
88,0.21493185206494142,0.02583074288333455
89,0.21486891274671666,0.02585683925062258
90,0.21481026635933498,0.02583999195930694
91,0.21468529761277183,0.02586261750477952
92,0.21457378317440137,0.025866799663430078
93,0.21438013722394306,0.02589581271329186
94,0.2142159403151863,0.025887921543004944
95,0.21408299679214834,0.02589936438642047
96,0.21399682978665022,0.0259206231214647
97,0.21389711517934237,0.025907914903022716
98,0.21373223678152206,0.025935537710294942
99,0.21356535379544023,0.02593528992793941
100,0.21347144426987313,0.0259413296962791
101,0.21336943445977102,0.025950601195750506
102,0.2132129963358313,0.025979854010039487
103,0.21301849427557187,0.026081053493776703
104,0.212900330469951,0.02608348048053323
105,0.21277412601609208,0.026073177496287656
106,0.21265698007681647,0.02609284792568546
107,0.212529918359965,0.0261375289701039
108,0.21242191272919872,0.02614139112830617
109,0.21231717443304668,0.02612543515687861
110,0.21217003692773212,0.026140675387938045
111,0.21208081747608346,0.02610760948947941
112,0.21187382932157234,0.026119098407781594
113,0.21180026903193463,0.02609954489047081
114,0.2117394103734494,0.026077687366705942
115,0.2116625291185757,0.026045576934701296
116,0.2115786408571554,0.02604336568804173
117,0.21145576272204739,0.026073204147442564
118,0.21134709732258336,0.026040102402938237
119,0.2112942973283546,0.026042866919322824
120,0.21111694222568533,0.02611585130271616
121,0.21102699213178427,0.02610534880143368
122,0.2109772584740882,0.026113275500031067
123,0.2109022664336683,0.026110869039838874
124,0.2108246783078031,0.02610900122005402
125,0.21073522706278566,0.026110913472962554
126,0.21069626115575404,0.026115280550644035
127,0.2106299683876997,0.02615044162850764
128,0.2105181952691891,0.026161742890175105
129,0.2104128741644197,0.02618285202619899
130,0.2103412586679096,0.02619474512758673
131,0.21027076463688377,0.02620162352772712
132,0.2102017792401075,0.026185471941617047
133,0.21013005382371852,0.026175596823183225
134,0.21001735495351345,0.026158014132272006
135,0.2099365761782182,0.026168643254646025
136,0.20984129521712375,0.026202593895844947
137,0.20976266536383106,0.026205093179664074
138,0.20968080665846683,0.026211727196992426
139,0.20963054811709023,0.026196351266262116
140,0.20953341121198682,0.026188678469643855
141,0.20945351608554383,0.026180494413257177
