episode,rmse_mean,rmse_se
1,0.4839839966744094,0.03926199082167391
2,0.5864659184331201,0.08892639628942808
3,0.5602793126799701,0.100142239883596
4,0.4730819698019074,0.07337062014400043
5,0.4710811026210062,0.0456655990336884
6,0.39403481173210453,0.022881552209062028
7,0.4624926045393704,0.05961140632050999
8,0.4050450325933272,0.06618363473177574
9,0.3885160257426477,0.06787297517666084
10,0.3491734919429136,0.04894594865754404
11,0.34350860444561804,0.0448399110114883
12,0.3487549104410189,0.05084801640569594
13,0.3415385142562336,0.04970104051548176
14,0.3430860557124472,0.04726682408241314
15,0.3321706423673686,0.046617113501766214
16,0.3274584725978431,0.04600900881037124
17,0.3196548942195429,0.045743955791329644
18,0.3177667121514345,0.044391027359786527
19,0.3225029227170214,0.04695667751852575
20,0.32117394108846403,0.04635540184428606
21,0.3204202342981147,0.0467115587416706
22,0.31719360894699233,0.04606323844672605
23,0.31035020128254337,0.04497341089460537
24,0.30459598676253397,0.04635277441935643
25,0.2992478933480962,0.04617852237024458
26,0.29466852362682106,0.04607960640333171
27,0.2914922543924563,0.045124071527858536
28,0.2892321632414115,0.04489193934858687
29,0.2893443706004074,0.04401640303955624
30,0.28673056407851055,0.04328186460468812
31,0.285202284310688,0.04307537092776173
32,0.29171507072911584,0.047018869455332
33,0.29003484442150584,0.047672348330745844
34,0.28868158015051726,0.04719437996309279
35,0.2857504829350105,0.04642481108447989
36,0.28181579987833744,0.04469051565727065
37,0.2811325177772389,0.04470969006510748
38,0.28060835383935706,0.0447970387825552
39,0.2785099895733391,0.04370312029381564
40,0.2771262453208549,0.0438095999400231
41,0.27621001960738967,0.04382441846043335
42,0.2754797154015828,0.04386257015195551
43,0.27512216280068097,0.04376168776858421
44,0.2747440642675379,0.04365760199856309
45,0.2743723561141739,0.04369949536496656
46,0.2739103113603452,0.043539595337718805
47,0.2733817906946826,0.04346543397849636
48,0.27291793404092873,0.043471916067204026
49,0.27321166217260473,0.04346740984246059
50,0.27298669768006706,0.04316107058441755
51,0.2724930411033464,0.04312254311992817
52,0.27247360270591114,0.04311877443180199
53,0.2721336280289349,0.043116801247374686
54,0.270343752518723,0.04291104471030172
55,0.2696346485430698,0.04280018282922412
56,0.26914094427564833,0.04274014204852617
57,0.26911896209531366,0.04282708667123994
58,0.26873591656380735,0.04299424933951984
59,0.2684956562586033,0.042962255467481135
60,0.26817731083079344,0.04278542004423605
61,0.2681352087227319,0.04279307055924905
62,0.26764236638919725,0.042627232650627504
63,0.26726881635874944,0.042532664766155415
64,0.2670142558457581,0.042391722164555
65,0.26651336078721677,0.04241496100035028
66,0.2661157718026133,0.042133940045234276
67,0.2659847608066311,0.04213098733528403
68,0.26498958806915407,0.042275819810918554
69,0.26462030542833787,0.04223326828424308
70,0.26392236451055184,0.04217255659856166
71,0.26309452383858856,0.04210238592592302
72,0.26270757122600785,0.042110208995272534
73,0.2624698712592015,0.04206208109581096
74,0.2622370743622412,0.0421334432855159
75,0.26221898737513016,0.042133436397493736
76,0.26216158951224344,0.042130131065677284
77,0.2607109388798748,0.04178034944722445
78,0.2604288973721331,0.041674713023319085
79,0.26013007057931115,0.04160199280138027
80,0.2597995237393414,0.04148921555616584
81,0.25952535480385247,0.04146517764598983
82,0.25929982702629295,0.04162602362364602
83,0.25930523475007006,0.04155963052751576
84,0.2591666772594519,0.04151253905382673
85,0.25903023218599464,0.041385983083904565
86,0.2588045096332684,0.041398093248259216
87,0.25821280021848475,0.04163169875851977
88,0.2573990380865763,0.041579666082481384
89,0.25730936971973617,0.04162790898545315
90,0.25717366584806023,0.041677594661129386
91,0.2570618678865456,0.04163530631094174
92,0.25685417396494914,0.041577296435166416
93,0.25668840150072403,0.04162278182871105
94,0.2564036674569514,0.04166892851211738
95,0.25623596928077774,0.04166005956802277
96,0.2554739995753447,0.04150996882228783
97,0.2547613025036751,0.04139773439104653
98,0.25475096962255683,0.041310730003591006
99,0.2544999079259969,0.041150494597338404
100,0.25426812703270046,0.04101057140476661
