episode,rmse_mean,rmse_se
1,0.8025416254045716,0.11621335722306872
2,0.8013832814432726,0.13333995046172928
3,0.5435489646205423,0.13887684800978262
4,0.43323123478714753,0.08097228093636019
5,0.4666827203348366,0.08169150969906411
6,0.4212551840543181,0.10750187159987293
7,0.35571266858828265,0.07941105603789918
8,0.39717077429165704,0.09604603971308608
9,0.3508320753600982,0.08421320292249371
10,0.3551468269856212,0.10439759460649826
11,0.3348414056144441,0.08391761294464682
12,0.34904574603005045,0.06836157153104423
13,0.29671236328872674,0.057322194183808274
14,0.30280706532142576,0.04424005061448612
15,0.278846741518222,0.03745460966860676
16,0.2528375547782011,0.04555108049243448
17,0.24467389470479256,0.04556611644712533
18,0.22246402105293694,0.03295261279963173
19,0.2196996954719949,0.034191721345421804
20,0.23691896517449104,0.03859109482798454
21,0.21445312818848744,0.03763285997897318
22,0.20201620682337734,0.0325628466660784
23,0.17536605107279724,0.037531158488870016
24,0.19434241635093844,0.035126378519613866
25,0.1924675242532042,0.03711642856854529
26,0.1800393512963106,0.029307306199501216
27,0.17175315047672007,0.031099216108368403
28,0.17583843851385944,0.022747747678205053
29,0.18407842797062313,0.017709434884833803
30,0.16495011452395242,0.022240065746686483
31,0.1554436907965045,0.022038952480556807
32,0.15756895475908644,0.021837498048478506
33,0.1568245137226973,0.022413472185523975
34,0.14752409436820196,0.026403174891590296
35,0.14962652876382165,0.02680502381176583
36,0.14828247185267612,0.02548448952633208
37,0.15172800084717894,0.022455685029342833
38,0.14706920347520178,0.020514723199587803
39,0.15028155350256797,0.015092095269809995
40,0.14876880088849753,0.015215516599708746
41,0.143384950875516,0.018579971626241292
42,0.14794066097563632,0.015193411835454595
43,0.13970679324456084,0.015082800694619636
44,0.14450142741216085,0.022558146596107404
45,0.14038419762035703,0.02061071866801188
46,0.13388967813305233,0.02096024883380322
47,0.13346361879927765,0.018135985952467147
48,0.13543646995362763,0.014872671626197946
49,0.13756730691108537,0.017732213972793186
50,0.1360843773728505,0.016045690042070043
51,0.13844622110018548,0.014517941497356903
52,0.13923310999879682,0.016351676593776555
53,0.13980408156861612,0.01799660919882243
54,0.1471401268669234,0.016135092747453707
55,0.14761694465944186,0.016493052678542317
56,0.12809946574840958,0.01086347066074235
57,0.13187525350200535,0.011718694168489967
58,0.12722018841613814,0.011878240153162004
59,0.12300908491171861,0.011967676190959673
60,0.12311409456100002,0.013559436788576454
61,0.12010064980106674,0.014433568118601959
62,0.11953028058866673,0.014329796519290838
63,0.11416478772676195,0.012936000790287457
64,0.1058242363948227,0.009991828680937552
65,0.10340506347045815,0.01147549976171867
66,0.09884404959596833,0.013241386022022242
67,0.09452177709882015,0.013645651135746796
68,0.09990787856263281,0.014155985790828943
69,0.09882565548381086,0.013339333650600442
70,0.10461769317009295,0.01447084886839621
71,0.10367227066816061,0.012340679546639621
72,0.10752296183925755,0.013099831895392966
73,0.10873808874982886,0.015375756827231779
74,0.11084786306475067,0.014425463657054842
75,0.10740297330719013,0.01290332490908743
76,0.1067383043634618,0.011294994404740617
77,0.09636422561919859,0.010899008073701755
78,0.09119423135603236,0.007134387163175148
79,0.09095400557269243,0.009737105292059395
80,0.09057965242121964,0.008651290575774023
81,0.09646964589552989,0.008264272067975118
82,0.10226277025368176,0.008065413289251635
83,0.1014416754965239,0.006880183106612256
84,0.09412459335631419,0.008016404294025493
85,0.09370337453929885,0.011218338749024741
86,0.09240475962228115,0.012657905766616748
87,0.09264097701459725,0.011829382475517602
88,0.09071487021812673,0.013963003377155642
89,0.0938671422981172,0.014272724552757557
90,0.09393581199649223,0.014255449488609639
91,0.08841037516121981,0.015209137324860688
92,0.09142201994914871,0.014794624206154775
93,0.0879382730214411,0.015558121716245368
94,0.08430170761449535,0.014516985847417258
95,0.08123365909978644,0.013321660845296132
96,0.08537395228326157,0.013499201588643204
97,0.08366878748124906,0.012478932111836202
98,0.08638852474446257,0.013596240129939825
99,0.08701249584487794,0.014784478805407304
100,0.09207081840578264,0.016212007611003828
101,0.09060145411982927,0.01725993221509694
102,0.09394395263878694,0.017042219676431238
103,0.0932242074864508,0.017379542399841214
104,0.09147230734157075,0.016862207367735298
105,0.09031691353790654,0.01755603474733738
106,0.09192519699586081,0.019732102451554382
107,0.08814834046473774,0.01834194625422001
108,0.08873481305122022,0.014711853621404293
109,0.08835958491295143,0.014748580989317564
110,0.08863878515554832,0.015230757085240566
111,0.086643188345917,0.01354443630627159
112,0.0837214131843232,0.013231538394600626
113,0.084779745168012,0.013181905290292216
114,0.08712746926255915,0.015276262256124457
115,0.0853976261102468,0.014827465202965694
116,0.08942155987419341,0.015420070118302502
117,0.09068140849056704,0.014554712530684119
118,0.08468859313232949,0.01339148283263358
119,0.08638840371027537,0.013074410082216704
120,0.08553610542010688,0.013352818636939654
121,0.08612135669220541,0.013031972687239598
122,0.08970866895047433,0.014727245420876266
123,0.08347145893169107,0.014160871137244182
124,0.08605113344367898,0.014786325378659738
125,0.08514009875514462,0.012879143145820764
126,0.0868931737290028,0.01211072628161663
127,0.0866440089228365,0.01270679918570389
128,0.08702644788897587,0.012770217525096446
129,0.08479095919198877,0.014798692380443351
130,0.08507074971405845,0.014753160071326075
