episode,rmse_mean,rmse_se
1,0.48744858716912615,0.0017973929641623505
2,0.45993342649873153,0.0043829928251941565
3,0.43599311208614233,0.005506118399225148
4,0.4201427996138853,0.0036358169749247824
5,0.40761110669497747,0.0042468697872438625
6,0.38752456614923503,0.008760452782052449
7,0.37598802071041826,0.008087014143567032
8,0.3690923525063087,0.00761432378263436
9,0.3581153943066897,0.00836412445256182
10,0.35287056088255253,0.008389974938965039
11,0.34479916797495175,0.008227166300745152
12,0.3393364993366168,0.008847723228094762
13,0.33223820683628047,0.009289082374651725
14,0.32698166037432086,0.009188301677423598
15,0.32137294354914797,0.009948664277060756
16,0.31584653145537656,0.010404469767407137
17,0.311741590524491,0.011139977242848785
18,0.30645712292273014,0.010599900353323297
19,0.3030397072074279,0.010561403357593478
20,0.3001771194594872,0.010149490257463577
21,0.2961018197346513,0.0100852606121294
22,0.29177748172818163,0.009010692884506977
23,0.2889589399261551,0.008650206984112424
24,0.2862405473294688,0.008150609115387994
25,0.28357949477675626,0.008250883607811873
26,0.2803154947938172,0.008247961694282985
27,0.2785603924775602,0.008298982414438102
28,0.27647122712420497,0.00806027887375472
29,0.2740486914939369,0.008133247285727615
30,0.2715609462110104,0.008082696164321614
31,0.2697204762454556,0.007888758144840049
32,0.26720778041790844,0.007627412287872269
33,0.265502600764268,0.007147910175855667
34,0.26313476442972783,0.007191310429938582
35,0.2608143007737224,0.007372340889691893
36,0.25882843566302116,0.00735044180159211
37,0.25692417039807675,0.007557787049726054
38,0.2549124543042126,0.007637793213955151
39,0.2529756569923179,0.007743093607013107
40,0.2515958085893596,0.007944173995984603
41,0.250216062567225,0.00784821399388151
42,0.24886493429644824,0.007892110922007414
43,0.24697787995305145,0.007711805744877341
44,0.24577511738539934,0.00764275102978066
45,0.24371262420278642,0.0077378694377993286
46,0.24191784446963666,0.007845525636580013
47,0.24020421253045948,0.007867323695376892
48,0.23814824914899485,0.008004770994306564
49,0.23695307250983372,0.0077298403778755876
50,0.23565051386462915,0.007831788722366098
51,0.234589825235118,0.008043453388713291
52,0.23321758277960383,0.008028336940105045
53,0.23210246661063202,0.008162989515956925
54,0.23096792262808452,0.00808531466344618
55,0.229657133500463,0.008084038932193041
56,0.22777074953970983,0.00844207188919098
57,0.2270198294019708,0.008416948794555814
58,0.22633132894911565,0.00828237173991642
59,0.2254154384770645,0.008380927690500715
60,0.2238167872523081,0.00832984754499245
61,0.2229873984530016,0.00834686354283675
62,0.22195912977023183,0.008286766628117588
63,0.2206392730875307,0.00832929352488422
64,0.219097249635729,0.008287971673091398
65,0.21809989346130437,0.008242434232776319
66,0.2170492983214522,0.008299437632498798
67,0.21608582325723966,0.008147363695547192
68,0.215739682356998,0.007998858280748386
69,0.21513259388155279,0.007972907819181063
70,0.21443036590742995,0.007961856743404558
71,0.21348632542703633,0.00783267664486401
72,0.21279130906771035,0.007836712225667572
73,0.21197355497376766,0.007911506937219103
74,0.21117433598613586,0.007820549399815425
75,0.2101611834026799,0.007902522770072319
76,0.2092330998107471,0.007851283521177248
77,0.2084409949127603,0.007680702976038325
78,0.20735545767414817,0.00758186172249918
79,0.2066506247802164,0.007452582359946373
80,0.20560072200879312,0.007392216604210954
81,0.2048075790510115,0.007284724062308261
82,0.20421709787052583,0.007438599946739997
83,0.2033861224634797,0.007451256483264994
84,0.20275235595979058,0.00738012543769375
85,0.2017686630709991,0.007387182437041815
86,0.2009415555722533,0.007508506335796829
87,0.2004022145084583,0.007527400995058804
88,0.19964283881763026,0.007468323468437606
89,0.1992477574654618,0.007749636295598646
90,0.19863125856469735,0.007826681865405602
